Date,predicted_probability_raw,predicted_probability_smoothed,selected_smoothing_halflife,selected_threshold,predicted_label,predicted_bear_flag,predicted_bull_flag
2009-05-20,0.8934615850448608,0.727652540075379,4,0.45,1,0,1
2009-05-21,0.6205328702926636,0.7106094166161107,4,0.45,1,0,1
2009-05-22,0.444297194480896,0.6682381874126488,4,0.45,1,0,1
2009-05-26,0.3271160423755646,0.6139644313009065,4,0.45,1,0,1
2009-05-27,0.9829787611961365,0.672675934009986,4,0.45,1,0,1
2009-05-28,0.8852198719978333,0.7064924364599448,4,0.45,1,0,1
2009-05-29,0.9066441655158997,0.7383372940459144,4,0.45,1,0,1
2009-06-01,0.951942503452301,0.7723226485829515,4,0.45,1,0,1
2009-06-02,0.9850434064865112,0.8061672837153546,4,0.45,1,0,1
2009-06-03,0.9886497259140015,0.8352008944224162,4,0.45,1,0,1
2009-06-04,0.9821863174438477,0.8585868021305751,4,0.45,1,0,1
2009-06-05,0.9869272112846375,0.8790062212947914,4,0.45,1,0,1
2009-06-08,0.9914789795875549,0.8969010403254727,4,0.45,1,0,1
2009-06-09,0.998134434223175,0.91300763619063,4,0.45,1,0,1
2009-06-10,0.9986866116523743,0.9266394683239826,4,0.45,1,0,1
2009-06-11,0.9968720078468323,0.9378137171279032,4,0.45,1,0,1
2009-06-12,0.996672511100769,0.9471783622428293,4,0.45,1,0,1
2009-06-15,0.9967292547225952,0.9550620868637378,4,0.45,1,0,1
2009-06-16,0.8137617707252502,0.932580700040321,4,0.45,1,0,1
2009-06-17,0.6396097540855408,0.8859679723124052,4,0.45,1,0,1
2009-06-18,0.8316361308097839,0.8773235815634711,4,0.45,1,0,1
2009-06-19,0.9082417488098145,0.8822427728061495,4,0.45,1,0,1
2009-06-22,0.7631653547286987,0.8632971287276949,4,0.45,1,0,1
2009-06-23,0.10739077627658844,0.7430297183202348,4,0.45,1,0,1
2009-06-24,0.041948266327381134,0.6314851461090409,4,0.45,1,0,1
2009-06-25,0.30363330245018005,0.5793227425172375,4,0.45,1,0,1
2009-06-26,0.8470091223716736,0.6219126051398342,4,0.45,1,0,1
2009-06-29,0.9479438066482544,0.6737853380389623,4,0.45,1,0,1
2009-06-30,0.486069917678833,0.6439191417475099,4,0.45,1,0,1
2009-07-01,0.32657259702682495,0.5934281688756015,4,0.45,1,0,1
2009-07-02,0.8814011812210083,0.639245707449942,4,0.45,1,0,1
2009-07-06,0.06156521290540695,0.5473346699298995,4,0.45,1,0,1
2009-07-07,0.02250797674059868,0.4638328616729428,4,0.45,1,0,1
2009-07-08,0.02089821733534336,0.3933603719505097,4,0.45,0,1,0
2009-07-09,0.0019831093959510326,0.3310908464898913,4,0.45,0,1,0
2009-07-10,0.004420449025928974,0.279116415222881,4,0.45,0,1,0
2009-07-13,0.0020676020067185163,0.23503695589048546,4,0.45,0,1,0
2009-07-14,0.13386988639831543,0.21894091247600464,4,0.45,0,1,0
2009-07-15,0.27647024393081665,0.22809403533852246,4,0.45,0,1,0
2009-07-16,0.9285094141960144,0.3395326329261771,4,0.45,0,1,0
2009-07-17,0.9707122445106506,0.4399555717480349,4,0.45,0,1,0
2009-07-20,0.9533805847167969,0.5216433318097731,4,0.45,1,0,1
2009-07-21,0.9822174906730652,0.594922331526428,4,0.45,1,0,1
2009-07-22,0.9641932845115662,0.6536746638890406,4,0.45,1,0,1
2009-07-23,0.9970054030418396,0.7082998152418428,4,0.45,1,0,1
2009-07-24,0.9938253164291382,0.7537279460172213,4,0.45,1,0,1
2009-07-27,0.9923778772354126,0.7916980055734899,4,0.45,1,0,1
2009-07-28,0.9930979609489441,0.8237414604414666,4,0.45,1,0,1
2009-07-29,0.9930837154388428,0.8506844202605688,4,0.45,1,0,1
2009-07-30,0.9983481168746948,0.8741782437287642,4,0.45,1,0,1
2009-07-31,0.9984050393104553,0.8939431722273553,4,0.45,1,0,1
2009-08-03,0.9992175102233887,0.9106926967843163,4,0.45,1,0,1
2009-08-04,0.9985454082489014,0.9246703781080129,4,0.45,1,0,1
2009-08-05,0.9971268773078918,0.93619846686888,4,0.45,1,0,1
2009-08-06,0.9982653260231018,0.9460735266542595,4,0.45,1,0,1
2009-08-07,0.9988294243812561,0.954467179099133,4,0.45,1,0,1
2009-08-10,0.998050332069397,0.9614014149712478,4,0.45,1,0,1
2009-08-11,0.9984266757965088,0.967292266694713,4,0.45,1,0,1
2009-08-12,0.9939309358596802,0.9715305744517296,4,0.45,1,0,1
2009-08-13,0.9969394207000732,0.9755732129741084,4,0.45,1,0,1
2009-08-14,0.997452437877655,0.9790542760877329,4,0.45,1,0,1
2009-08-17,0.9790886044502258,0.979059737853264,4,0.45,1,0,1
2009-08-18,0.6420924663543701,0.925447037015615,4,0.45,1,0,1
2009-08-19,0.9232285618782043,0.9250940696685825,4,0.45,1,0,1
2009-08-20,0.9301297664642334,0.9258952670804659,4,0.45,1,0,1
2009-08-21,0.9940415024757385,0.936737577418818,4,0.45,1,0,1
2009-08-24,0.9982407093048096,0.9465229461750029,4,0.45,1,0,1
2009-08-25,0.9876761436462402,0.9530705674164486,4,0.45,1,0,1
2009-08-26,0.9751213192939758,0.9565789210865141,4,0.45,1,0,1
2009-08-27,0.9967361092567444,0.9629680736777289,4,0.45,1,0,1
2009-08-28,0.9978310465812683,0.9685148976415945,4,0.45,1,0,1
2009-08-31,0.9918311238288879,0.9722245928107481,4,0.45,1,0,1
2009-09-01,0.9235259890556335,0.9644764703811705,4,0.45,1,0,1
2009-09-02,0.34380030632019043,0.8657246677124949,4,0.45,1,0,1
2009-09-03,0.2262033373117447,0.7639745315240218,4,0.45,1,0,1
2009-09-04,0.5497125387191772,0.7298846803938882,4,0.45,1,0,1
2009-09-08,0.9302709698677063,0.7617668573831795,4,0.45,1,0,1
2009-09-09,0.9603162407875061,0.7933567760319725,4,0.45,1,0,1
2009-09-10,0.9894130825996399,0.8245500372190051,4,0.45,1,0,1
2009-09-11,0.9818944334983826,0.8495840947067942,4,0.45,1,0,1
2009-09-14,0.989092230796814,0.871780339259989,4,0.45,1,0,1
2009-09-15,0.9927595853805542,0.8910285709976741,4,0.45,1,0,1
2009-09-16,0.9907425045967102,0.9068934152824337,4,0.45,1,0,1
2009-09-17,0.9958822727203369,0.9210518615032803,4,0.45,1,0,1
2009-09-18,0.9990414977073669,0.9334602921964092,4,0.45,1,0,1
2009-09-21,0.9977733492851257,0.9436927301252166,4,0.45,1,0,1
2009-09-22,0.9986051917076111,0.9524294996102183,4,0.45,1,0,1
2009-09-23,0.998406708240509,0.9597446383199254,4,0.45,1,0,1
2009-09-24,0.99762362241745,0.965771320476389,4,0.45,1,0,1
2009-09-25,0.9528250694274902,0.9637115255254838,4,0.45,1,0,1
2009-09-28,0.9236961007118225,0.9573449279924848,4,0.45,1,0,1
2009-09-29,0.9964809417724609,0.963571608077559,4,0.45,1,0,1
2009-09-30,0.9981181621551514,0.9690680886719354,4,0.45,1,0,1
2009-10-01,0.9547979831695557,0.9667976637317991,4,0.45,1,0,1
2009-10-02,0.04743063449859619,0.8205230736832535,4,0.45,1,0,1
2009-10-05,0.06029939651489258,0.6995687614367644,4,0.45,1,0,1
2009-10-06,0.6933853626251221,0.6985849605199161,4,0.45,1,0,1
2009-10-07,0.9132339358329773,0.7327363819543411,4,0.45,1,0,1
2009-10-08,0.9789443016052246,0.7719089445637222,4,0.45,1,0,1
2009-10-09,0.9837312698364258,0.805610635843903,4,0.45,1,0,1
2009-10-12,0.9932770133018494,0.8354690292338118,4,0.45,1,0,1
2009-10-13,0.9922598004341125,0.8604150029869143,4,0.45,1,0,1
2009-10-14,0.9852622151374817,0.8802786419856496,4,0.45,1,0,1
2009-10-15,0.9960551261901855,0.898699095651913,4,0.45,1,0,1
2009-10-16,0.9976869821548462,0.9144484232409881,4,0.45,1,0,1
2009-10-19,0.980665385723114,0.9249837793429047,4,0.45,1,0,1
2009-10-20,0.9980995059013367,0.9366167535396803,4,0.45,1,0,1
2009-10-21,0.9634619355201721,0.940887918225943,4,0.45,1,0,1
2009-10-22,0.8477764129638672,0.9260735439576241,4,0.45,1,0,1
2009-10-23,0.9376847147941589,0.9279209228608183,4,0.45,1,0,1
2009-10-26,0.40456852316856384,0.8446536799842098,4,0.45,1,0,1
2009-10-27,0.5233325362205505,0.793530334156635,4,0.45,1,0,1
2009-10-29,0.0005647683865390718,0.0005647683865390718,4,0.45,0,1,0
2009-10-30,0.005339144263416529,0.0013243887034764654,4,0.45,0,1,0
2009-11-02,0.0016788889188319445,0.0013807909585328523,4,0.45,0,1,0
2009-11-03,0.0008324374794028699,0.0012935459542951747,4,0.45,0,1,0
2009-11-04,0.0009246401605196297,0.0012348517200718116,4,0.45,0,1,0
2009-11-05,0.0027127359062433243,0.001469988391931546,4,0.45,0,1,0
2009-11-06,0.11353572458028793,0.01930004874673058,4,0.45,0,1,0
2009-11-09,0.06395194679498672,0.026404325791933803,4,0.45,0,1,0
2009-11-10,0.8160316348075867,0.1520368612698871,4,0.45,0,1,0
2009-11-11,0.6080571413040161,0.224591322540322,4,0.45,0,1,0
2009-11-12,0.820148229598999,0.31934656137376793,4,0.45,0,1,0
2009-11-13,0.09804829955101013,0.28413721461964514,4,0.45,0,1,0
2009-11-16,0.5320337414741516,0.32357844068835095,4,0.45,0,1,0
2009-11-17,0.8727700710296631,0.41095679778831057,4,0.45,0,1,0
2009-11-18,0.8055891394615173,0.4737442180053387,4,0.45,1,0,1
2009-11-19,0.9209566116333008,0.5448973129745144,4,0.45,1,0,1
2009-11-20,0.269315242767334,0.5010512177127495,4,0.45,1,0,1
2009-11-23,0.36665791273117065,0.47966876112427953,4,0.45,1,0,1
2009-11-24,0.5839418172836304,0.49625897815168296,4,0.45,1,0,1
2009-11-25,0.7528784275054932,0.537088052459492,4,0.45,1,0,1
2009-11-27,0.6936305165290833,0.5619945196579805,4,0.45,1,0,1
2009-11-30,0.01139078103005886,0.4743914910675714,4,0.45,1,0,1
2009-12-01,0.07106738537549973,0.41022118003737307,4,0.45,0,1,0
2009-12-02,0.799183189868927,0.4721064301316933,4,0.45,1,0,1
2009-12-03,0.9399337768554688,0.5465394380377894,4,0.45,1,0,1
2009-12-04,0.7936655282974243,0.5858580848824314,4,0.45,1,0,1
2009-12-07,0.785555899143219,0.6176307229973206,4,0.45,1,0,1
2009-12-08,0.8410946726799011,0.6531846384533827,4,0.45,1,0,1
2009-12-09,0.81471186876297,0.678884199829777,4,0.45,1,0,1
2009-12-10,0.9040815830230713,0.714713910771313,4,0.45,1,0,1
2009-12-11,0.900344729423523,0.7442484394582672,4,0.45,1,0,1
2009-12-14,0.6798050999641418,0.73399527313173,4,0.45,1,0,1
2009-12-15,0.9896083474159241,0.7746642295583639,4,0.45,1,0,1
2009-12-16,0.9643945693969727,0.8048510067618175,4,0.45,1,0,1
2009-12-17,0.9844709634780884,0.8334291857673488,4,0.45,1,0,1
2009-12-18,0.9409267902374268,0.8505324399901766,4,0.45,1,0,1
2009-12-21,0.9572435021400452,0.8675105525103043,4,0.45,1,0,1
2009-12-22,0.9975905418395996,0.8882067451163538,4,0.45,1,0,1
2009-12-23,0.9966539144515991,0.9054610785131787,4,0.45,1,0,1
2009-12-24,0.998432457447052,0.9202531581803632,4,0.45,1,0,1
2009-12-28,0.9975426197052002,0.9325501885720748,4,0.45,1,0,1
2009-12-29,0.9984980821609497,0.9430427348485314,4,0.45,1,0,1
2009-12-30,0.9955976605415344,0.9514044119223628,4,0.45,1,0,1
2009-12-31,0.9973717927932739,0.9587179870003226,4,0.45,1,0,1
2010-01-04,0.9628693461418152,0.9593784831213032,4,0.45,1,0,1
2010-01-05,0.9983468055725098,0.9655784829148393,4,0.45,1,0,1
2010-01-06,0.9988916516304016,0.970878727476743,4,0.45,1,0,1
2010-01-07,0.9990479350090027,0.9753605493745876,4,0.45,1,0,1
2010-01-08,0.9979813694953918,0.9789596029457085,4,0.45,1,0,1
2010-01-11,0.9970083832740784,0.9818312285962505,4,0.45,1,0,1
2010-01-12,0.9980416297912598,0.9844103615365519,4,0.45,1,0,1
2010-01-13,0.8776805400848389,0.9674292643442534,4,0.45,1,0,1
2010-01-14,0.998640239238739,0.9723950423333924,4,0.45,1,0,1
2010-01-15,0.9992755055427551,0.9766718203896425,4,0.45,1,0,1
2010-01-19,0.6774832606315613,0.9290698480170535,4,0.45,1,0,1
2010-01-20,0.9989935755729675,0.9401949637300221,4,0.45,1,0,1
2010-01-21,0.9608345031738281,0.943478788443044,4,0.45,1,0,1
2010-01-22,0.5827338099479675,0.8860829691852556,4,0.45,1,0,1
2010-01-25,0.10074196755886078,0.7611324005782578,4,0.45,1,0,1
2010-01-26,0.13638146221637726,0.661732286711277,4,0.45,1,0,1
2010-01-27,0.02352401427924633,0.560191062752607,4,0.45,1,0,1
2010-01-28,0.2972584664821625,0.5183575441393314,4,0.45,1,0,1
2010-01-29,0.00370867270976305,0.43647506380925694,4,0.45,0,1,0
2010-02-01,0.004830927588045597,0.36779893440174827,4,0.45,0,1,0
2010-02-02,0.03326127305626869,0.3145727932490436,4,0.45,0,1,0
2010-02-03,0.5699173808097839,0.3551990324755192,4,0.45,0,1,0
2010-02-04,0.11242055892944336,0.3165721070351073,4,0.45,0,1,0
