rebalance_date,train_start,train_end,val_start,val_end,oos_start,oos_end,selected_config_id,selected_smoothing_halflife,selected_threshold,oos_sharpe,oos_accuracy,oos_balanced_accuracy,oos_f1,validation_sharpe,validation_accuracy,validation_balanced_accuracy,validation_f1
2008-04-28,1993-04-28,2004-04-27,2004-04-28,2008-04-25,2008-04-28,2008-10-27,cfg_009,8,0.45,-0.946101833996407,0.6692913385826772,0.676218161683278,0.5882352941176471,-0.04563816471476394,0.7414829659318637,0.7436058700209643,0.7383367139959433
2008-10-28,1993-10-28,2004-10-27,2004-10-28,2008-10-27,2008-10-28,2009-04-27,cfg_006,4,0.45,0.26694870613575966,0.8699186991869918,0.7486122125297383,0.6363636363636364,-0.11517247004225144,0.7747747747747747,0.7775515951241099,0.7743229689067201
2009-04-28,1994-04-28,2005-04-27,2005-04-28,2009-04-27,2009-04-28,2009-10-27,cfg_006,4,0.45,1.2091434980683908,0.8110236220472441,0.5813023610053313,0.8909090909090909,-0.046218500445941085,0.7805611222444889,0.7826977817039655,0.759075907590759
2009-10-28,1994-10-28,2005-10-27,2005-10-28,2009-10-27,2009-10-28,2010-04-27,cfg_006,4,0.45,1.811496247774694,0.8373983739837398,0.774512987012987,0.8901098901098901,0.19387961881056495,0.782565130260521,0.7854643874873539,0.7827827827827828
2010-04-28,1995-04-28,2006-04-27,2006-04-28,2010-04-27,2010-04-28,2010-10-27,cfg_006,4,0.45,-0.5070185305477519,0.8110236220472441,0.8140090543259557,0.7966101694915254,0.27294453672137303,0.7915831663326653,0.7950694309574675,0.7855670103092783
2010-10-28,1995-10-30,2006-10-27,2006-10-30,2010-10-27,2010-10-28,2011-04-27,cfg_011,8,0.55,2.0211289401227432,0.8225806451612904,0.5509615384615384,0.9,0.33382752074947025,0.749498997995992,0.7460026138307141,0.7209821428571429
2011-04-28,1996-04-29,2007-04-27,2007-04-30,2011-04-27,2011-04-28,2011-10-27,cfg_008,4,0.55,-0.42602646331532446,0.7795275590551181,0.719551282051282,0.6111111111111112,0.6548161632935604,0.808,0.8078413165983607,0.8028747433264887
2011-10-28,1996-10-28,2007-10-26,2007-10-29,2011-10-27,2011-10-28,2012-04-27,cfg_008,4,0.55,-0.7771867008143813,0.7338709677419355,0.6740573152337859,0.8114285714285714,0.43667568146469027,0.8221778221778222,0.8205626770368237,0.8081896551724138
2012-04-30,1997-04-30,2008-04-29,2008-04-30,2012-04-27,2012-04-30,2012-10-26,cfg_008,4,0.55,-1.7822230503836263,0.7936507936507936,0.7841342486651411,0.8243243243243243,0.7327472303148355,0.811,0.8099107301116679,0.8251618871415356
2012-10-31,1997-10-31,2008-10-30,2008-10-31,2012-10-26,2012-10-31,2013-04-29,cfg_008,4,0.55,1.3082400276060877,0.8278688524590164,0.7355442176870748,0.8923076923076924,0.5809955600065807,0.812625250501002,0.8085489682279725,0.835820895522388
