Date,equity_buy_and_hold,equity_penalty_0_0,equity_penalty_1_0,equity_penalty_2_0,equity_penalty_3_0,equity_penalty_4_0,equity_penalty_5_0
2009-02-02,0.9969824119506462,1.0000106999046552,1.0000106999046552,1.0000106999046552,1.0000106999046552,1.0000106999046552,1.0000106999046552
2009-02-03,1.0109861465905683,1.000023378259157,1.000023378259157,1.000023378259157,1.000023378259157,1.000023378259157,1.000023378259157
2009-02-04,1.0060369394442576,1.0000352655481006,1.0000352655481006,1.0000352655481006,1.0000352655481006,1.0000352655481006,1.0000352655481006
2009-02-05,1.0210073653054335,1.000046757301565,1.000046757301565,1.000046757301565,1.000046757301565,1.000046757301565,1.000046757301565
2009-02-06,1.0501025039065977,1.0000578534664555,1.0000578534664555,1.0000578534664555,1.0000578534664555,1.0000578534664555,1.0000578534664555
2009-02-09,1.0515517850189562,1.0000705324187804,1.0000705324187804,1.0000705324187804,1.0000705324187804,1.0000705324187804,1.0000705324187804
2009-02-10,1.0033804593729279,1.0000828159196913,1.0000828159196913,1.0000828159196913,1.0000828159196913,1.0000828159196913,1.0000828159196913
2009-02-11,1.0092969245301329,1.0000947039151709,1.0000947039151709,1.0000947039151709,1.0000947039151709,1.0000947039151709,1.0000947039151709
2009-02-12,1.010020588948597,1.0001061963516622,1.0001061963516622,1.0001061963516622,1.0001061963516622,1.0001061963516622,1.0001061963516622
2009-02-13,0.9991552315282154,1.000117688920217,1.000117688920217,1.000117688920217,1.000117688920217,1.000117688920217,1.000117688920217
2009-02-17,0.9564170884053923,1.000130368631149,1.000130368631149,1.000130368631149,1.000130368631149,1.000130368631149,1.000130368631149
2009-02-18,0.9541231017978758,1.000142652867006,1.000142652867006,1.000142652867006,1.000142652867006,1.000142652867006,1.000142652867006
2009-02-19,0.9438608085556522,1.0001545415737683,1.0001545415737683,1.0001545415737683,1.0001545415737683,1.0001545415737683,1.0001545415737683
2009-02-20,0.9346856808217344,1.0001652431320036,1.0001652431320036,1.0001652431320036,1.0001652431320036,1.0001652431320036,1.0001652431320036
2009-02-23,0.9012435805562691,1.0001767363790857,1.0001767363790857,1.0001767363790857,1.0001767363790857,1.0001767363790857,1.0001767363790857
2009-02-24,0.9354102269129736,1.0001894168386343,1.0001894168386343,1.0001894168386343,1.0001894168386343,1.0001894168386343,1.0001894168386343
2009-02-25,0.9280456771993192,1.0002013061012802,1.0002013061012802,1.0002013061012802,1.0002013061012802,1.0002013061012802,1.0002013061012802
2009-02-26,0.9129544621679571,1.0002120081598915,1.0002120081598915,1.0002120081598915,1.0002120081598915,1.0002120081598915,1.0002120081598915
2009-02-27,0.8925513575965909,1.0002223144683595,1.0002223144683595,1.0002223144683595,1.0002223144683595,1.0002223144683595,1.0002223144683595
2009-03-02,0.8523484645385234,1.00023341258117,1.00023341258117,1.00023341258117,1.00023341258117,1.00023341258117,1.00023341258117
2009-03-03,0.845949724373347,1.0002441149833177,1.0002441149833177,1.0002441149833177,1.0002441149833177,1.0002441149833177,1.0002441149833177
2009-03-04,0.8659909022705411,1.0002544216226184,1.0002544216226184,1.0002544216226184,1.0002544216226184,1.0002544216226184,1.0002544216226184
2009-03-05,0.8306175607678797,1.000262352253255,1.000262352253255,1.000262352253255,1.000262352253255,1.000262352253255,1.000262352253255
2009-03-06,0.8320656453243293,1.000270679067454,1.000270679067454,1.000270679067454,1.000270679067454,1.000270679067454,1.000270679067454
2009-03-09,0.8222866976927322,1.0002797980808291,1.0002797980808291,1.0002797980808291,1.0002797980808291,1.0002797980808291,1.0002797980808291
2009-03-10,0.8713027918105454,1.0002893131868411,1.0002893131868411,1.0002893131868411,1.0002893131868411,1.0002893131868411,1.0002893131868411
2009-03-11,0.8769768599312291,1.000298432370095,1.000298432370095,1.000298432370095,1.000298432370095,1.000298432370095,1.000298432370095
2009-03-12,0.9115056218919864,1.0003071555802479,1.0003071555802479,1.0003071555802479,1.0003071555802479,1.0003071555802479,1.0003071555802479
2009-03-13,0.9186285932652679,1.0003150866289918,1.0003150866289918,1.0003150866289918,1.0003150866289918,1.0003150866289918,1.0003150866289918
2009-03-16,0.9158522056965266,1.0003246020706842,1.0003246020706842,1.0003246020706842,1.0003246020706842,1.0003246020706842,1.0003246020706842
2009-03-17,0.9438608085556529,1.030416378442006,1.030416378442006,1.0003341176028917,1.0003341176028917,1.0003341176028917,1.0003341176028917
2009-03-18,0.9649889000546458,1.0534819950333953,1.0534819950333953,1.0222261831431112,1.0222261831431112,1.0222261831431112,1.0222261831431112
2009-03-19,0.9530367549857187,1.0404337935137418,1.0404337935137418,1.009565109390356,1.009565109390356,1.009565109390356,1.009565109390356
2009-03-20,0.9327428518852093,1.039922649831875,1.039922649831875,1.0090691308568682,1.0090691308568682,0.9880674951625289,1.0090691308568682
2009-03-23,0.9997405362976189,1.114098955935795,1.114098955935795,1.0810446962920057,1.0810446962920057,1.0590390754702879,1.0810446962920057
2009-03-24,0.9800423920865595,1.0921475784507064,1.0921475784507064,1.0597445953627966,1.0597445953627966,1.0381725569323714,1.0597445953627966
2009-03-25,0.9903783050055028,1.1036657968019228,1.1036657968019228,1.0709210790970056,1.0709210790970056,1.0491215334561768,1.0709210790970056
2009-03-26,1.0105623138922606,1.1261586160994304,1.1261586160994304,1.0927465577734494,1.0927465577734494,1.070502735212662,1.0927465577734494
2009-03-27,0.9923232751473395,1.105833248381281,1.105833248381281,1.0730242244431627,1.0730242244431627,1.051181867418883,1.0730242244431627
2009-03-30,0.9580341392515248,1.105288223493758,1.105288223493758,1.0724953699272648,1.0724953699272648,1.0148589081516115,1.0359465156229501
2009-03-31,0.9669102539614354,1.105297424609498,1.105297424609498,1.0725042980546253,1.0725042980546253,1.014359927022665,1.0354371662368023
2009-04-01,0.9856358501249495,1.1261504370007056,1.1261504370007056,1.0927386213408288,1.0927386213408288,1.033497273818548,1.05497216521274
2009-04-02,1.0144535766850964,1.1590764870778838,1.1590764870778838,1.124687786732408,1.124687786732408,1.0637143583876456,1.0858171262415142
2009-04-03,1.0245450143388342,1.1706065840424793,1.1706065840424793,1.1358757966528004,1.1358757966528004,1.0742958254707733,1.0966184641091692
2009-04-06,1.0165212252959235,1.1614389045836508,1.1614389045836508,1.1269801135508024,1.1269801135508024,1.065882409805655,1.088030227288505
2009-04-07,0.9928095176827987,1.1343467996372163,1.1343467996372163,1.100691805669633,1.100691805669633,1.041019287007676,1.0626504772334127
2009-04-08,1.003509876340986,1.1465726268303467,1.1465726268303467,1.112554904162365,1.112554904162365,1.0522392436485746,1.0741035717416427
2009-04-09,1.0433924072985639,1.1921409060897474,1.1921409060897474,1.1567712157835808,1.1567712157835808,1.0940584276934886,1.1167917106046379
2009-04-13,1.0436357489844872,1.1924189391441542,1.1924189391441542,1.157040999860892,1.157040999860892,1.0943135857916608,1.1170521705962795
2009-04-14,1.0256400519254893,1.1718577327873099,1.1718577327873099,1.1370898250007002,1.1370898250007002,1.075444036912548,1.0977905340715561
2009-04-15,1.0365836263163464,1.1843614491253986,1.1843614491253986,1.1492225679309516,1.1492225679309516,1.0869190195822098,1.1095039537577673
2009-04-16,1.051782342449642,1.2017269303152223,1.2017269303152223,1.1660728317596694,1.1660728317596694,1.1028557691305463,1.125771850735707
2009-04-17,1.0588349689307972,1.2097849959717715,1.2097849959717715,1.1738918222487758,1.1738918222487758,1.1102508636176334,1.1333206068288602
