version,state,days,ratio,avg_run_length,avg_strategy_daily_return,avg_signal_probability,avg_position
paper_baseline_gspc_to_spy,bull,4097,0.6347017815646785,4097.0,0.0004172023776238255,0.8241879972878062,1.0
paper_baseline_gspc_to_spy,bear,2358,0.36529821843532145,2358.0,6.0911066422166765e-05,0.19767554405514062,0.0
final_model_gspc_to_spy,bull,3970,0.6150271107668474,3970.0,0.0004544580199680708,0.8360484043461536,1.0
final_model_gspc_to_spy,bear,2485,0.3849728892331526,2485.0,5.966638761355393e-05,0.22453833531334233,0.0
