version,phase,strategy_annual_return,strategy_sharpe,strategy_max_drawdown,buyhold_annual_return,buyhold_sharpe,buyhold_max_drawdown,excess_return_vs_buyhold,sharpe_difference_vs_buyhold
paper_baseline_gspc_to_spy,2000-05_to_2003-03,-0.020530875945155125,-0.7707421386352127,-0.12440279950683553,-0.14381773106000295,-0.6735403369834403,-0.4762925417088446,0.12328685511484783,-0.09720180165177239
paper_baseline_gspc_to_spy,2003-04_to_2007-10,0.046023556513483665,0.20468024224433387,-0.10425191562784286,0.1392945919955726,0.9024618308277459,-0.09047548860162558,-0.09327103548208893,-0.697781588583412
paper_baseline_gspc_to_spy,2007-11_to_2009-06,0.09592874259224038,0.7781533720055342,-0.07152199415813743,-0.2390597633223216,-0.5658720899059666,-0.5471137506315014,0.334988505914562,1.3440254619115009
paper_baseline_gspc_to_spy,2009-07_to_2019-12,0.08638818249300884,0.7494764392669558,-0.1872943117639405,0.15225658775266648,0.9942647244367541,-0.1836676868149787,-0.06586840525965765,-0.24478828516979823
paper_baseline_gspc_to_spy,2020-01_to_2022-12,0.055959249147456536,0.4703404944400371,-0.09529036682116976,0.09241543548598652,0.4460366839225934,-0.3371727790547796,-0.03645618633852998,0.024303810517443736
paper_baseline_gspc_to_spy,2023-01_to_latest,0.13061256259830722,0.8307391514289483,-0.07742751498136224,0.20799954512497743,1.0045622351454502,-0.18755225458981628,-0.0773869825266702,-0.1738230837165019
final_recovery_overlay_gspc_to_spy,2000-05_to_2003-03,-0.02100068928869181,-0.6393454607655322,-0.11554935569519276,-0.14381773106000295,-0.6735403369834403,-0.4762925417088446,0.12281704177131114,0.034194876217908066
final_recovery_overlay_gspc_to_spy,2003-04_to_2007-10,0.0871455017425562,0.6093915721148505,-0.07628261058691,0.1392945919955726,0.9024618308277459,-0.09047548860162558,-0.052149090253016395,-0.2930702587128954
final_recovery_overlay_gspc_to_spy,2007-11_to_2009-06,0.09993911341077166,0.8018294936543382,-0.05569699742201617,-0.2390597633223216,-0.5658720899059666,-0.5471137506315014,0.33899887673309326,1.3677015835603048
final_recovery_overlay_gspc_to_spy,2009-07_to_2019-12,0.08388227394100456,0.7267040506252473,-0.14956605678788415,0.15225658775266648,0.9942647244367541,-0.1836676868149787,-0.06837431381166192,-0.2675606738115067
final_recovery_overlay_gspc_to_spy,2020-01_to_2022-12,0.014648556744953467,0.11349153431682801,-0.189875316531668,0.09241543548598652,0.4460366839225934,-0.3371727790547796,-0.07776687874103305,-0.33254514960576537
final_recovery_overlay_gspc_to_spy,2023-01_to_latest,0.13849791634967712,0.9293748460928608,-0.07360805459171704,0.20799954512497743,1.0045622351454502,-0.18755225458981628,-0.0695016287753003,-0.07518738905258937
