version,reentry_date,lag_days
paper_baseline_gspc_to_spy,2023-03-30,41
paper_baseline_gspc_to_spy,2023-08-31,86
paper_baseline_gspc_to_spy,2023-11-16,71
paper_baseline_gspc_to_spy,2024-05-08,86
paper_baseline_gspc_to_spy,2024-07-31,90
paper_baseline_gspc_to_spy,2024-08-16,79
paper_baseline_gspc_to_spy,2024-09-12,7
paper_baseline_gspc_to_spy,2024-11-06,62
paper_baseline_gspc_to_spy,2025-01-21,34
paper_baseline_gspc_to_spy,2025-05-05,70
paper_baseline_gspc_to_spy,2025-11-26,89
paper_baseline_gspc_to_spy,2026-02-26,72
final_recovery_overlay_gspc_to_spy,2000-06-02,0
final_recovery_overlay_gspc_to_spy,2000-06-14,9
final_recovery_overlay_gspc_to_spy,2000-07-12,27
final_recovery_overlay_gspc_to_spy,2000-08-08,54
final_recovery_overlay_gspc_to_spy,2000-08-14,60
final_recovery_overlay_gspc_to_spy,2000-08-21,67
final_recovery_overlay_gspc_to_spy,2000-08-31,77
final_recovery_overlay_gspc_to_spy,2001-01-19,88
final_recovery_overlay_gspc_to_spy,2001-02-06,90
final_recovery_overlay_gspc_to_spy,2001-04-18,90
final_recovery_overlay_gspc_to_spy,2001-04-25,2
final_recovery_overlay_gspc_to_spy,2001-06-05,43
final_recovery_overlay_gspc_to_spy,2001-10-22,90
final_recovery_overlay_gspc_to_spy,2001-10-25,0
final_recovery_overlay_gspc_to_spy,2001-11-02,7
final_recovery_overlay_gspc_to_spy,2001-12-05,40
final_recovery_overlay_gspc_to_spy,2001-12-27,62
final_recovery_overlay_gspc_to_spy,2002-01-03,69
final_recovery_overlay_gspc_to_spy,2002-01-09,75
final_recovery_overlay_gspc_to_spy,2002-03-04,59
final_recovery_overlay_gspc_to_spy,2002-03-15,70
final_recovery_overlay_gspc_to_spy,2002-10-31,90
final_recovery_overlay_gspc_to_spy,2003-01-07,60
final_recovery_overlay_gspc_to_spy,2003-03-25,0
final_recovery_overlay_gspc_to_spy,2003-04-01,4
final_recovery_overlay_gspc_to_spy,2003-06-24,88
final_recovery_overlay_gspc_to_spy,2003-07-22,89
final_recovery_overlay_gspc_to_spy,2003-07-25,86
final_recovery_overlay_gspc_to_spy,2003-07-31,85
final_recovery_overlay_gspc_to_spy,2003-08-11,84
final_recovery_overlay_gspc_to_spy,2003-10-01,62
final_recovery_overlay_gspc_to_spy,2003-10-27,88
final_recovery_overlay_gspc_to_spy,2003-11-19,90
final_recovery_overlay_gspc_to_spy,2003-11-24,90
final_recovery_overlay_gspc_to_spy,2004-03-31,12
final_recovery_overlay_gspc_to_spy,2004-06-01,33
final_recovery_overlay_gspc_to_spy,2004-08-24,41
final_recovery_overlay_gspc_to_spy,2004-10-28,90
final_recovery_overlay_gspc_to_spy,2005-02-03,14
final_recovery_overlay_gspc_to_spy,2005-05-18,89
final_recovery_overlay_gspc_to_spy,2005-09-09,78
final_recovery_overlay_gspc_to_spy,2005-11-04,45
final_recovery_overlay_gspc_to_spy,2006-02-17,50
final_recovery_overlay_gspc_to_spy,2006-08-01,76
final_recovery_overlay_gspc_to_spy,2007-04-04,33
final_recovery_overlay_gspc_to_spy,2007-09-27,63
final_recovery_overlay_gspc_to_spy,2008-04-24,90
final_recovery_overlay_gspc_to_spy,2009-03-25,89
final_recovery_overlay_gspc_to_spy,2010-02-18,15
final_recovery_overlay_gspc_to_spy,2010-07-26,81
final_recovery_overlay_gspc_to_spy,2010-09-10,23
final_recovery_overlay_gspc_to_spy,2011-07-11,87
final_recovery_overlay_gspc_to_spy,2011-10-17,77
final_recovery_overlay_gspc_to_spy,2011-12-01,0
final_recovery_overlay_gspc_to_spy,2012-07-06,0
final_recovery_overlay_gspc_to_spy,2012-12-05,43
final_recovery_overlay_gspc_to_spy,2013-06-07,51
final_recovery_overlay_gspc_to_spy,2013-07-09,83
final_recovery_overlay_gspc_to_spy,2013-09-12,17
final_recovery_overlay_gspc_to_spy,2013-12-16,70
final_recovery_overlay_gspc_to_spy,2014-02-10,56
final_recovery_overlay_gspc_to_spy,2014-03-17,53
final_recovery_overlay_gspc_to_spy,2014-03-28,64
final_recovery_overlay_gspc_to_spy,2014-04-09,0
final_recovery_overlay_gspc_to_spy,2014-04-17,8
final_recovery_overlay_gspc_to_spy,2014-05-08,14
final_recovery_overlay_gspc_to_spy,2014-05-12,18
final_recovery_overlay_gspc_to_spy,2014-05-21,7
final_recovery_overlay_gspc_to_spy,2014-10-29,19
final_recovery_overlay_gspc_to_spy,2015-01-26,0
final_recovery_overlay_gspc_to_spy,2015-02-06,10
final_recovery_overlay_gspc_to_spy,2015-08-03,90
final_recovery_overlay_gspc_to_spy,2015-10-22,64
final_recovery_overlay_gspc_to_spy,2016-03-08,63
final_recovery_overlay_gspc_to_spy,2016-11-10,0
final_recovery_overlay_gspc_to_spy,2018-05-09,48
final_recovery_overlay_gspc_to_spy,2019-02-08,88
final_recovery_overlay_gspc_to_spy,2019-06-07,88
