Date,predicted_probability_raw,predicted_probability_smoothed,predicted_label,predicted_bear_flag
2008-02-01,0.015417891554534435,0.015417891554534435,0,1
2008-02-04,0.3619045317173004,0.04417488177164199,0,1
2008-02-05,0.012211929075419903,0.0415220859306152,0,1
2008-02-06,0.002095222705975175,0.03824981569384764,0,1
2008-02-07,0.0014070000033825636,0.03519201095458354,0,1
2008-02-08,0.0018728006398305297,0.03242665121484582,0,1
2008-02-11,0.0037035085260868073,0.030042746505223514,0,1
2008-02-12,0.0034267595037817955,0.027833727197986824,0,1
2008-02-13,0.005990196950733662,0.026020802505328344,0,1
2008-02-14,0.019141478464007378,0.025449846424413804,0,1
2008-02-15,0.010722717270255089,0.02422755424941602,0,1
2008-02-19,0.009056346490979195,0.02296840534576384,0,1
2008-02-20,0.007754616439342499,0.02170572237899324,0,1
2008-02-21,0.017074599862098694,0.021321357934667187,0,1
2008-02-22,0.005186607129871845,0.019982238853968996,0,1
2008-02-25,0.006690980400890112,0.018879118141641713,0,1
2008-02-26,0.3201715350151062,0.04388517055523196,0,1
2008-02-27,0.2946290969848633,0.06469590263987673,0,1
2008-02-28,0.24878579378128052,0.07997461929150547,0,1
2008-02-29,0.057775724679231644,0.07813220079336113,0,1
2008-03-03,0.0011892176698893309,0.07174624429034175,0,1
2008-03-04,0.0009006255422718823,0.0658663443775886,0,1
2008-03-05,0.0007438237080350518,0.06046143846569543,0,1
2008-03-06,0.0025491451378911734,0.05565495227074258,0,1
2008-03-07,0.0009356157970614731,0.05111346858490389,0,1
2008-03-10,0.0013504910748451948,0.04698334265347214,0,1
2008-03-11,0.0009433248778805137,0.04316220732731297,0,1
2008-03-12,0.005173924844712019,0.04000933347565828,0,1
2008-03-13,0.0011047602165490389,0.036780411194304544,0,1
2008-03-14,0.0017888874281197786,0.033876256199603556,0,1
2008-03-17,0.0009104646160267293,0.0311402287856092,0,1
2008-03-18,0.0009104646160267293,0.028631280584657557,0,1
2008-03-19,0.09468669444322586,0.034113612859360855,0,1
2008-03-20,0.003278094809502363,0.03155438953553322,0,1
2008-03-24,0.022102568298578262,0.03076992658851373,0,1
2008-03-25,0.6225982308387756,0.07988928295832116,0,1
2008-03-26,0.6558383703231812,0.12769072852956415,0,1
2008-03-27,0.12292150408029556,0.12729490218322542,0,1
2008-03-28,0.07474538683891296,0.1229335048780934,0,1
2008-03-31,0.0022491244599223137,0.11291718925503585,0,1
2008-04-01,0.016210809350013733,0.10489095072660598,0,1
2008-04-02,0.9898985028266907,0.1783429992842443,0,1
2008-04-03,0.9828905463218689,0.24511719273796675,0,1
2008-04-04,0.9750511646270752,0.3056987611323179,0,1
2008-04-07,0.9783732891082764,0.3615280271935287,0,1
2008-04-08,0.9485210180282593,0.41024607210000885,0,1
2008-04-09,0.9211356043815613,0.4526478376484343,1,0
2008-04-10,0.5007388591766357,0.4566391979934321,1,0
2008-04-11,0.6070753335952759,0.46912478900429894,1,0
2008-04-14,0.007898659445345402,0.4308448850825473,0,1
2008-04-15,0.007639631628990173,0.39572056015135976,0,1
2008-04-16,0.011004526168107986,0.3637906848164156,0,1
2008-04-17,0.8053184151649475,0.4004357012483619,0,1
2008-04-18,0.5693137645721436,0.4144518976956613,0,1
2008-04-21,0.982502818107605,0.46159782734371774,1,0
2008-04-22,0.9714795351028442,0.5039159475316227,1,0
2008-04-23,0.6727492809295654,0.5179284315759297,1,0
2008-04-24,0.3360852301120758,0.5028361810837114,1,0
2008-04-25,0.7484731078147888,0.5232230528420213,1,0
2008-04-28,0.9575662612915039,0.559271783004839,1,0
2008-04-29,0.9426030516624451,0.5910867284166443,1,0
2008-04-30,0.8939898610115051,0.6162264637226572,1,0
2008-05-01,0.36335164308547974,0.5952388760344275,1,0
2008-05-02,0.9711350202560425,0.6264367361797752,1,0
2008-05-05,0.9744978547096252,0.6553244017354125,1,0
2008-05-06,0.9362632632255554,0.6786411913457773,1,0
2008-05-07,0.987199604511261,0.704250292073695,1,0
2008-05-08,0.7429676055908203,0.7074636725535937,1,0
2008-05-09,0.15445168316364288,0.6615659133748865,1,0
2008-05-12,0.38543468713760376,0.6386481380522557,1,0
2008-05-13,0.8648276925086975,0.6574201265819093,1,0
2008-05-14,0.7577107548713684,0.6657438432343976,1,0
2008-05-15,0.8326258659362793,0.6795943763804801,1,0
2008-05-16,0.938969612121582,0.7011214722398268,1,0
2008-05-19,0.9244193434715271,0.7196542927130619,1,0
2008-05-20,0.9146420955657959,0.7358374919742435,1,0
2008-05-21,0.9028864502906799,0.7497018801013792,1,0
2008-05-22,0.06644010543823242,0.692993915371537,1,0
2008-05-23,0.016882551833987236,0.6368794058545437,1,0
2008-05-27,0.01807323656976223,0.5855209957639012,1,0
2008-05-28,0.031105887144804,0.539506783362273,1,0
2008-05-29,0.05021079257130623,0.49889719445045827,1,0
2008-05-30,0.27244481444358826,0.4801025625032087,1,0
2008-06-02,0.17062664031982422,0.454417312236482,1,0
2008-06-03,0.016356967389583588,0.418060074781822,0,1
2008-06-04,0.03153765946626663,0.38598027709986604,0,1
2008-06-05,0.03326576575636864,0.3567063987553156,0,1
2008-06-06,0.7684099078178406,0.39087612540595423,0,1
2008-06-09,0.010435080155730247,0.3593010568511969,0,1
2008-06-10,0.01561888586729765,0.3307768262368924,0,1
2008-06-11,0.015556340105831623,0.30461480038895633,0,1
2008-06-12,0.0034522993955761194,0.2796195304681366,0,1
2008-06-13,0.0024611707776784897,0.2566165072218031,0,1
2008-06-16,0.03798174858093262,0.2384707062396883,0,1
2008-06-17,0.014537942595779896,0.2198851922632399,0,1
2008-06-18,0.019246306270360947,0.20323297594991202,0,1
2008-06-19,0.0015627911780029535,0.18649516600767668,0,1
2008-06-20,0.004498864524066448,0.17139020883283335,0,1
2008-06-23,0.0018727569840848446,0.1573209457231404,0,1
2008-06-24,0.0018659754423424602,0.1444188117260962,0,1
2008-06-25,0.0015696723712608218,0.13256291072795237,0,1
2008-06-26,0.0011072161141783,0.12165261957728765,0,1
2008-06-27,0.0016235450748354197,0.11169069169569883,0,1
2008-06-30,0.002801652764901519,0.1026533417251135,0,1
2008-07-01,0.0021656702738255262,0.0943132712868792,0,1
2008-07-02,0.003365022363141179,0.08676493434859384,0,1
2008-07-03,0.0011785581009462476,0.07966161116327532,0,1
2008-07-07,0.0034443456679582596,0.07333588628916787,0,1
2008-07-08,0.0031042443588376045,0.06750694396985317,0,1
2008-07-09,0.005197236780077219,0.06233549020400094,0,1
2008-07-10,0.0018122015753760934,0.05731230195586838,0,1
2008-07-11,0.0035445878747850657,0.052849799081011194,0,1
2008-07-14,0.0011391699081286788,0.048558025936319374,0,1
2008-07-15,0.0016870758263394237,0.04466792658603547,0,1
2008-07-16,0.001052633742801845,0.04104803362560284,0,1
2008-07-17,0.002945462241768837,0.03788567425723922,0,1
2008-07-18,0.0018232916481792927,0.03489264230828106,0,1
2008-07-21,0.014708077535033226,0.033217405042428066,0,1
2008-07-22,0.01865883357822895,0.03200910247418369,0,1
2008-07-23,0.04564640671014786,0.033140943587356524,0,1
2008-07-24,0.07672358304262161,0.036758126448612094,0,1
2008-07-25,0.0036179518792778254,0.034007625951865975,0,1
2008-07-28,0.0054620662704110146,0.03163845991384546,0,1
2008-07-29,0.00290283071808517,0.02925351887462755,0,1
2008-07-30,0.006818017922341824,0.027391463006910085,0,1
2008-07-31,0.46207186579704285,0.06346817893665606,0,1
2008-08-01,0.04050697758793831,0.04050697758793831,0,1
2008-08-04,0.018225500360131264,0.03865770506660313,0,1
2008-08-05,0.017331918701529503,0.036887751022821075,0,1
2008-08-06,0.43792515993118286,0.07017223448589008,0,1
2008-08-07,0.5176042914390564,0.10730728615362016,0,1
2008-08-08,0.2204260379076004,0.11669568518693503,0,1
2008-08-11,0.5116391181945801,0.14947439328943637,0,1
2008-08-12,0.967172384262085,0.21734002041982947,0,1
2008-08-13,0.6172837018966675,0.2505337289282459,0,1
2008-08-14,0.2885992228984833,0.25369301102119257,0,1
2008-08-15,0.6255834102630615,0.28455841052926834,0,1
2008-08-18,0.7225633859634399,0.3209110525465419,0,1
2008-08-19,0.19069017469882965,0.3101032461948434,0,1
2008-08-20,0.02571159228682518,0.28649988877414145,0,1
2008-08-21,0.08917198330163956,0.27012247045703297,0,1
2008-08-22,0.13354629278182983,0.25878719991543064,0,1
2008-08-25,0.46791887283325195,0.276144283205453,0,1
2008-08-26,0.04673255234956741,0.25710403710299634,0,1
2008-08-27,0.0579405203461647,0.2405742704710406,0,1
2008-08-28,0.2687845528125763,0.24291560984544275,0,1
2008-08-29,0.4408242106437683,0.25934122352672456,0,1
2008-09-02,0.23388689756393433,0.2572286173888626,0,1
2008-09-03,0.06382166594266891,0.24117662240271806,0,1
2008-09-04,0.11906158924102783,0.23104156838637027,0,1
2008-09-05,0.0014066260773688555,0.21198279663579456,0,1
2008-09-08,0.0017049795715138316,0.19453058801571146,0,1
2008-09-09,0.2611387372016907,0.2000587950877678,0,1
2008-09-10,0.002086385153234005,0.18362788550617412,0,1
2008-09-11,0.0020654858089983463,0.16855894042525113,0,1
2008-09-12,0.018374977633357048,0.1560942787380238,0,1
2008-09-15,0.0660518929362297,0.1486211247762698,0,1
2008-09-16,0.0008543097646906972,0.13635707658178542,0,1
2008-09-17,0.00177774578332901,0.12518753625729248,0,1
2008-09-18,0.0008392542949877679,0.11486713161997567,0,1
2008-09-19,0.0007961823721416295,0.10539970404460028,0,1
2008-09-22,0.11836665868759155,0.10647590885191696,0,1
2008-09-23,0.0051131471991539,0.09806320946512903,0,1
2008-09-24,0.0008073920616880059,0.08999136984581865,0,1
2008-09-25,0.0013783428585156798,0.08263684688647714,0,1
2008-09-26,0.00528382696211338,0.07621685898684645,0,1
2008-09-29,0.010438050143420696,0.0707574838100293,0,1
2008-09-30,0.0013004743959754705,0.06499283285756774,0,1
2008-10-01,0.002825387055054307,0.05983318621166639,0,1
2008-10-02,0.005450722295790911,0.055319661586080864,0,1
2008-10-03,0.0014603545423597097,0.05084955686565384,0,1
2008-10-06,0.0013651034096255898,0.04674254730457686,0,1
2008-10-07,0.0013651034096255898,0.04297640293158903,0,1
