version,rebalance_date,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold,oos_sharpe,oos_accuracy,oos_balanced_accuracy,oos_f1
single_threshold_055_baseline,2000-05-26,0,,0.55,-2.812145436251043,0.8492063492063492,0.7156862745098039,0.5581395348837209
single_threshold_055_baseline,2000-11-27,0,,0.55,0.09822505390973667,0.8790322580645161,0.8793939393939394,0.7457627118644068
single_threshold_055_baseline,2001-05-29,0,,0.55,-1.4283244004154836,0.9354838709677419,0.8930817610062893,0.7894736842105263
single_threshold_055_baseline,2001-11-29,0,,0.55,-1.7767860559039754,0.8934426229508197,0.7780448717948718,0.6976744186046512
single_threshold_055_baseline,2002-05-29,4,,0.55,-1.1314078519505872,0.796875,0.6642857142857143,0.48
single_threshold_055_baseline,2002-11-29,12,,0.55,-0.305988723069332,0.639344262295082,0.6263736263736264,0.56
single_threshold_055_baseline,2003-05-29,0,,0.55,1.3443239554041746,0.8359375,0.7792857142857144,0.8934010152284264
single_threshold_055_baseline,2003-12-01,12,,0.55,-0.20931576789167589,0.782258064516129,0.7050326188257223,0.8524590163934426
single_threshold_055_baseline,2004-06-01,12,,0.55,0.45305979091952353,0.7222222222222222,0.6910946196660482,0.7852760736196319
single_threshold_055_baseline,2004-12-01,12,,0.55,-0.9880770050444816,0.7016129032258065,0.6998432601880877,0.7218045112781954
single_threshold_055_baseline,2005-06-01,12,,0.55,0.17709349710938918,0.7322834645669292,0.7216755319148935,0.782051282051282
single_threshold_055_baseline,2005-12-01,12,,0.55,-0.6040285490201452,0.7317073170731707,0.5876160990712074,0.8324873096446701
single_threshold_055_baseline,2006-06-01,12,,0.55,2.7275297582650917,0.8661417322834646,0.8806135357368754,0.9028571428571428
single_threshold_055_baseline,2006-12-01,8,,0.55,0.9418492881445416,0.8770491803278688,0.7857843137254902,0.9261083743842364
single_threshold_055_baseline,2007-06-01,8,,0.55,-1.889627503162263,0.6929133858267716,0.695046439628483,0.6486486486486487
single_threshold_055_baseline,2007-12-03,8,,0.55,-0.12406766052642326,0.7580645161290323,0.6642857142857144,0.5161290322580645
single_threshold_055_baseline,2008-06-03,8,,0.55,0.0,0.9448818897637795,0.5,0.0
single_threshold_055_baseline,2008-12-03,8,,0.55,2.0203756826380515,0.8861788617886179,0.8705308775731311,0.851063829787234
single_threshold_055_baseline,2009-06-03,8,,0.55,2.119712221278004,0.84251968503937,0.5,0.9145299145299145
single_threshold_055_baseline,2009-12-03,12,,0.55,-0.6678358485717839,0.7398373983739838,0.6323795180722892,0.8297872340425532
single_threshold_055_baseline,2010-06-03,8,,0.55,1.5714591293031857,0.7480314960629921,0.7591730558598029,0.7894736842105263
single_threshold_055_baseline,2010-12-03,8,,0.55,1.446268266832361,0.8629032258064516,0.5,0.9264069264069265
single_threshold_055_baseline,2011-06-03,8,,0.55,-0.5269920880605374,0.7165354330708661,0.6697530864197531,0.5609756097560976
single_threshold_055_baseline,2011-12-05,8,,0.55,1.4301353633325178,0.8467741935483871,0.7205882352941176,0.9045226130653267
single_threshold_055_baseline,2012-06-05,8,,0.55,0.8178763268577471,0.728,0.7112403100775193,0.7926829268292683
single_threshold_055_baseline,2012-12-05,8,,0.55,2.8784399972159824,0.9512195121951219,0.5,0.975
single_threshold_055_baseline,2013-06-05,8,,0.55,0.8460930569277206,0.7952755905511811,0.6807407407407408,0.8712871287128713
single_threshold_055_baseline,2013-12-05,8,,0.55,0.5648421521236915,0.7967479674796748,0.6054292929292929,0.8792270531400966
single_threshold_055_baseline,2014-06-05,8,,0.55,1.5460467396252318,0.8110236220472441,0.6711822660098522,0.883495145631068
single_threshold_055_baseline,2014-12-05,8,,0.55,-0.32794623713588605,0.6747967479674797,0.5940406976744186,0.7752808988764045
single_threshold_055_baseline,2015-06-05,12,,0.55,0.325947238115297,0.6535433070866141,0.6514136904761905,0.5217391304347826
