Date,rebalance_date,predicted_probability_raw,predicted_probability_smoothed,predicted_label,predicted_bull_flag,predicted_bear_flag,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold,signal_zone,y_true,rising_entry_trigger,drawdown_entry_trigger
2000-05-26,2000-05-26,0.0017521206755191088,0.0017521206755191088,0,0,1,12,0.45,0.7,bear,0,0,0
2000-05-30,2000-05-26,0.1473124921321869,0.009921796569832587,0,0,1,12,0.45,0.7,bear,0,0,0
2000-05-31,2000-05-26,0.16721884906291962,0.01875020175415083,0,0,1,12,0.45,0.7,bear,0,0,0
2000-06-01,2000-05-26,0.2898462414741516,0.03396565331270678,0,0,1,12,0.45,0.7,bear,1,0,0
2000-06-02,2000-05-26,0.5716114640235901,0.0641413939726632,0,0,1,12,0.45,0.7,bear,1,0,0
2000-06-05,2000-05-26,0.5117153525352478,0.08926179002276348,0,0,1,12,0.45,0.7,bear,0,0,0
2000-06-06,2000-05-26,0.06776352226734161,0.08805518496883745,0,0,1,12,0.45,0.7,bear,1,0,0
2000-06-07,2000-05-26,0.6495551466941833,0.11956975624987526,0,0,1,12,0.45,0.7,bear,0,0,0
2000-06-08,2000-05-26,0.12003026902675629,0.11959560284599656,0,0,1,12,0.45,0.7,bear,0,0,0
2000-06-09,2000-05-26,0.23518984019756317,0.1260834088673887,0,0,1,12,0.45,0.7,bear,0,0,0
2000-06-12,2000-05-26,0.2111395001411438,0.1308572404507368,0,0,1,12,0.45,0.7,bear,1,0,0
2000-06-13,2000-05-26,0.5331161618232727,0.15343429889269097,0,0,1,12,0.45,0.7,bear,1,0,0
2000-06-14,2000-05-26,0.5778933763504028,0.17725735635349935,0,0,1,12,0.45,0.7,bear,1,0,0
2000-06-15,2000-05-26,0.540344774723053,0.19763588726612005,0,0,1,12,0.45,0.7,bear,0,0,0
2000-06-16,2000-05-26,0.07713379710912704,0.19087262463276627,0,0,1,12,0.45,0.7,bear,1,0,0
2000-06-19,2000-05-26,0.6289948225021362,0.21546253411759175,0,0,1,12,0.45,0.7,bear,0,0,0
2000-06-20,2000-05-26,0.24659785628318787,0.21721002547401275,0,0,1,12,0.45,0.7,bear,1,0,0
2000-06-21,2000-05-26,0.34919989109039307,0.224618047400783,0,0,1,12,0.45,0.7,bear,0,0,0
2000-06-22,2000-05-26,0.04132591933012009,0.214330650732782,0,0,1,12,0.45,0.7,bear,0,0,0
2000-06-23,2000-05-26,0.009586059488356113,0.20283921982448289,0,0,1,12,0.45,0.7,bear,0,0,0
2000-06-26,2000-05-26,0.16572822630405426,0.20075633980608362,0,0,1,12,0.45,0.7,bear,0,0,0
2000-06-27,2000-05-26,0.021405380219221115,0.19069014392807315,0,0,1,12,0.45,0.7,bear,0,0,0
2000-06-28,2000-05-26,0.449318528175354,0.20520583975397486,0,0,1,12,0.45,0.7,bear,0,0,0
2000-06-29,2000-05-26,0.003100551664829254,0.19386254154930724,0,0,1,12,0.45,0.7,bear,0,0,0
2000-06-30,2000-05-26,0.08860630542039871,0.1879549629520343,0,0,1,12,0.45,0.7,bear,0,0,0
2000-07-03,2000-05-26,0.36735478043556213,0.19802390101307601,0,0,1,12,0.45,0.7,bear,0,0,0
2000-07-05,2000-05-26,0.009701007045805454,0.18745414915139041,0,0,1,12,0.45,0.7,bear,0,0,0
2000-07-06,2000-05-26,0.08764780312776566,0.18185244938208575,0,0,1,12,0.45,0.7,bear,0,0,0
2000-07-07,2000-05-26,0.29364708065986633,0.18812699990104784,0,0,1,12,0.45,0.7,bear,0,0,0
2000-07-10,2000-05-26,0.42752009630203247,0.2015631019758107,0,0,1,12,0.45,0.7,bear,0,0,0
2000-07-11,2000-05-26,0.41651901602745056,0.2136276503950938,0,0,1,12,0.45,0.7,bear,1,0,0
2000-07-12,2000-05-26,0.7703361511230469,0.24487329763439408,0,0,1,12,0.45,0.7,bear,1,0,0
2000-07-13,2000-05-26,0.9319322109222412,0.28343495137084324,0,0,1,12,0.45,0.7,bear,1,0,0
2000-07-14,2000-05-26,0.9357149600982666,0.3200446151846608,0,0,1,12,0.45,0.7,bear,1,0,0
2000-07-17,2000-05-26,0.9677498936653137,0.3563975191190826,0,0,1,12,0.45,0.7,bear,0,0,0
2000-07-18,2000-05-26,0.31648144125938416,0.354157201814156,0,0,1,12,0.45,0.7,bear,0,0,0
