version,annual_return,annual_volatility,sharpe,max_drawdown,total_return,final_wealth,total_switch_count,avg_switch_count_per_year,avg_position
current_baseline_rule,0.05757628214782762,0.09738677305284066,0.4322888677532386,-0.15345750947896053,3.194205582486245,4.194205582486245,208,8.121475054229935,0.5849085838239851
raw_entry_confirm2_exit_rule,0.05698477284024728,0.10909455730961118,0.39188024643507374,-0.21348162912267366,3.134537535594612,4.134537535594612,498,19.44468546637744,0.6854663774403471
buy_and_hold,0.08347316642656155,0.1921783428190637,0.41634931886889043,-0.5569273201989486,6.793486059968059,7.793486059968059,0,0.0,1.0
