Date,equity_current_baseline_rule,equity_raw_entry_smooth_exit_confirm2_rule,equity_buy_and_hold
2000-05-30,1.0002263817330461,1.0002263817330461,1.0326087633950403
2000-05-31,1.0004438047069992,1.0004438047069992,1.034873210867487
2000-06-01,1.0006654079564836,1.0006654079564836,1.0529889662060379
2000-06-02,1.0008919403257361,1.0008919403257361,1.0713310170667028
2000-06-05,1.0011226495111356,0.9955257946792813,1.066122796658024
2000-06-06,1.0013537867992062,0.9952578768788423,1.061367606191017
2000-06-07,1.0015823516418492,0.9954850502944891,1.0687271263110856
2000-06-08,1.001810593313296,0.9957119025062987,1.0645377624288517
2000-06-09,1.0020392624246903,0.9959391795559434,1.0622728760589608
2000-06-12,1.002268359209515,0.9961668816754841,1.0498188099682038
2000-06-13,1.0024956301985257,0.9963927691140506,1.0695199506538826
2000-06-14,1.0027206972357472,0.9966164660177558,1.0713310170667028
2000-06-15,1.0029465669413582,0.9968409607034715,1.073595552318638
2000-06-16,1.0031721113889964,0.997065132111277,1.0647738014742214
2000-06-19,1.0033980827787377,0.9972897278621036,1.0783934036171996
2000-06-20,1.0036222231858136,0.9975125037766804,1.0745343539513015
2000-06-21,1.0038471666898439,0.9977360778992236,1.0740802706557646
2000-06-22,1.0040732901404157,0.9979608247851849,1.0577375732113854
2000-06-23,1.0043002175390008,0.9981863707249903,1.0486588918032653
2000-06-26,1.0045256897182635,0.9984104703043664,1.0621641172723437
2000-06-27,1.004751589281903,0.9986349946663448,1.0543332212974459
2000-06-28,1.0049767859126189,0.9988588203746221,1.0572839288132925
2000-06-29,1.0052035406802589,0.9990841947344025,1.0472967296961435
2000-06-30,1.0054314772411095,0.9993107436930281,1.0552409489910757
2000-07-03,1.0056639858447702,0.9995418368613829,1.0697682788276839
2000-07-05,1.0058961716279127,0.9997726091744435,1.050474610528992
2000-07-06,1.0061295409385171,1.0000045578100434,1.0586457398024596
2000-07-07,1.0063637176695066,1.0002373089507208,1.075669430520911
2000-07-10,1.0066002084172982,1.000472360021233,1.0738533606772296
2000-07-11,1.0068367547393051,1.0007074663276432,1.0761231626984928
2000-07-12,1.007075992376436,1.0009452475653429,1.0831605320946833
2000-07-13,1.0073156633402534,1.0011834594917797,1.0879263438798348
2000-07-14,1.007555014772358,1.0105004604923247,1.0985949751685
2000-07-17,1.0077936696519725,1.010234562815749,1.0967789053248187
2000-07-18,1.0080327578803343,1.001471924534009,1.0878129327803117
2000-07-19,1.0082726565418747,1.0012095258404345,1.0790746602297392
2000-07-20,1.0085126122961705,1.0014478006616572,1.0940550200080186
2000-07-21,1.0087507397143238,1.0016842599545597,1.0727189863435311
2000-07-24,1.0089919403542564,1.001923770940772,1.0665902224358588
2000-07-25,1.0092328215764501,1.002162964746824,1.06999518880622
2000-07-26,1.0094730058375132,1.002401466474083,1.0595537308345566
2000-07-27,1.0097147564124616,1.0026415235429178,1.0559225567215702
2000-07-28,1.009955810195811,1.0028808887013037,1.0320888454829078
2000-07-31,1.0101995629411809,1.0031229339149972,1.0386715171271397
2000-08-01,1.010442619821271,1.003364288138072,1.0450271032338585
2000-08-02,1.010685735181536,1.0036057004316574,1.0502478761094345
2000-08-03,1.010928153836278,1.003846420900267,1.0575107510123396
2000-08-04,1.011170630636497,1.0040871991070344,1.0631855194039639
2000-08-07,1.0114150542357938,1.004329910475203,1.0758964282789356
2000-08-08,1.011658781385767,1.0045719302728002,1.0799823001438802
2000-08-09,1.0119021893579536,1.0048136331285087,1.0709026531613832
2000-08-10,1.0121456558947888,1.0050553941386098,1.0656823191832512
2000-08-11,1.0123906931663558,1.0052987148801642,1.070675830962337
2000-08-14,1.012635033570515,1.0055413436359921,1.0842951697668488
2000-08-15,1.012879811150263,1.0057844065049153,1.0833870909552636
2000-08-16,1.0131242696030045,1.0060271524823738,1.0795283924073207
2000-08-17,1.0133687870557717,1.0062699570465525,1.0908769636161926
2000-08-18,1.0136133635228046,1.0065128202115912,1.0872453506057624
2000-08-21,1.0138591346202581,1.0067568696384503,1.0931472045348996
2000-08-22,1.0141042080938696,1.0070002263284474,1.0913310469117294
2000-08-23,1.0143497195247477,1.0072440179077422,1.0956435654167431
2000-08-24,1.0145952903931692,1.0074878685082096,1.0990487951255705
2000-08-25,1.0148416784083543,1.0065675488154242,1.0985949751685
2000-08-28,1.015088505143465,1.0063090793672593,1.102340087057942
2000-08-29,1.0153350129327163,1.0060128270776476,1.1025669092569885
2000-08-30,1.0155819596551636,1.005754500072602,1.0920125668627345
2000-08-31,1.0158285872767054,1.00599874115807,1.10653937002241
2000-09-01,1.016073757416304,1.0065270461504778,1.1076740076945752
2000-09-05,1.0163189867276938,0.9984827742684822,1.098822060706013
2000-09-06,1.0165619969980444,0.987139227041126,1.0863380618095768
2000-09-07,1.0168046854541946,0.9868813216524369,1.0956435654167433
2000-09-08,1.0170451510357512,0.9871147106152666,1.0881535171968366
2000-09-11,1.0172845323275665,0.9873470471977245,1.0865644451111793
2000-09-12,1.0175232088329027,0.9875786997347388,1.0786202258162472
2000-09-13,1.017761941336804,0.9878104066223465,1.081457697791548
2000-09-14,1.0180026333011614,0.9880440153057979,1.0869054684251482
2000-09-15,1.0182433821871026,0.988277679235698,1.0631256537926057
2000-09-18,1.018484568770695,0.988511767982323,1.0533413130740625
2000-09-19,1.0187265740814269,0.9887466513619126,1.062898568255093
2000-09-20,1.018968256023988,0.9889812208896758,1.0550477463362384
2000-09-21,1.0192099953029954,0.989215846066541,1.0390054303025162
2000-09-22,1.0194517919320514,0.9894505269057104,1.057892240670643
2000-09-25,1.0196944081749042,0.9896860032384084,1.0503828809632019
2000-09-26,1.0199370821572613,0.9899215356114053,1.036957008151994
2000-09-27,1.0201805763627991,0.990157864069381,1.0424186479448239
2000-09-28,1.0204260347030278,0.990396098859878,1.0558444329765426
2000-09-29,1.020670789623361,0.9906336509312983,1.0458321289255983
2000-10-02,1.0209171284280671,0.9908727402752405,1.047424975529274
2000-10-03,1.0211623825802811,0.9911107768867355,1.0376401081337974
2000-10-04,1.0214076956497153,0.9913488706815863,1.0462872655750006
2000-10-05,1.021653449238325,0.9915873920316522,1.0499279198727767
2000-10-06,1.0218988802763322,0.9918256003234,1.0271725796539617
2000-10-09,1.0221443702740527,0.992063865839746,1.019435871070541
2000-10-10,1.0223910647273182,0.9923033003659297,1.0025968683965143
2000-10-11,1.0226362909711486,0.9925413098903518,0.9941773231697566
2000-10-12,1.0228800473450903,0.9927778928014241,0.9693744385953076
2000-10-13,1.023123861820989,0.9930145321045813,1.0016869462156646
2000-10-16,1.023371174795927,0.9932545669500735,1.0062374349148016
2000-10-17,1.023619311872433,0.9934954016447954,0.981206938125907
2000-10-18,1.0238675091148008,0.9937362947347688,0.9775659327101758
2000-10-19,1.0241165310852596,0.9939779882820571,1.0144294557066023
2000-10-20,1.0243652312732079,0.9942193695165151,1.018753473324648
2000-10-23,1.024615139074147,0.9944619228253365,1.0233040498032735
2000-10-24,1.0248654902710368,0.9947049064814883,1.01647743895968
2000-10-25,1.0251174323637395,0.9949494342152637,0.9925845643455696
2000-10-26,1.0253682888685653,0.9951929083087343,0.9953150331240294
2000-10-27,1.0256188240876751,0.995436070571549,1.0142022823896004
2000-10-30,1.0258709513719957,0.9956807780469712,1.0233040498032735
2000-10-31,1.0261227578837453,0.9959251741897813,1.0409393002201603
2000-11-01,1.0263742433203231,0.9961692587062836,1.0374128470373067
2000-11-02,1.0266257903917535,0.9964134030437972,1.0391191047405055
2000-11-03,1.0268777821835136,0.9966579790140453,1.03968774026892
2000-11-06,1.0271313681271752,0.996904102222183,1.0469696633208936
2000-11-07,1.0273850166935092,0.9971502862100814,1.046741963326959
2000-11-08,1.0276383446878403,0.9973961590600333,1.023531662017719
2000-11-09,1.0278913518061432,0.9976417204769603,1.0196636588439638
2000-11-10,1.0281432706953575,0.9978862256900987,0.9948598964746268
2000-11-13,1.0283960185629324,0.9981315354857413,0.9871234512296724
2000-11-14,1.0286480611374842,0.9983761607443035,1.0130644846558383
2000-11-15,1.0289005493083858,0.99862121848584,1.016249914524723
2000-11-16,1.0291519475887516,0.9988652184110348,1.000321009590524
2000-11-17,1.0294034072949718,0.9991092779543936,0.9949740098100605
2000-11-20,1.0296553126207981,0.9993537700032985,0.9807520648149703
2000-11-21,1.0299072795903812,0.9995983218818569,0.985758041281465
2000-11-22,1.0301593082188059,0.9998429336047099,0.9622061899813236
2000-11-24,1.0304113985211605,1.0000876051865017,0.9818894236512882
2000-11-28,1.0306604730642221,1.0003293497592431,0.9649723184803427
2000-11-29,1.0309080678527738,1.0005696581249062,0.9631675778242857
2000-11-30,1.0311545664930108,1.0008089026006082,0.9548215332986115
2000-12-01,1.031401894712,1.0010489522415371,0.9543708049538657
2000-12-04,1.0316461980913767,1.0012860660603191,0.9624910502411972
2000-12-05,1.031887858156008,1.001520614353994,0.9940702266482554
2000-12-06,1.0321299609109964,1.0017555923101704,0.978167608305764
2000-12-07,1.0323728927052365,1.00199137490795,0.964746606255194
2000-12-08,1.0326151092596068,1.0022264633145268,0.9670021622691907
2000-12-11,1.032856996288808,1.0024612318934716,1.0006116175310666
2000-12-12,1.0330981669808472,1.0026953052162133,0.996325869675446
2000-12-13,1.0333393939859123,1.002929433194755,0.9826786333205635
2000-12-14,1.0335806773171523,1.0031636158418582,0.9701602191310068
2000-12-15,1.0338204694715745,1.0033963511957205,0.9482475124680629
2000-12-18,1.0340576070763763,1.00362651012023,0.9609177646810909
2000-12-19,1.034294024232857,1.0038559697983636,0.9413467570941705
2000-12-20,1.0345262302242226,1.0040813422410093,0.9140823039363237
2000-12-21,1.034741379362102,1.0042901597932692,0.9204179086154045
2000-12-22,1.0349522839885197,1.0044948577450383,0.9480212781637504
2000-12-26,1.0351858021831326,1.004721503774336,0.9582031270557276
2000-12-27,1.0354154895133554,1.0049444316770688,0.9652164775026126
2000-12-28,1.0356498886662941,1.0051719327391269,0.9681582195642284
2000-12-29,1.0358851173569843,1.005400238926618,0.9498310655850575
2001-01-02,1.0361196228250882,1.0056278431751111,0.9326357792330014
2001-01-03,1.0363471833599025,1.0058487068715183,0.9774349572125673
2001-01-04,1.036562320846283,1.006057513115169,0.9669134088113455
2001-01-05,1.0367677301325995,1.006256877448221,0.9353508519243349
2001-01-08,1.0369759193989558,1.0064589399497759,0.9425908717415024
2001-01-09,1.037186106377498,1.006662941373201,0.9401022073808696
2001-01-10,1.037398291336732,1.0068688819791,0.9566192258859577
2001-01-11,1.0376113017562087,1.00707562375292,0.9575239890768203
2001-01-12,1.0378251379780081,1.0072831670266729,0.9557138536027375
2001-01-16,1.0380409731856444,1.007492650458465,0.9618228759247298
2001-01-17,1.0382560712615958,1.007701418451489,0.9662349669379895
2001-01-18,1.0384680837067484,1.007907191620193,0.9758512300691851
2001-01-19,1.038678573135426,1.0081114865930023,0.9703074454551983
2001-01-22,1.038888713479257,1.0083154427541208,0.9767557322204656
2001-01-23,1.0390992881663283,1.0085198204762695,0.9844490907781979
2001-01-24,1.0393114727968238,1.0087257607631046,0.9873903977738439
2001-01-25,1.0395237007555342,1.0056786028662448,0.9849010373076594
2001-01-26,1.039731658892803,1.0053769509439845,0.9837701268256782
2001-01-29,1.0399373036351682,1.005575800793644,0.9890192847648946
2001-01-30,1.0401394533445032,1.0139062785996062,0.9977074651692448
2001-01-31,1.0403404628801545,1.0135952653697098,0.9920600478412441
2001-02-01,1.04054190453096,1.013791528334374,0.9986489479279611
2001-02-02,1.0407457444779955,0.9902786748907312,0.9759868836385786
2001-02-05,1.0409496243568432,0.989977529040488,0.9831546825047539
2001-02-06,1.0411539374140317,0.9901718375168768,0.9802582743171947
2001-02-07,1.041358290572897,0.9903661841312867,0.9751899297950404
2001-02-08,1.0415630771971074,0.9905609429855794,0.9638233092540169
2001-02-09,1.0417671171896972,0.9907549917685013,0.9545552729250749
2001-02-12,1.0419704099462836,0.9909483299052645,0.9654885677601458
2001-02-13,1.0421741360728458,0.9911420801912109,0.9575963840542002
2001-02-14,1.0423786894718592,0.9913366172406259,0.9561483104802115
2001-02-15,1.0425836767609584,0.9915315669338665,0.9654159117431839
2001-02-16,1.0427863408893419,0.9917243072244123,0.9441290909844402
2001-02-20,1.0429898325395124,0.9919178345155534,0.9295768303991132
2001-02-21,1.0431925756190714,0.992110649891279,0.9095210723086059
2001-02-22,1.0433949638362232,0.992303127781116,0.9108965768788266
2001-02-23,1.0435926562058258,0.9924911397645875,0.9047423947091658
2001-02-26,1.043787225693286,0.9926761817838319,0.9240017210352987
2001-02-27,1.0439822267040881,0.9928616341960497,0.9154583305857087
2001-02-28,1.044178449883539,0.9930482489310838,0.8974298929014244
