Date,rebalance_date,predicted_probability_raw,predicted_probability_smoothed,y_true,selected_smoothing_halflife,next_ret,next_rf_daily,next_excess_ret,forward_ret_1d,forward_rf_1d,forward_excess_ret_1d,forward_ret_5d,forward_rf_5d,forward_excess_ret_5d,forward_ret_10d,forward_rf_10d,forward_excess_ret_10d,forward_ret_20d,forward_rf_20d,forward_excess_ret_20d
2000-05-26,2000-05-26,0.0017521206755191,0.0017521206755191,0,0,0.0326087633950402,0.0002263817330461,0.0323823816619941,0.03260876339504026,0.00022638173304612152,0.03237505254149231,0.06612279665802401,0.0011226495111356094,0.06492725659401377,0.04981880996820398,0.0022683592095149585,0.04744283337068711,0.062164117272344166,0.004525689718263504,0.05737874913905516
2000-05-30,2000-05-26,0.1473124921321869,0.1473124921321869,0,0,0.002192938461031,0.0002173737645034,0.0019755646965275,0.00219293846103108,0.00021737376450348123,0.0019751353539203542,0.0278506669858416,0.0011271499000118368,0.02669342958933707,0.035745568474051304,0.0022687348653485095,0.033401055469619356,0.02103842100950226,0.004524183356387823,0.01643986070891379
2000-05-31,2000-05-26,0.1672188490629196,0.1672188490629196,0,0,0.0175052896802356,0.0002215049445473,0.0172837847356883,0.01750528968023568,0.00022150494454731273,0.0172799571397404,0.03271310445384934,0.0011380418665130065,0.031539169691791935,0.03522924916440262,0.0022758824813902123,0.032878538992106465,0.021655520415897023,0.004530970339656104,0.017047309223777063
2000-06-01,2000-05-26,0.2898462414741516,0.2898462414741516,1,0,0.0174190342437794,0.0002263817330461,0.0171926525107333,0.01741903424377944,0.00022638173304612152,0.01718876128916369,0.010967632704096175,0.0011444238480782243,0.009811979792346825,0.019569612573289374,0.0022796420928881123,0.017250645183511493,-0.005405789322183607,0.004535115022155978,-0.009896024733909159
2000-06-02,2000-05-26,0.5716114640235901,0.5716114640235901,1,0,-0.0048614483532259,0.0002305035899523,-0.0050919519431783,-0.004861448353225883,0.00023050358995235776,-0.005090778500458248,-0.008455034777713144,0.0011462996680546844,-0.00959034104101597,-0.006120625173753225,0.0022781390991295503,-0.008379674209428312,-0.015018764340158142,0.004535491527582369,-0.019465968134191658
2000-06-05,2000-05-26,0.5117153525352478,0.5117153525352478,0,0,-0.0044602652545401,0.0002308780928923,-0.0046911433474324,-0.00446026525454013,0.0002308780928923504,-0.004690060515205152,-0.015292784978360952,0.001144424910313191,-0.01641842023956397,0.011509562498466908,0.002272881618164524,0.009215734606517367,0.0034193830026783,0.004536243721837918,-0.0011118172451614061
2000-06-06,2000-05-26,0.0677635222673416,0.0677635222673416,1,0,0.0069339973041762,0.0002282558329096,0.0067057414712665,0.006933997304176209,0.0002282558329096407,0.0067042111959561,0.007680981043054924,0.0011402996766702866,0.006533231524589622,0.01240545470154042,0.0022653695592029788,0.010117166022404867,-0.01026316951684303,0.00453624372183814,-0.014732582653114501
2000-06-07,2000-05-26,0.6495551466941833,0.6495551466941833,0,0,-0.0039199565343628,0.0002278810834401,-0.004147837617803,-0.003919956534362834,0.00022788108344018454,-0.004146892619420028,0.002436441156504765,0.001136547176606939,0.0012984182662831856,0.0050088972319406455,0.0022612369759529294,0.0027414611626386254,-0.009433078154779895,0.004540005411650672,-0.013909932398067593
2000-06-08,2000-05-26,0.1200302690267562,0.1200302690267562,0,0,-0.0021275772920663,0.0002282558329096,-0.002355833124976,-0.0021275772920662517,0.0002282558329096407,-0.0023552955150363264,0.008508660011384173,0.001133920559080126,0.00736638655514299,-0.00638792672037336,0.0022586074076500484,-0.008627049011220467,0.010456809034806946,0.0045448953989915,0.00588516617116186
2000-06-09,2000-05-26,0.2351898401975631,0.2351898401975631,0,0,-0.0117239801292505,0.0002286305471406,-0.0119526106763911,-0.011723980129250466,0.00022863054714061803,-0.011949878569115557,0.0023543154227370078,0.00113054348944841,0.0012223899682684003,-0.012815901227002047,0.002256353816755041,-0.015038323265659015,0.010901610009315776,0.004551663955334462,0.006321174193250512
2000-06-12,2000-05-26,0.2111395001411438,0.2111395001411438,1,0,0.0187662294660881,0.0002267566235354,0.0185394728425527,0.01876622946608819,0.00022675662353544013,0.01853526984734577,0.027218595606856466,0.0011271667501442373,0.0260620525776063,0.011759464763747118,0.0022522216610019186,0.009485878801035907,0.025056088232107143,0.00455805622098393,0.020405024761071644
2000-06-13,2000-05-26,0.5331161618232727,0.5331161618232727,1,0,0.0016933451421012,0.0002245067513928,0.0014688383907084,0.001693345142101288,0.00022450675139285003,0.001468508700590787,0.004688461673252098,0.0011237884269525988,0.003560671804533344,-0.014199575563926259,0.00225034305928129,-0.016412983779078183,0.012753928930883118,0.004568959743997514,0.008147742479492237
2000-06-14,2000-05-26,0.5778933763504028,0.5778933763504028,1,0,0.0021137586944282,0.0002252568499221,0.001888501844506,0.0021137586944282027,0.00022525684992213968,0.0018880765423316959,0.0025662036711953107,0.0011234129874870824,0.0014411716527562568,-0.013111809543114972,0.002249967197337277,-0.015327290838840768,0.01549038210297482,0.004582498513467703,0.01085812624214344
2000-06-15,2000-05-26,0.540344774723053,0.540344774723053,0,0,-0.0082170150811117,0.0002248818183065,-0.0084418968994183,-0.008217015081111723,0.00022488181830659926,-0.008439998897119882,-0.01477090611357701,0.0011234129874870824,-0.015876483253581375,-0.024496024192441013,0.0022503429527493957,-0.026686313787024907,0.023285698972830948,0.004594908625146887,0.01860530069106514
2000-06-16,2000-05-26,0.077133797109127,0.077133797109127,1,0,0.0127910755543771,0.0002252568499221,0.012565818704455,0.012791075554377196,0.00022525684992213968,0.01256298880517126,-0.015134585062709371,0.0011245389870759848,-0.016240860568891957,-0.008952936736372763,0.002252221554469358,-0.011179978502280807,0.03005812483955239,0.004606944521790002,0.02533446583915233
2000-06-19,2000-05-26,0.6289948225021362,0.6289948225021362,0,0,-0.0035785174992297,0.0002233813387955,-0.0038018988380252,-0.003578517499229661,0.00022338133879551414,-0.003801049754442176,-0.015049504466940089,0.0011237882141483801,-0.016155137727712154,-0.007998124581052646,0.002258229415545321,-0.0102332449817637,0.008734780026951494,0.004618979427150505,0.004096877208260574
2000-06-20,2000-05-26,0.2465978562831878,0.2465978562831878,1,0,-0.0004225861126423,0.000224131649174,-0.0006467177618163,-0.00042258611264234247,0.00022413164917400863,-0.0006465728443784124,-0.018799894651643,0.0011252900443998737,-0.01990278828652825,-0.022390855475059257,0.0022657414209910076,-0.024600857713736324,0.004225370982083421,0.004633649244333515,-0.00040639516957963195
2000-06-21,2000-05-26,0.349199891090393,0.349199891090393,0,0,-0.0152155270801142,0.0002252568499221,-0.0154407839300363,-0.0152155270801142,0.00022525684992213968,-0.015437306570986853,-0.01563788322097881,0.0011252900443998737,-0.016744331036363302,-0.01436999754579027,0.0022736272257450896,-0.01660586921518059,0.01859707314059378,0.004647565646582752,0.013884976155825512
2000-06-22,2000-05-26,0.04132591933012,0.04132591933012,0,0,-0.0085831132769126,0.0002260068072852,-0.0088091200841978,-0.008583113276912635,0.00022600680728523947,-0.008807129612952713,-0.009870920519106319,0.0011256653781570591,-0.010984221339595424,0.016953030471520636,0.002281135801123435,0.014638502258819797,0.014163638989074023,0.004658474256650225,0.009461090485955115
2000-06-23,2000-05-26,0.0095860594883561,0.0095860594883561,0,0,0.0128785685933152,0.0002245067513928,0.0126540618419224,0.012878568593315265,0.00022450675139285003,0.012651221557269388,0.006276642709329261,0.0011264158688333303,0.0051444320705755775,0.024025418628396578,0.002290142766207648,0.02168561271310332,0.017099297753303766,0.004671633773766448,0.012369876446950423
2000-06-26,2000-05-26,0.1657282263040542,0.1657282263040542,0,0,-0.0073725856932616,0.0002248818183065,-0.0075974675115682,-0.007372585693261602,0.00022488181830659926,-0.007595759363391186,0.0071591211110273445,0.0011331677608223956,0.006019132663122928,0.013142079645842353,0.0023006529795068786,0.010816541557772563,0.007372750977491682,0.0046859248164243805,0.0026742946175524196
2000-06-27,2000-05-26,0.0214053802192211,0.0214053802192211,0,0,0.0027986479570618,0.000224131649174,0.0025745163078878,0.0027986479570618616,0.00022413164917400863,0.0025739394066037757,-0.003659764001086696,0.0011391694805158448,-0.0047934729035651324,0.027341745678622242,0.0023134107169660023,0.024970567782539366,0.0049514796950878015,0.004699088417451591,0.0002512108158012616
2000-06-28,2000-05-26,0.449318528175354,0.449318528175354,0,0,-0.009446089971649,0.0002256318462461,-0.0096717218178952,-0.009446089971648974,0.00022563184624613264,-0.009669540061718607,0.0012880277019775566,0.0011470464214269338,0.0001408197537560163,0.028982200742364128,0.0023272949787698227,0.026593015971054568,-0.0012876125841142505,0.004714507405800816,-0.0059739557313776
2000-06-29,2000-05-26,0.0031005516648292,0.0031005516648292,0,0,0.0075854522120364,0.0002267566235354,0.0073586955885009,0.0075854522120364365,0.00022675662353544013,0.007357027333823485,0.02709136772822629,0.001154171212392363,0.025907295061682767,0.04898157706196549,0.0023393014418835456,0.04653341992375859,-0.014521084409046425,0.004727668898118598,-0.019158179776491147
2000-06-30,2000-05-26,0.0886063054203987,0.0886063054203987,0,0,0.0137668367120304,0.0002312525606407,0.0135355841513897,0.013766836712030495,0.00023125256064071564,0.013532454736580268,0.0176380680677235,0.0011624175318201146,0.016456521187162565,0.039363480324998035,0.0023494315269949606,0.03692729065712674,-0.015702036468333014,0.004742327854260875,-0.020347868061112884
2000-07-03,2000-05-26,0.3673547804355621,0.3673547804355621,0,0,-0.0180353714730027,0.0002308780928923,-0.018266249565895,-0.018035371473002715,0.0002308780928923504,-0.0182620332624831,0.005940430275024777,0.0011661637595083985,0.00476870542407104,0.016867815497765504,0.0023554309082416403,0.01447828199661072,-0.023127602569163574,0.004751720299983164,-0.027747474630670954
2000-07-05,2000-05-26,0.0097010070458054,0.0097010070458054,0,0,0.0077785119141078,0.0002320013905876,0.0075465105235201,0.007778511914107833,0.000232001390587655,0.0075447601286786625,0.031115384644310184,0.0011729050987581147,0.029907401002425615,0.02722583622115815,0.0023625548848809075,0.02480467892092464,-0.000215839980599708,0.004761488997291341,-0.004953741790858501
