regression,n_obs,beta,p_value,t_or_z,r_squared
forward_ret_1d ~ predicted_probability_smoothed,6455,-0.00029647591743309925,0.6051679659642969,-0.5169830860967966,6.717698064384603e-05
forward_excess_ret_1d ~ predicted_probability_smoothed,6455,-0.00026380580132507724,0.6454972219304478,-0.4600264686540485,5.31872709775838e-05
forward_ret_5d ~ predicted_probability_smoothed,6451,-1.8123695318896958e-06,0.9987211781193999,-0.001602766228277872,6.155134180119148e-10
forward_excess_ret_5d ~ predicted_probability_smoothed,6451,0.00015938022192460433,0.8879097395022246,0.14094962354824792,4.7588775294871155e-06
forward_ret_10d ~ predicted_probability_smoothed,6446,0.0010563038321588342,0.47896266655345565,0.7079719663667752,0.000114504087273537
forward_excess_ret_10d ~ predicted_probability_smoothed,6446,0.0013728248350875318,0.3574939036325986,0.9201509093094696,0.00019327208234154458
forward_ret_20d ~ predicted_probability_smoothed,6436,0.0014902244297883731,0.470160397099593,0.7222180996104768,0.00011776935642482389
forward_excess_ret_20d ~ predicted_probability_smoothed,6436,0.0021054490693486172,0.3075197537011173,1.0204401640186815,0.000234734927891056
