term,coef,std_err,t_or_z,p_value,ci_lower,ci_upper
const,0.0020656993993945346,0.0011768857514471958,1.7552250903321587,0.0792208138335175,-0.00024095428736032676,0.004372353086149396
predicted_probability_smoothed,0.0013728248350875318,0.0014919561793595062,0.9201509093094696,0.3574939036325986,-0.0015513555429690817,0.004297005213144145
