Date,rebalance_date,predicted_probability_raw,predicted_probability_smoothed,predicted_label,predicted_bull_flag,predicted_bear_flag,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold,signal_zone,y_true,rising_entry_trigger,drawdown_entry_trigger
2000-08-07,2000-05-26,0.2667544484138489,0.18137011093467223,0,0,1,8,,0.5,bear,0,0,0
2000-08-08,2000-05-26,0.4932473301887512,0.20725465914933106,0,0,1,8,,0.5,bear,0,0,0
2000-08-09,2000-05-26,0.10528316348791122,0.1987914373010608,0,0,1,8,,0.5,bear,0,0,0
2000-08-10,2000-05-26,0.02248631976544857,0.18415882538327977,0,0,1,8,,0.5,bear,0,0,0
2000-08-11,2000-05-26,0.09679096192121506,0.17690764596208206,0,0,1,8,,0.5,bear,1,0,0
2000-08-14,2000-05-26,0.8348029255867004,0.2315102941656576,0,0,1,8,,0.5,bear,0,0,0
2000-08-15,2000-05-26,0.18948395550251007,0.22802227797770516,0,0,1,8,,0.5,bear,0,0,0
2000-08-16,2000-05-26,0.10762400180101395,0.21802970784991244,0,0,1,8,,0.5,bear,1,0,0
2000-08-17,2000-05-26,0.8049734234809875,0.2667436631137189,0,0,1,8,,0.5,bear,1,0,0
2000-08-18,2000-05-26,0.28725069761276245,0.26844566406300185,0,0,1,8,,0.5,bear,1,0,0
2000-08-21,2000-05-26,0.7480736970901489,0.30825285156995147,0,0,1,8,,0.5,bear,1,0,0
2000-08-22,2000-05-26,0.651096522808075,0.33670749009558265,0,0,1,8,,0.5,bear,1,0,0
2000-08-23,2000-05-26,0.85550457239151,0.3797655503233581,0,0,1,8,,0.5,bear,1,0,0
2000-08-24,2000-05-26,0.8258172869682312,0.41678604098641736,0,0,1,8,,0.5,bear,1,0,0
2000-08-25,2000-05-26,0.7254466414451599,0.44240362284651136,0,0,1,8,,0.5,bear,1,0,0
2000-08-28,2000-05-26,0.9219335317611694,0.48220266644886023,0,0,1,8,,0.5,bear,1,0,0
2000-08-29,2000-05-26,0.8713557720184326,0.5145008007854804,1,1,0,8,,0.5,bull,0,0,0
2000-08-30,2000-05-26,0.4082479178905487,0.5056822411073536,1,1,0,8,,0.5,bull,1,0,0
2000-08-31,2000-05-26,0.9291203618049622,0.5408258930782675,1,1,0,8,,0.5,bull,1,0,0
2000-09-01,2000-05-26,0.9116207957267761,0.5716003707984112,1,1,0,8,,0.5,bull,0,0,0
2000-09-05,2000-05-26,0.5857437252998352,0.5727742120375524,1,1,0,8,,0.5,bull,0,0,0
2000-09-06,2000-05-26,0.03275388851761818,0.5279547085980925,1,1,0,8,,0.5,bull,0,0,0
2000-09-07,2000-05-26,0.292226642370224,0.508390232197998,1,1,0,8,,0.5,bull,0,0,0
2000-09-08,2000-05-26,0.07644859701395035,0.47254082290615906,0,0,1,8,,0.5,bear,0,0,0
2000-09-11,2000-05-26,0.012244620360434055,0.43433809916662014,0,0,1,8,,0.5,bear,0,0,0
2000-09-12,2000-05-26,0.005519242025911808,0.39874786782634764,0,0,1,8,,0.5,bear,0,0,0
2000-09-13,2000-05-26,0.01473826915025711,0.3668766237656353,0,0,1,8,,0.5,bear,0,0,0
2000-09-14,2000-05-26,0.01124583836644888,0.3373607064655556,0,0,1,8,,0.5,bear,0,0,0
2000-09-15,2000-05-26,0.005148997064679861,0.3097884777852182,0,0,1,8,,0.5,bear,0,0,0
2000-09-18,2000-05-26,0.009064249694347382,0.2848295827432797,0,0,1,8,,0.5,bear,0,0,0
2000-09-19,2000-05-26,0.005833361763507128,0.26167402444078247,0,0,1,8,,0.5,bear,0,0,0
2000-09-20,2000-05-26,0.0077303028665483,0.24059772229656232,0,0,1,8,,0.5,bear,0,0,0
2000-09-21,2000-05-26,0.004995970521122217,0.2210437294853041,0,0,1,8,,0.5,bear,0,0,0
2000-09-22,2000-05-26,0.0021774170454591513,0.2028787104740938,0,0,1,8,,0.5,bear,0,0,0
2000-09-25,2000-05-26,0.003685187315568328,0.1863464534321195,0,0,1,8,,0.5,bear,0,0,0
2000-09-26,2000-05-26,0.004757414106279612,0.17127529736972683,0,0,1,8,,0.5,bear,0,0,0
2000-09-27,2000-05-26,0.004438979551196098,0.15742855754416832,0,0,1,8,,0.5,bear,0,0,0
2000-09-28,2000-05-26,0.03261266276240349,0.14706934293349067,0,0,1,8,,0.5,bear,0,0,0
2000-09-29,2000-05-26,0.004043736960738897,0.13519879591955045,0,0,1,8,,0.5,bear,0,0,0
2000-10-02,2000-05-26,0.004720429889857769,0.12436961908982498,0,0,1,8,,0.5,bear,0,0,0
2000-10-03,2000-05-26,0.008590849116444588,0.11476044929929799,0,0,1,8,,0.5,bear,0,0,0
2000-10-04,2000-05-26,0.010305109433829784,0.1060910784247822,0,0,1,8,,0.5,bear,0,0,0
2000-10-05,2000-05-26,0.005311159882694483,0.09772675265962634,0,0,1,8,,0.5,bear,0,0,0
2000-10-06,2000-05-26,0.00503335939720273,0.0900335757972058,0,0,1,8,,0.5,bear,0,0,0
2000-10-09,2000-05-26,0.003362515941262245,0.08284022825799656,0,0,1,8,,0.5,bear,0,0,0
2000-10-10,2000-05-26,0.002890185685828328,0.07620469797889218,0,0,1,8,,0.5,bear,0,0,0
2000-10-11,2000-05-26,0.003565965685993433,0.07017597689184331,0,0,1,8,,0.5,bear,0,0,0
2000-10-12,2000-05-26,0.0028223791159689426,0.06458590060082689,0,0,1,8,,0.5,bear,0,0,0
2000-10-13,2000-05-26,0.002706951228901744,0.05945019799221425,0,0,1,8,,0.5,bear,0,0,0
2000-10-16,2000-05-26,0.0027166721411049366,0.05474154473182891,0,0,1,8,,0.5,bear,0,0,0
2000-10-17,2000-05-26,0.0021211355924606323,0.05037426352834538,0,0,1,8,,0.5,bear,0,0,0
2000-10-18,2000-05-26,0.0017727509839460254,0.04634053449302278,0,0,1,8,,0.5,bear,0,0,0
2000-10-19,2000-05-26,0.015907660126686096,0.04381472896695663,0,0,1,8,,0.5,bear,0,0,0
2000-10-20,2000-05-26,0.03803512826561928,0.043335045476854184,0,0,1,8,,0.5,bear,0,0,0
2000-10-23,2000-05-26,0.023354792967438698,0.04167676530282298,0,0,1,8,,0.5,bear,0,0,0
2000-10-24,2000-05-26,0.03417813777923584,0.04105440953685108,0,0,1,8,,0.5,bear,0,0,0
2000-10-25,2000-05-26,0.001004328252747655,0.03773041472094622,0,0,1,8,,0.5,bear,0,0,0
2000-10-26,2000-05-26,0.001495336415246129,0.034723049727410984,0,0,1,8,,0.5,bear,0,0,0
2000-10-27,2000-05-26,0.0064561692997813225,0.03237701294070071,0,0,1,8,,0.5,bear,0,0,0
2000-10-30,2000-05-26,0.06532760709524155,0.035111779029531394,0,0,1,8,,0.5,bear,0,0,0
2000-10-31,2000-05-26,0.3229711353778839,0.05900294173215041,0,0,1,8,,0.5,bear,0,0,0
2000-11-01,2000-05-26,0.2157372683286667,0.07201125713069984,0,0,1,8,,0.5,bear,0,0,0
2000-11-02,2000-05-26,0.22690139710903168,0.0848665124963639,0,0,1,8,,0.5,bear,0,0,0
2000-11-03,2000-05-26,0.1866280436515808,0.0933123081395488,0,0,1,8,,0.5,bear,0,0,0
2000-11-06,2000-05-26,0.2842921018600464,0.10916285884795603,0,0,1,8,,0.5,bear,0,0,0
2000-11-07,2000-05-26,0.16258257627487183,0.113596479407539,0,0,1,8,,0.5,bear,0,0,0
2000-11-08,2000-05-26,0.058090582489967346,0.10898971438508225,0,0,1,8,,0.5,bear,0,0,0
2000-11-09,2000-05-26,0.005420515313744545,0.1003938896136307,0,0,1,8,,0.5,bear,0,0,0
2000-11-10,2000-05-26,0.0019397377036511898,0.09222259307538931,0,0,1,8,,0.5,bear,0,0,0
2000-11-13,2000-05-26,0.0014449669979512691,0.08468841714348375,0,0,1,8,,0.5,bear,0,0,0
2000-11-14,2000-05-26,0.004143497906625271,0.0780035145064182,0,0,1,8,,0.5,bear,0,0,0
2000-11-15,2000-05-26,0.008245497941970825,0.07221388117750749,0,0,1,8,,0.5,bear,0,0,0
2000-11-16,2000-05-26,0.0012281318195164204,0.06632235099070763,0,0,1,8,,0.5,bear,0,0,0
2000-11-17,2000-05-26,0.0017507000593468547,0.06096316503980536,0,0,1,8,,0.5,bear,0,0,0
2000-11-20,2000-05-26,0.0012374093057587743,0.05600616879733407,0,0,1,8,,0.5,bear,0,0,0
2000-11-21,2000-05-26,0.0019206026336178184,0.05151728548475938,0,0,1,8,,0.5,bear,0,0,0
2000-11-22,2000-05-26,0.001855403301306069,0.04739555005668678,0,0,1,8,,0.5,bear,0,0,0
2000-11-27,2000-11-27,0.0014926503645256162,0.0014926503645256162,0,0,1,8,,0.5,bear,0,0,0
2000-11-28,2000-11-27,0.0008424267289228737,0.0014386844317578293,0,0,1,8,,0.5,bear,0,0,0
2000-11-29,2000-11-27,0.0011075404472649097,0.0014112008199278219,0,0,1,8,,0.5,bear,0,0,0
2000-11-30,2000-11-27,0.0008454496273770928,0.001364245758393976,0,0,1,8,,0.5,bear,0,0,0
2000-12-01,2000-11-27,0.0011200421722605824,0.0013439778481099845,0,0,1,8,,0.5,bear,0,0,0
2000-12-04,2000-11-27,0.002169125946238637,0.0014124618040120178,0,0,1,8,,0.5,bear,0,0,0
2000-12-05,2000-11-27,0.11162302643060684,0.010559493064149673,0,0,1,8,,0.5,bear,0,0,0
2000-12-06,2000-11-27,0.005103281699120998,0.010106649581431572,0,0,1,8,,0.5,bear,0,0,0
2000-12-07,2000-11-27,0.0030951679218560457,0.009524724952542201,0,0,1,8,,0.5,bear,0,0,0
2000-12-08,2000-11-27,0.12741687893867493,0.019309297071283524,0,0,1,8,,0.5,bear,0,0,0
2000-12-11,2000-11-27,0.1513819843530655,0.03027079611876527,0,0,1,8,,0.5,bear,0,0,0
2000-12-12,2000-11-27,0.08814285695552826,0.03507394317962989,0,0,1,8,,0.5,bear,0,0,0
2000-12-13,2000-11-27,0.024953458458185196,0.034233983866941084,0,0,1,8,,0.5,bear,0,0,0
2000-12-14,2000-11-27,0.0014031502651050687,0.03150915741976847,0,0,1,8,,0.5,bear,0,0,0
2000-12-15,2000-11-27,0.000637086748611182,0.028946900376162765,0,0,1,8,,0.5,bear,0,0,0
