section,metric,threshold,days,strategy_value,buy_and_hold_value,difference,strategy_compounded_return,buy_and_hold_compounded_return,period
drawdown_zone,dd_leq_10pct,0.1,2629.0,0.00015527137598973838,-0.00025916736218261136,0.00041443873817234973,0.4193702510723407,-0.637848007934503,
drawdown_zone,dd_leq_20pct,0.2,1387.0,0.000364084345236555,-0.0002659829651452138,0.0006300673103817688,0.5974718043752074,-0.44743622179582376,
drawdown_zone,dd_leq_30pct,0.3,578.0,0.0004111650092252401,-0.0002848728133575601,0.0006960378225828002,0.24186004808308437,-0.26118349831993437,
tail_daily_return,worst_1pct,0.01,65.0,-0.027239107986702538,-0.04878461433984655,0.021545506353144013,,,
tail_daily_return,worst_5pct,0.05,323.0,-0.016895527968354182,-0.02900903589756333,0.01211350792920915,,,
tail_daily_return,worst_10pct,0.1,646.0,-0.012565068454971807,-0.022073015313097848,0.00950794685812604,,,
worst_month,worst_month,,,-0.07169636269365998,-0.004063584119207375,-0.0676327785744526,-0.07169636269365998,-0.004063584119207375,2011-11
worst_quarter,worst_quarter,,,-0.07359085541499133,0.10415490998266574,-0.17774576539765707,-0.07359085541499133,0.10415490998266574,2011Q4
