Date,position,fee,strategy_ret_gross,strategy_ret,strategy_excess_ret,signal_zone,rebalance_date,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold,selected_rising_entry_floor,predicted_probability_raw,predicted_probability_smoothed,y_true,equity_predicted_strategy,predicted_label,predicted_bull_flag,predicted_bear_flag,equity_buy_and_hold,bh_ret
2000-05-30,0,0.0,0.0002263817330461,0.0,0.0,bear,2000-05-26,4,0.49,0.67,0.52,0.0026484846603125334,0.0026484846603125334,0,1.0002263817330461,0,0,1,1.0326087633950403,0.0
2000-05-31,0,0.0,0.0002173737645034,0.00021737376450348123,0.0,bear,2000-05-26,4,0.49,0.67,0.52,0.026599779725074768,0.006459221564432222,0,1.0004438047069992,0,0,1,1.034873210867487,0.00219293846103108
2000-06-01,0,0.0,0.0002215049445473,0.00022150494454731273,0.0,bear,2000-05-26,4,0.49,0.67,0.52,0.07274211943149567,0.017005068222453935,0,1.0006654079564836,0,0,1,1.0529889662060379,0.01750528968023568
2000-06-02,0,0.0,0.0002263817330461,0.00022638173304612152,0.0,bear,2000-05-26,4,0.49,0.67,0.52,0.17351587116718292,0.04190649802247981,1,1.0008919403257361,0,0,1,1.0713310170667028,0.01741903424377944
2000-06-05,0,0.0,0.0002305035899523,0.00023050358995235776,0.0,bear,2000-05-26,4,0.49,0.67,0.52,0.9793541431427002,0.19105777887307057,1,1.0011226495111356,0,0,1,1.066122796658024,-0.004861448353225883
2000-06-06,0,0.0,0.0002308780928923,0.0002308780928923504,0.0,bear,2000-05-26,4,0.49,0.67,0.52,0.8491097092628479,0.2957561999472973,1,1.0013537867992062,0,0,1,1.061367606191017,-0.00446026525454013
2000-06-07,0,0.0,0.0002282558329096,0.0002282558329096407,0.0,bear,2000-05-26,4,0.49,0.67,0.52,0.583379864692688,0.34151815606615277,1,1.0015823516418492,0,0,1,1.0687271263110856,0.006933997304176209
2000-06-08,0,0.0,0.0002278810834401,0.00022788108344018454,0.0,bear,2000-05-26,4,0.49,0.67,0.52,0.8407171964645386,0.4209425128954417,1,1.001810593313296,0,0,1,1.0645377624288517,-0.003919956534362834
2000-06-09,0,0.0,0.0002282558329096,0.0002282558329096407,0.0,bear,2000-05-26,4,0.49,0.67,0.52,0.25483620166778564,0.39451440333013943,0,1.0020392624246903,0,0,1,1.0622728760589608,-0.0021275772920664737
2000-06-12,0,0.0,0.0002286305471406,0.00022863054714061803,0.0,bear,2000-05-26,4,0.49,0.67,0.52,0.2734442949295044,0.37525171507797705,0,1.002268359209515,0,0,1,1.0498188099682038,-0.011723980129250466
2000-06-13,0,0.0,0.0002267566235354,0.00022675662353544013,0.0,bear,2000-05-26,4,0.49,0.67,0.52,0.06616056710481644,0.32607420542210264,1,1.0024956301985257,0,0,1,1.0695199506538826,0.01876622946608819
2000-06-14,0,0.0,0.0002245067513928,0.00022450675139285003,0.0,bear,2000-05-26,4,0.49,0.67,0.52,0.43600350618362427,0.3435643512419133,1,1.0027206972357472,0,0,1,1.0713310170667028,0.001693345142101288
2000-06-15,0,0.0,0.0002252568499221,0.00022525684992213968,0.0,bear,2000-05-26,4,0.49,0.67,0.52,0.7263073921203613,0.4044601410823685,1,1.0029465669413582,0,0,1,1.073595552318638,0.0021137586944282027
