state,segment_count,total_days,share_of_days,avg_segment_length,median_segment_length,max_segment_length,avg_daily_strategy_return,avg_daily_buy_and_hold_return,avg_segment_strategy_return,avg_segment_buy_and_hold_return,segment_win_rate_strategy,segment_win_rate_buy_and_hold
bull,189,3392,0.5255655407499226,17.947089947089946,5.0,306,-0.0009885672655287514,-0.0008067830180480296,0.005995983772237396,0.00631770732346378,0.48677248677248675,0.5026455026455027
bear,104,2156,0.33405639913232105,20.73076923076923,7.0,204,-4.233405638458161e-05,0.0051258229834172195,0.0014449136894210208,0.0057041526564699995,0.5096153846153846,0.8076923076923077
hold,228,906,0.14037806011775644,3.973684210526316,2.0,29,0.0011944226025868397,0.0006099886185087402,0.00328679217296778,0.002570432344200178,0.7543859649122807,0.5921052631578947
