phase_name,start_date,end_date,n_days,predicted_annual_return,predicted_annual_volatility,predicted_sharpe,predicted_max_drawdown,predicted_total_return,buy_and_hold_annual_return,buy_and_hold_annual_volatility,buy_and_hold_sharpe,buy_and_hold_max_drawdown,buy_and_hold_total_return,excess_annual_return,excess_total_return,sharpe_difference
2000-05_to_2003-03,2000-05-30,2003-03-31,706,-0.0188664053179336,0.07102995453836662,-0.2325831951939376,-0.1331368508036438,-0.05196214216648054,-0.15834054075077342,0.23465475289686277,-0.6172197837359795,-0.4762925417088514,-0.38303132646920324,0.13947413543283982,0.3310691843027227,0.3846365885420419
2003-04_to_2007-10,2003-04-01,2007-10-31,1147,0.08623511403181539,0.09972557989056693,0.8795344843258869,-0.094265856314526,0.4571708813879214,0.14523893488237638,0.11825119522467263,1.2063197024277232,-0.09047548860162669,0.8538336491590592,-0.059003820850560995,-0.39666276777113785,-0.32678521810183636
2007-11_to_2009-06,2007-11-01,2009-06-30,414,0.10650202379088092,0.11016818178881056,0.9738561637441785,-0.05691241488861909,0.18088391321209518,-0.24096760992880795,0.3776157158042179,-0.541751586487972,-0.5471137506315054,-0.36425230661508734,0.34746963371968886,0.5451362198271825,1.5156077502321503
2009-07_to_2019-12,2009-07-01,2019-12-31,2623,0.08683368428755722,0.1128749375508381,0.7943849225219817,-0.16322564469051615,1.3790953391905778,0.15122659890663126,0.14804899408420424,1.025682669975674,-0.18366768681498047,3.3311818974275678,-0.06439291461907404,-1.95208655823699,-0.23129774745369236
2020-01_to_2022-12,2020-01-02,2022-12-30,750,0.0532105088372381,0.10566482236628913,0.5438351864734131,-0.09253594109655972,0.1668350752632215,0.09396502732418588,0.25010790814845496,0.48496474349348134,-0.33717277905478016,0.3064165148640434,-0.04075451848694778,-0.13958143960082192,0.05887044297993177
2023-01_to_latest,2023-01-03,2026-04-10,814,0.12588639392374312,0.09426979016632415,1.3052440467050999,-0.08093308978133473,0.4666809037191517,0.20634217877251815,0.1531472121269487,1.3015354153986332,-0.18755225458981695,0.8330009426467386,-0.08045578484877502,-0.3663200389275869,0.003708631306466703
