Date,next_date,ret,rf_daily,next_ret,next_rf_daily,position,fee,strategy_ret_gross,strategy_ret,strategy_excess_ret,equity_buy_and_hold
2000-05-26,2000-05-30,0.0011338150450805884,0.00022488181830659926,0.03260876339504026,0.00022638173304612152,1.0,0.0,0.03260876339504026,0.03260876339504026,0.03238238166199414,1.0326087633950403
2000-05-30,2000-05-31,0.03260876339504026,0.00022638173304612152,0.00219293846103108,0.00021737376450348123,1.0,0.0,0.00219293846103108,0.00219293846103108,0.0019755646965275986,1.034873210867487
2000-05-31,2000-06-01,0.00219293846103108,0.00021737376450348123,0.01750528968023568,0.00022150494454731273,1.0,0.0,0.01750528968023568,0.01750528968023568,0.017283784735688368,1.0529889662060379
2000-06-01,2000-06-02,0.01750528968023568,0.00022150494454731273,0.01741903424377944,0.00022638173304612152,1.0,0.0,0.01741903424377944,0.01741903424377944,0.01719265251073332,1.0713310170667028
2000-06-02,2000-06-05,0.01741903424377944,0.00022638173304612152,-0.0048614483532259944,0.00023050358995235776,1.0,0.0,-0.0048614483532259944,-0.0048614483532259944,-0.005091951943178352,1.066122796658024
2000-06-05,2000-06-06,-0.0048614483532259944,0.00023050358995235776,-0.00446026525454013,0.0002308780928923504,1.0,0.0,-0.00446026525454013,-0.00446026525454013,-0.00469114334743248,1.061367606191017
2000-06-06,2000-06-07,-0.00446026525454013,0.0002308780928923504,0.006933997304176209,0.0002282558329096407,1.0,0.0,0.006933997304176209,0.006933997304176209,0.006705741471266569,1.0687271263110856
2000-06-07,2000-06-08,0.006933997304176209,0.0002282558329096407,-0.003919956534362834,0.00022788108344018454,1.0,0.0,-0.003919956534362834,-0.003919956534362834,-0.0041478376178030185,1.0645377624288517
2000-06-08,2000-06-09,-0.003919956534362834,0.00022788108344018454,-0.0021275772920663627,0.0002282558329096407,1.0,0.0,-0.0021275772920663627,-0.0021275772920663627,-0.0023558331249760034,1.0622728760589608
2000-06-09,2000-06-12,-0.0021275772920663627,0.0002282558329096407,-0.011723980129250577,0.00022863054714061803,1.0,0.0,-0.011723980129250577,-0.011723980129250577,-0.011952610676391195,1.0498188099682038
2000-06-12,2000-06-13,-0.011723980129250577,0.00022863054714061803,0.01876622946608819,0.00022675662353544013,1.0,0.0,0.01876622946608819,0.01876622946608819,0.01853947284255275,1.0695199506538826
2000-06-13,2000-06-14,0.01876622946608819,0.00022675662353544013,0.001693345142101288,0.00022450675139285003,1.0,0.0,0.001693345142101288,0.001693345142101288,0.001468838390708438,1.0713310170667028
2000-06-14,2000-06-15,0.001693345142101288,0.00022450675139285003,0.0021137586944282027,0.00022525684992213968,1.0,0.0,0.0021137586944282027,0.0021137586944282027,0.001888501844506063,1.073595552318638
2000-06-15,2000-06-16,0.0021137586944282027,0.00022525684992213968,-0.008217015081111723,0.00022488181830659926,1.0,0.0,-0.008217015081111723,-0.008217015081111723,-0.008441896899418322,1.0647738014742214
2000-06-16,2000-06-19,-0.008217015081111723,0.00022488181830659926,0.012791075554377196,0.00022525684992213968,1.0,0.0,0.012791075554377196,0.012791075554377196,0.012565818704455056,1.0783934036171996
2000-06-19,2000-06-20,0.012791075554377196,0.00022525684992213968,-0.003578517499229772,0.00022338133879551414,1.0,0.0,-0.003578517499229772,-0.003578517499229772,-0.003801898838025286,1.0745343539513015
2000-06-20,2000-06-21,-0.003578517499229772,0.00022338133879551414,-0.00042258611264234247,0.00022413164917400863,1.0,0.0,-0.00042258611264234247,-0.00042258611264234247,-0.0006467177618163511,1.0740802706557646
2000-06-21,2000-06-22,-0.00042258611264234247,0.00022413164917400863,-0.0152155270801142,0.00022525684992213968,1.0,0.0,-0.0152155270801142,-0.0152155270801142,-0.01544078393003634,1.0577375732113854
2000-06-22,2000-06-23,-0.0152155270801142,0.00022525684992213968,-0.008583113276912635,0.00022600680728523947,1.0,0.0,-0.008583113276912635,-0.008583113276912635,-0.008809120084197875,1.0486588918032653
2000-06-23,2000-06-26,-0.008583113276912635,0.00022600680728523947,0.012878568593315265,0.00022450675139285003,1.0,0.0,0.012878568593315265,0.012878568593315265,0.012654061841922415,1.0621641172723437
2000-06-26,2000-06-27,0.012878568593315265,0.00022450675139285003,-0.007372585693261602,0.00022488181830659926,1.0,0.0,-0.007372585693261602,-0.007372585693261602,-0.007597467511568201,1.0543332212974459
2000-06-27,2000-06-28,-0.007372585693261602,0.00022488181830659926,0.0027986479570618616,0.00022413164917400863,1.0,0.0,0.0027986479570618616,0.0027986479570618616,0.002574516307887853,1.0572839288132925
2000-06-28,2000-06-29,0.0027986479570618616,0.00022413164917400863,-0.009446089971649085,0.00022563184624613264,1.0,0.0,-0.009446089971649085,-0.009446089971649085,-0.009671721817895218,1.0472967296961435
2000-06-29,2000-06-30,-0.009446089971649085,0.00022563184624613264,0.0075854522120364365,0.00022675662353544013,1.0,0.0,0.0075854522120364365,0.0075854522120364365,0.007358695588500996,1.0552409489910757
2000-06-30,2000-07-03,0.0075854522120364365,0.00022675662353544013,0.013766836712030495,0.00023125256064071564,1.0,0.0,0.013766836712030495,0.013766836712030495,0.013535584151389779,1.0697682788276839
2000-07-03,2000-07-05,0.013766836712030495,0.00023125256064071564,-0.018035371473002715,0.0002308780928923504,1.0,0.0,-0.018035371473002715,-0.018035371473002715,-0.018266249565895065,1.050474610528992
2000-07-05,2000-07-06,-0.018035371473002715,0.0002308780928923504,0.007778511914107833,0.000232001390587655,1.0,0.0,0.007778511914107833,0.007778511914107833,0.007546510523520178,1.0586457398024596
2000-07-06,2000-07-07,0.007778511914107833,0.000232001390587655,0.016080630260343565,0.0002327500798466886,1.0,0.0,0.016080630260343565,0.016080630260343565,0.015847880180496876,1.075669430520911
2000-07-07,2000-07-10,0.016080630260343565,0.0002327500798466886,-0.001688315938105478,0.00023499530402326663,1.0,0.0,-0.001688315938105478,-0.001688315938105478,-0.0019233112421287446,1.0738533606772296
2000-07-10,2000-07-11,-0.001688315938105478,0.00023499530402326663,0.002113698298463973,0.00023499530402326663,1.0,0.0,0.002113698298463973,0.002113698298463973,0.0018787029944407063,1.0761231626984928
2000-07-11,2000-07-12,0.002113698298463973,0.00023499530402326663,0.006539557589805511,0.00023761313440817666,1.0,0.0,0.006539557589805511,0.006539557589805511,0.006301944455397335,1.0831605320946833
2000-07-12,2000-07-13,0.006539557589805511,0.00023761313440817666,0.004399912703553666,0.00023798696983301504,1.0,0.0,0.004399912703553666,0.004399912703553666,0.0041619257337206506,1.0879263438798348
2000-07-13,2000-07-14,0.004399912703553666,0.00023798696983301504,0.009806391166720108,0.00023761313440817666,1.0,0.0,0.009806391166720108,0.009806391166720108,0.009568778032311931,1.0985949751685
2000-07-14,2000-07-17,0.009806391166720108,0.00023761313440817666,-0.0016530840616696407,0.000236865358333338,1.0,0.0,-0.0016530840616696407,-0.0016530840616696407,-0.0018899494200029787,1.0967789053248187
2000-07-17,2000-07-18,-0.0016530840616696407,0.000236865358333338,-0.008174822200698428,0.00023723926391050476,1.0,0.0,-0.008174822200698428,-0.008174822200698428,-0.008412061464608933,1.0878129327803117
2000-07-18,2000-07-19,-0.008174822200698428,0.00023723926391050476,-0.008032881653869062,0.00023798696983301504,1.0,0.0,-0.008032881653869062,-0.008032881653869062,-0.008270868623702077,1.0790746602297392
2000-07-19,2000-07-20,-0.008032881653869062,0.00023798696983301504,0.013882598054049344,0.00023798696983301504,1.0,0.0,0.013882598054049344,0.013882598054049344,0.01364461108421633,1.0940550200080186
2000-07-20,2000-07-21,0.013882598054049344,0.00023798696983301504,-0.019501792208156954,0.00023611744191387452,1.0,0.0,-0.019501792208156954,-0.019501792208156954,-0.01973790965007083,1.0727189863435311
2000-07-21,2000-07-24,-0.019501792208156954,0.00023611744191387452,-0.005713298623121199,0.00023910826573558808,1.0,0.0,-0.005713298623121199,-0.005713298623121199,-0.005952406888856787,1.0665902224358588
2000-07-24,2000-07-25,-0.005713298623121199,0.00023910826573558808,0.0031923847591486254,0.00023873453548994839,1.0,0.0,0.0031923847591486254,0.0031923847591486254,0.002953650223658677,1.06999518880622
2000-07-25,2000-07-26,0.0031923847591486254,0.00023873453548994839,-0.009758415814292376,0.00023798696983301504,1.0,0.0,-0.009758415814292376,-0.009758415814292376,-0.009996402784125391,1.0595537308345566
2000-07-26,2000-07-27,-0.009758415814292376,0.00023798696983301504,-0.0034270787854489004,0.00023948196093437346,1.0,0.0,-0.0034270787854489004,-0.0034270787854489004,-0.003666560746383274,1.0559225567215702
2000-07-27,2000-07-28,-0.0034270787854489004,0.00023948196093437346,-0.022571457619639523,0.00023873453548994839,1.0,0.0,-0.022571457619639523,-0.022571457619639523,-0.022810192155129472,1.0320888454829078
2000-07-28,2000-07-31,-0.022571457619639523,0.00023873453548994839,0.006378008708302518,0.000241349911460631,1.0,0.0,0.006378008708302518,0.006378008708302518,0.006136658796841887,1.0386715171271397
2000-07-31,2000-08-01,0.006378008708302518,0.000241349911460631,0.006118956765366779,0.00024060283631732737,1.0,0.0,0.006118956765366779,0.006118956765366779,0.005878353929049451,1.0450271032338585
2000-08-01,2000-08-02,0.006118956765366779,0.00024060283631732737,0.004995825332587245,0.00024060283631732737,1.0,0.0,0.004995825332587245,0.004995825332587245,0.0047552224962699174,1.0502478761094345
2000-08-02,2000-08-03,0.004995825332587245,0.00024060283631732737,0.006915391183469843,0.00023985562109318792,1.0,0.0,0.006915391183469843,0.006915391183469843,0.0066755355623766555,1.0575107510123396
2000-08-03,2000-08-04,0.006915391183469843,0.00023985562109318792,0.005366156690314483,0.00023985562109318792,1.0,0.0,0.005366156690314483,0.005366156690314483,0.005126301069221295,1.0631855194039639
2000-08-04,2000-08-07,0.005366156690314483,0.00023985562109318792,0.011955494730682137,0.00024172339651817865,1.0,0.0,0.011955494730682137,0.011955494730682137,0.011713771334163958,1.0758964282789356
2000-08-07,2000-08-08,0.011955494730682137,0.00024172339651817865,0.0037976442318714554,0.000240976391395753,1.0,0.0,0.0037976442318714554,0.0037976442318714554,0.0035566678404757024,1.0799823001438802
2000-08-08,2000-08-09,0.0037976442318714554,0.000240976391395753,-0.008407218323195909,0.00024060283631732737,1.0,0.0,-0.008407218323195909,-0.008407218323195909,-0.008647821159513236,1.0709026531613832
