rebalance_date,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold,oos_sharpe,oos_accuracy,oos_balanced_accuracy,oos_f1,version
2000-05-26,4,0.49,0.55,-1.4320777289962285,0.7777777777777778,0.5892857142857143,0.3333333333333333,baseline_plus_recovery_features_new_threshold
2000-11-27,4,0.47,0.58,0.18987329718551,0.8629032258064516,0.7849702380952381,0.6792452830188679,baseline_plus_recovery_features_new_threshold
2001-05-29,8,0.48,0.55,-0.5585269615107296,0.9032258064516129,0.7201923076923077,0.6,baseline_plus_recovery_features_new_threshold
2001-11-29,12,0.45,0.65,-0.4050327162314132,0.7540983606557377,0.6774316109422492,0.5,baseline_plus_recovery_features_new_threshold
2002-05-29,8,0.47,0.55,-0.8443259804195001,0.7890625,0.5678401173450678,0.2702702702702703,baseline_plus_recovery_features_new_threshold
2002-11-29,12,0.45,0.58,0.005664026348742638,0.6065573770491803,0.592944369063772,0.5102040816326531,baseline_plus_recovery_features_new_threshold
2003-05-29,12,0.5,0.58,1.723487297122781,0.8203125,0.5,0.9012875536480687,baseline_plus_recovery_features_new_threshold
2003-12-01,12,0.46,0.65,0.3204891464688858,0.75,0.6121466293880087,0.8426395939086294,baseline_plus_recovery_features_new_threshold
2004-06-01,12,0.5,0.58,-0.35846661944661656,0.6507936507936508,0.625,0.7215189873417721,baseline_plus_recovery_features_new_threshold
2004-12-01,12,0.5,0.58,-0.5904362753287546,0.6693548387096774,0.6586802827965436,0.7210884353741497,baseline_plus_recovery_features_new_threshold
2005-06-01,12,0.5,0.58,-0.2009498216812784,0.6929133858267716,0.6117886178861789,0.7891891891891892,baseline_plus_recovery_features_new_threshold
2005-12-01,12,0.49,0.55,-0.3129609966696659,0.7398373983739838,0.5555555555555556,0.8446601941747572,baseline_plus_recovery_features_new_threshold
2006-06-01,12,0.49,0.55,2.8201070668496384,0.8503937007874016,0.8792002688172043,0.8926553672316384,baseline_plus_recovery_features_new_threshold
2006-12-01,12,0.46,0.58,0.8851231750883704,0.8442622950819673,0.665686274509804,0.9090909090909091,baseline_plus_recovery_features_new_threshold
2007-06-01,12,0.46,0.55,-1.430223804783584,0.6377952755905512,0.6491025641025641,0.6166666666666667,baseline_plus_recovery_features_new_threshold
2007-12-03,0,0.46,0.55,-1.187222795356553,0.8790322580645161,0.84465737514518,0.8051948051948052,baseline_plus_recovery_features_new_threshold
2008-06-03,8,0.45,0.55,0.0,0.9291338582677166,0.5,0.0,baseline_plus_recovery_features_new_threshold
2008-12-03,8,0.47,0.55,2.020371893631961,0.8943089430894309,0.8796495956873316,0.8631578947368421,baseline_plus_recovery_features_new_threshold
2009-06-03,8,0.47,0.55,2.1197145759253884,0.84251968503937,0.5,0.9145299145299145,baseline_plus_recovery_features_new_threshold
2009-12-03,8,0.5,0.65,0.1961991155184728,0.7398373983739838,0.6707317073170732,0.8181818181818182,baseline_plus_recovery_features_new_threshold
2010-06-03,4,0.47,0.65,1.1931903561584858,0.7401574803149606,0.7531489594742606,0.7814569536423841,baseline_plus_recovery_features_new_threshold
2010-12-03,4,0.5,0.55,0.78855369772665,0.8548387096774194,0.6238425925925926,0.9181818181818182,baseline_plus_recovery_features_new_threshold
2011-06-03,4,0.45,0.55,-0.8456570684482294,0.7716535433070866,0.7505367686527107,0.6813186813186813,baseline_plus_recovery_features_new_threshold
2011-12-05,4,0.46,0.65,0.6716744988131134,0.8145161290322581,0.706099518459069,0.8808290155440415,baseline_plus_recovery_features_new_threshold
2012-06-05,4,0.46,0.6,0.15622665684573073,0.744,0.6992647058823529,0.813953488372093,baseline_plus_recovery_features_new_threshold
2012-12-05,4,0.46,0.63,2.8784393989294026,0.9512195121951219,0.5,0.975,baseline_plus_recovery_features_new_threshold
2013-06-05,4,0.46,0.65,0.44926046445131496,0.7559055118110236,0.6287037037037037,0.845771144278607,baseline_plus_recovery_features_new_threshold
2013-12-05,0,0.45,0.6,0.3255234598619119,0.8536585365853658,0.8575607560756076,0.9052631578947369,baseline_plus_recovery_features_new_threshold
2014-06-05,4,0.46,0.55,0.7076837787266395,0.8582677165354331,0.7867698803659395,0.9090909090909091,baseline_plus_recovery_features_new_threshold
