jump_penalty,rebalance_date,split,bull_state,bear_state,bull_days,bear_days,bull_cagr,bear_cagr,cagr_spread_bull_minus_bear,bull_sortino,bear_sortino,sortino_spread_bull_minus_bear,bull_sortino_finite,bear_sortino_finite,sortino_spread_bull_minus_bear_finite
0.0,2000-05-26,oos,0,1,20,107,3.019080766483693,-0.2801896948175995,3.2992704613012926,54.32349054113903,-2.346220529076103,56.669711070215136,54.32349054113903,-2.346220529076103,56.669711070215136
0.0,2000-05-26,train,0,1,770,848,0.7871288881843936,-0.28723560595548947,1.074364494139883,14.839238624505391,-3.231189088670059,18.07042771317545,14.839238624505391,-3.231189088670059,18.07042771317545
0.0,2000-05-26,validation,0,1,499,511,1.4138732008355595,-0.39943729717922294,1.8133104980147823,14.60027082085112,-2.8250190466635776,17.4252898675147,14.60027082085112,-2.8250190466635776,17.4252898675147
0.0,2000-11-27,oos,0,1,18,107,4.349721707281686,-0.3276672351901049,4.677388942471791,24.738939758105424,-1.9992770310594115,26.738216789164834,24.738939758105424,-1.9992770310594115,26.738216789164834
0.0,2000-11-27,train,0,1,816,931,0.8137642729452392,-0.2744419445999462,1.0882062175451854,15.621855641051427,-3.090394124803413,18.71224976585484,15.621855641051427,-3.090394124803413,18.71224976585484
0.0,2000-11-27,validation,0,1,431,577,1.6791006180412205,-0.38463430741929194,2.0637349254605124,15.976092912891048,-2.728258637945061,18.70435155083611,15.976092912891048,-2.728258637945061,18.70435155083611
0.0,2001-05-29,oos,0,1,14,111,1.1765348081658438,-0.31633997481958165,1.4928747829854254,15.5763664544717,-2.2609216225410793,17.83728807701278,15.5763664544717,-2.2609216225410793,17.83728807701278
0.0,2001-05-29,train,0,1,863,1009,0.8619493161067777,-0.27218773208484137,1.134137048191619,14.895977021201526,-3.03796009768647,17.933937118887997,14.895977021201526,-3.03796009768647,17.933937118887997
0.0,2001-05-29,validation,0,1,374,634,1.8957153366411625,-0.3711338540579663,2.266849190699129,17.51733087319117,-2.5165218463207877,20.03385271951196,17.51733087319117,-2.5165218463207877,20.03385271951196
0.0,2001-11-29,oos,0,1,21,102,1.8225834099841034,-0.284451311002309,2.1070347209864124,18.296517552452293,-2.40321817258114,20.699735725033435,18.296517552452293,-2.40321817258114,20.699735725033435
0.0,2001-11-29,train,0,1,926,1075,0.897635407489433,-0.27589338389204143,1.1735287913814745,14.325826710230269,-2.8828005512474077,17.208627261477677,14.325826710230269,-2.8828005512474077,17.208627261477677
0.0,2001-11-29,validation,0,1,318,686,2.0903290526680895,-0.3698804417413494,2.460209494409439,19.79339283810854,-2.5735411814046976,22.366934019513238,19.79339283810854,-2.5735411814046976,22.366934019513238
0.0,2002-05-29,oos,0,1,20,109,28.86811026714369,-0.60754325762471,29.4756535247684,86.72028942614601,-3.703596305340155,90.42388573148617,86.72028942614601,-3.703596305340155,90.42388573148617
0.0,2002-05-29,train,0,1,935,1189,1.0261225121230795,-0.2729984287374919,1.2991209408605715,16.262684957524527,-2.8776066762729853,19.140291633797514,16.262684957524527,-2.8776066762729853,19.140291633797514
0.0,2002-05-29,validation,0,1,261,743,2.412981319285885,-0.3549472550048547,2.76792857429074,20.622355977457186,-2.4755664424886645,23.09792241994585,20.622355977457186,-2.4755664424886645,23.09792241994585
0.0,2002-11-29,oos,0,1,44,79,3.880397569255307,-0.5659193384404297,4.446316907695737,30.371199196104676,-4.716263448407922,35.0874626445126,30.371199196104676,-4.716263448407922,35.0874626445126
0.0,2002-11-29,train,0,1,1072,1180,0.9723757256544465,-0.30311644567566054,1.275492171330107,14.944430555770166,-2.8963266451031844,17.84075720087335,14.944430555770166,-2.8963266451031844,17.84075720087335
0.0,2002-11-29,validation,0,1,244,761,2.894963047877421,-0.4025565756827263,3.297519623560147,21.721123963083595,-2.802405487958125,24.52352945104172,21.721123963083595,-2.802405487958125,24.52352945104172
0.0,2003-05-29,oos,0,1,73,56,1.4891772962057064,-0.5125852640461265,2.0017625602518327,16.842473372835848,-5.9955156222054455,22.837988995041293,16.842473372835848,-5.9955156222054455,22.837988995041293
0.0,2003-05-29,train,0,1,1123,1254,1.062062432542584,-0.3226823832502844,1.3847448157928683,14.890175625686876,-3.0706504424649466,17.96082606815182,14.890175625686876,-3.0706504424649466,17.96082606815182
0.0,2003-05-29,validation,0,1,222,781,3.3077778586997884,-0.4029155633828325,3.710693422082621,27.890740599497185,-2.8070480603334618,30.697788659830646,27.890740599497185,-2.8070480603334618,30.697788659830646
0.0,2003-12-01,oos,0,1,70,55,0.5902910259538714,-0.2793469827230719,0.8696380086769433,9.170826991346244,-3.0351131527630875,12.20594014410933,9.170826991346244,-3.0351131527630875,12.20594014410933
0.0,2003-12-01,train,0,1,1197,1308,1.070450524928189,-0.33350035954953305,1.4039508844777222,14.89922360205405,-3.1445820922301624,18.043805694284213,14.89922360205405,-3.1445820922301624,18.043805694284213
0.0,2003-12-01,validation,0,1,260,744,2.664523525278015,-0.42071360084250753,3.0852371261205223,23.326602546254133,-2.966554930074487,26.29315747632862,23.326602546254133,-2.966554930074487,26.29315747632862
0.0,2004-06-01,oos,0,1,61,66,0.8310959461091172,-0.3176417088692617,1.1487376549783788,13.089205438657427,-4.106104504678519,17.195309943335946,13.089205438657427,-4.106104504678519,17.195309943335946
0.0,2004-06-01,train,0,1,1289,1342,1.005940490936521,-0.3368067779766114,1.3427472689131323,13.886111810487323,-2.9827966474415124,16.868908457928836,13.886111810487323,-2.9827966474415124,16.868908457928836
0.0,2004-06-01,validation,0,1,303,700,2.003719343542424,-0.42961869816111564,2.4333380417035397,20.5400798800199,-3.1858829340454946,23.725962814065394,20.5400798800199,-3.1858829340454946,23.725962814065394
0.0,2004-12-01,oos,0,1,53,72,0.581341931036055,-0.24799821302665348,0.8293401440627085,10.379370184057883,-2.924545868058421,13.303916052116303,10.379370184057883,-2.924545868058421,13.303916052116303
0.0,2004-12-01,train,0,1,1349,1410,1.0082894237775988,-0.3530174757019836,1.3613068994795823,13.931302018571374,-3.1237243571014495,17.055026375672824,13.931302018571374,-3.1237243571014495,17.055026375672824
0.0,2004-12-01,validation,0,1,363,639,1.6145694821180046,-0.44608894340218375,2.060658425520188,17.174392240371883,-3.350315819193943,20.524708059565825,17.174392240371883,-3.350315819193943,20.524708059565825
