Date,rebalance_date,split,selected_smoothing_halflife,selected_threshold,selected_drawdown_threshold,selected_drawdown_prob_floor,predicted_probability_raw,predicted_probability_smoothed,predicted_label,y_true,drawdown_from_peak,drawdown_entry_trigger,signal_zone
2000-07-24,2000-05-26,oos,0,0.55,0.2,0.52,0.005900343880057335,0.005900343880057335,0,0,-0.04135618837185662,0,bear
2000-07-25,2000-05-26,oos,0,0.55,0.2,0.52,0.10821081697940826,0.10821081697940826,0,0,-0.03469157397870626,0,bear
2000-07-26,2000-05-26,oos,0,0.55,0.2,0.52,0.0017468101577833295,0.0017468101577833295,0,0,-0.04912725630211001,0,bear
2000-07-27,2000-05-26,oos,0,0.55,0.2,0.52,0.002918219892308116,0.002918219892308116,0,0,-0.05096039687517384,0,bear
2000-07-28,2000-05-26,oos,0,0.55,0.2,0.52,0.003612827742472291,0.003612827742472291,0,0,-0.07042406939625434,0,bear
2000-07-31,2000-05-26,oos,0,0.55,0.2,0.52,0.0024463965091854334,0.0024463965091854334,0,0,-0.06326189055947784,0,bear
2000-08-01,2000-05-26,oos,0,0.55,0.2,0.52,0.002222075592726469,0.002222075592726469,0,0,-0.05850234221309247,0,bear
2000-08-02,2000-05-26,oos,0,0.55,0.2,0.52,0.0023344228975474834,0.0023344228975474834,0,0,-0.058109549209491074,0,bear
2000-08-03,2000-05-26,oos,0,0.55,0.2,0.52,0.029457444325089455,0.029457444325089455,0,0,-0.04903559128173751,0,bear
2000-08-04,2000-05-26,oos,0,0.55,0.2,0.52,0.09964072704315186,0.09964072704315186,0,0,-0.04224654581908405,0,bear
2000-08-07,2000-05-26,oos,0,0.55,0.2,0.52,0.2470485270023346,0.2470485270023346,0,0,-0.031516383983571594,0,bear
2000-08-08,2000-05-26,oos,0,0.55,0.2,0.52,0.5840046405792236,0.5840046405792236,1,0,-0.029238024728297507,0,bull
2000-08-09,2000-05-26,oos,0,0.55,0.2,0.52,0.04452657327055931,0.04452657327055931,0,0,-0.035739048627374315,0,bear
2000-08-10,2000-05-26,oos,0,0.55,0.2,0.52,0.03044760599732399,0.03044760599732399,0,0,-0.04400112779142762,0,bear
2000-08-11,2000-05-26,oos,0,0.55,0.2,0.52,0.12013700604438782,0.12013700604438782,0,1,-0.036413389901919224,0,bear
2000-08-14,2000-05-26,oos,0,0.55,0.2,0.52,0.7375000715255737,0.7375000715255737,1,0,-0.02350300712413822,0,bull
2000-08-15,2000-05-26,oos,0,0.55,0.2,0.52,0.233180433511734,0.233180433511734,0,0,-0.028170890450151198,0,bear
2000-08-16,2000-05-26,oos,0,0.55,0.2,0.52,0.1275663673877716,0.1275663673877716,0,1,-0.031169383531559958,0,bear
2000-08-17,2000-05-26,oos,0,0.55,0.2,0.52,0.5559592843055725,0.5559592843055725,1,1,-0.020550466428705283,0,bull
2000-08-18,2000-05-26,oos,0,0.55,0.2,0.52,0.28071129322052,0.28071129322052,0,1,-0.023398315601306563,0,bear
2000-08-21,2000-05-26,oos,0,0.55,0.2,0.52,0.770179808139801,0.770179808139801,1,1,-0.018317979642213933,0,bull
2000-08-22,2000-05-26,oos,0,0.55,0.2,0.52,0.5104843378067017,0.5104843378067017,0,1,-0.019201783879615353,0,bear
2000-08-23,2000-05-26,oos,0,0.55,0.2,0.52,0.8797537684440613,0.8797537684440613,1,1,-0.014069102159106839,0,bull
2000-08-24,2000-05-26,oos,0,0.55,0.2,0.52,0.7450328469276428,0.7450328469276428,1,1,-0.012537089569271909,0,bull
2000-08-25,2000-05-26,oos,0,0.55,0.2,0.52,0.5914350152015686,0.5914350152015686,1,1,-0.013754867756225697,0,bull
2000-08-28,2000-05-26,oos,0,0.55,0.2,0.52,0.9082798361778259,0.9082798361778259,1,1,-0.008753090397853325,0,bull
2000-08-29,2000-05-26,oos,0,0.55,0.2,0.52,0.7804233431816101,0.7804233431816101,1,0,-0.01153548738938659,0,bull
