split,accuracy,balanced_accuracy,f1,log_loss,roc_auc,avg_position,n_samples
validation,0.8131863897344996,0.8070590546110731,0.8400316768956643,0.4119467965468339,0.8887493369354899,0.58747254441062,51902
oos,0.8119287374128582,0.8009388081249808,0.8447967271797494,0.41851837397625363,0.8824164066623341,0.6150271107668474,6455
