version,rebalance_date,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold,oos_sharpe,oos_accuracy,oos_balanced_accuracy,oos_f1
final_model_gspc_to_spy,2000-05-26,0,,0.55,-2.812145436251043,0.8492063492063492,0.7156862745098039,0.5581395348837209
final_model_gspc_to_spy,2000-11-27,0,,0.55,0.09822505390973667,0.8790322580645161,0.8793939393939394,0.7457627118644068
final_model_gspc_to_spy,2001-05-29,0,,0.55,-1.4283244004154836,0.9354838709677419,0.8930817610062893,0.7894736842105263
final_model_gspc_to_spy,2001-11-29,0,,0.55,-1.7767860559039754,0.8934426229508197,0.7780448717948718,0.6976744186046512
final_model_gspc_to_spy,2002-05-29,4,,0.55,-0.315553172446776,0.828125,0.7357142857142858,0.5925925925925926
final_model_gspc_to_spy,2002-11-29,12,,0.55,-0.23912102362909893,0.6557377049180327,0.6456043956043955,0.5882352941176471
final_model_gspc_to_spy,2003-05-29,0,,0.55,1.1537556545817111,0.828125,0.7614285714285715,0.8888888888888888
final_model_gspc_to_spy,2003-12-01,12,,0.55,-0.10832531435078262,0.7903225806451613,0.7107797452625039,0.8586956521739131
final_model_gspc_to_spy,2004-06-01,12,,0.55,0.637310212011555,0.7380952380952381,0.7040816326530612,0.8
final_model_gspc_to_spy,2004-12-01,8,,0.55,-0.42357200898304076,0.7580645161290323,0.7570532915360502,0.7727272727272727
final_model_gspc_to_spy,2005-06-01,8,,0.55,0.5491075468285529,0.7795275590551181,0.7723404255319148,0.8205128205128205
final_model_gspc_to_spy,2005-12-01,8,,0.55,-1.2168668382004748,0.7560975609756098,0.641640866873065,0.8421052631578947
final_model_gspc_to_spy,2006-06-01,8,,0.55,2.7428377038363028,0.8818897637795275,0.8913662239089184,0.9152542372881356
final_model_gspc_to_spy,2006-12-01,8,,0.55,0.9418492881445416,0.8770491803278688,0.7857843137254902,0.9261083743842364
final_model_gspc_to_spy,2007-06-01,8,,0.55,-1.889627503162263,0.6929133858267716,0.695046439628483,0.6486486486486487
final_model_gspc_to_spy,2007-12-03,8,,0.55,-0.12406766052642326,0.7580645161290323,0.6642857142857144,0.5161290322580645
final_model_gspc_to_spy,2008-06-03,8,,0.55,0.0,0.9448818897637795,0.5,0.0
final_model_gspc_to_spy,2008-12-03,8,,0.55,1.7154652803451087,0.8861788617886179,0.8731040086673889,0.8541666666666666
final_model_gspc_to_spy,2009-06-03,8,,0.55,2.119712221278004,0.84251968503937,0.5,0.9145299145299145
final_model_gspc_to_spy,2009-12-03,12,,0.55,-0.6659624619562743,0.7479674796747967,0.6384036144578313,0.8359788359788359
final_model_gspc_to_spy,2010-06-03,8,,0.55,1.475921363778617,0.7559055118110236,0.765197152245345,0.7973856209150327
final_model_gspc_to_spy,2010-12-03,8,,0.55,1.446268266832361,0.8629032258064516,0.5,0.9264069264069265
final_model_gspc_to_spy,2011-06-03,8,,0.55,-0.4586726043213618,0.7244094488188977,0.6806226516371443,0.5783132530120482
final_model_gspc_to_spy,2011-12-05,8,,0.55,1.4301353633325178,0.8467741935483871,0.7205882352941176,0.9045226130653267
final_model_gspc_to_spy,2012-06-05,8,,0.55,0.8178763268577471,0.728,0.7112403100775193,0.7926829268292683
final_model_gspc_to_spy,2012-12-05,8,,0.55,2.8784399972159824,0.9512195121951219,0.5,0.975
final_model_gspc_to_spy,2013-06-05,8,,0.55,0.8460930569277206,0.7952755905511811,0.6807407407407408,0.8712871287128713
final_model_gspc_to_spy,2013-12-05,8,,0.55,0.5648421521236915,0.7967479674796748,0.6054292929292929,0.8792270531400966
final_model_gspc_to_spy,2014-06-05,8,,0.55,1.5460467396252318,0.8110236220472441,0.6711822660098522,0.883495145631068
final_model_gspc_to_spy,2014-12-05,12,,0.55,-0.3739977690229011,0.6422764227642277,0.520639534883721,0.7708333333333334
final_model_gspc_to_spy,2015-06-05,12,,0.55,0.325947238115297,0.6535433070866141,0.6514136904761905,0.5217391304347826
final_model_gspc_to_spy,2015-12-07,12,,0.55,0.7592563840215496,0.7338709677419355,0.7313570487483532,0.7591240875912408
final_model_gspc_to_spy,2016-06-07,12,,0.55,0.7652622666196153,0.7559055118110236,0.6367867867867868,0.8426395939086294
