version,annual_return,annual_volatility,sharpe,max_drawdown,total_return,final_wealth,total_switch_count,avg_switch_count_per_year,avg_position
single_threshold_055_plus_extra_entries,0.06990579919000739,0.10115128279621564,0.5343932837028769,-0.19282574550547582,4.645317537741266,5.645317537741266,406,15.850038729666926,0.6271107668474051
final_recovery_overlay_gspc_to_spy,0.07187521105920669,0.10501936620372825,0.5361390068613573,-0.18987531653166878,4.917615906941694,5.917615906941694,245,9.564678543764524,0.6415182029434547
buy_and_hold,0.0836473077280444,0.19216512266731844,0.417187269690817,-0.5569273201989486,6.828125337747283,7.828125337747283,0,0.0,1.0
