Date,predicted_probability_raw,predicted_probability_smoothed,selected_smoothing_halflife,selected_threshold,predicted_label,predicted_bear_flag,predicted_bull_flag
2008-04-29,0.9803168773651123,0.9803168773651123,8,0.5,1,0,1
2008-04-30,0.9943988919258118,0.9814856276371833,8,0.5,1,0,1
2008-05-01,0.9619460105895996,0.9798639184249047,8,0.5,1,0,1
2008-05-02,0.9892928600311279,0.9806464824550805,8,0.5,1,0,1
2008-05-05,0.9816921949386597,0.980733272363188,8,0.5,1,0,1
2008-05-06,0.9875856637954712,0.9813019931464464,8,0.5,1,0,1
2008-05-07,0.9941940903663635,0.9823719850903118,8,0.5,1,0,1
2008-05-08,0.8609684109687805,0.9722959792977227,8,0.5,1,0,1
2008-05-09,0.3947608470916748,0.9243628984173651,8,0.5,1,0,1
2008-05-12,0.5407474040985107,0.8925243634248587,8,0.5,1,0,1
2008-05-13,0.940394937992096,0.8964974275634087,8,0.5,1,0,1
2008-05-14,0.6981011033058167,0.8800313348069735,8,0.5,1,0,1
2008-05-15,0.9581661820411682,0.8865162112122323,8,0.5,1,0,1
2008-05-16,0.9667704105377197,0.8931769852720942,8,0.5,1,0,1
2008-05-19,0.9429011940956116,0.8973038935592927,8,0.5,1,0,1
2008-05-20,0.9500187039375305,0.9016790096839189,8,0.5,1,0,1
2008-05-21,0.9887139201164246,0.9089025553498604,8,0.5,1,0,1
2008-05-22,0.14508767426013947,0.8455090084793088,8,0.5,1,0,1
2008-05-23,0.19221724569797516,0.7912884335607651,8,0.5,1,0,1
2008-05-27,0.014882107265293598,0.7268498476479262,8,0.5,1,0,1
2008-05-28,0.05686059966683388,0.6712434489691526,8,0.5,1,0,1
2008-05-29,0.0872049629688263,0.6227706160182602,8,0.5,1,0,1
2008-05-30,0.8894633650779724,0.6449050358968476,8,0.5,1,0,1
2008-06-02,0.8121272921562195,0.6587838070525678,8,0.5,1,0,1
2008-06-03,0.1344364434480667,0.6152650959171041,8,0.5,1,0,1
2008-06-04,0.10576225072145462,0.5729784197901489,8,0.5,1,0,1
2008-06-05,0.1066451296210289,0.5342746421870491,8,0.5,1,0,1
2008-06-06,0.8980231285095215,0.5644642958422352,8,0.5,1,0,1
2008-06-09,0.015148879960179329,0.51887333731868,8,0.5,1,0,1
2008-06-10,0.012479940429329872,0.47684473282901174,8,0.5,0,1,0
2008-06-11,0.013398097828030586,0.4383805359335298,8,0.5,0,1,0
2008-06-12,0.009881287813186646,0.40281683084970293,8,0.5,0,1,0
2008-06-13,0.0035738307051360607,0.369681276058867,8,0.5,0,1,0
2008-06-16,0.13404741883277893,0.35012461862501393,8,0.5,0,1,0
2008-06-17,0.058209653943777084,0.32589685682842007,8,0.5,0,1,0
2008-06-18,0.03309832140803337,0.3015957622329341,8,0.5,0,1,0
2008-06-19,0.004510297905653715,0.27693886987110694,8,0.5,0,1,0
2008-06-20,0.010743861086666584,0.2548457604229014,8,0.5,0,1,0
2008-06-23,0.003002395387738943,0.23394377937925287,8,0.5,0,1,0
2008-06-24,0.003505636705085635,0.21481834524587187,8,0.5,0,1,0
2008-06-25,0.004741591401398182,0.197382824060093,8,0.5,0,1,0
2008-06-26,0.004104331601411104,0.18134149065052596,8,0.5,0,1,0
