rebalance_date,train_start,train_end,val_start,val_end,oos_start,oos_end,selected_config_id,selected_smoothing_halflife,selected_threshold,oos_sharpe,oos_accuracy,oos_balanced_accuracy,oos_f1,validation_sharpe,validation_accuracy,validation_balanced_accuracy,validation_f1
2008-04-28,1993-04-28,2004-04-27,2004-04-28,2008-04-25,2008-04-28,2008-10-27,cfg_010,8,0.5,-0.5544898304830681,0.8582677165354331,0.8018518518518518,0.6785714285714286,0.2743179259505947,0.7785571142284569,0.7622695047264012,0.8198859005704972
2008-10-28,1993-10-28,2004-10-27,2004-10-28,2008-10-27,2008-10-28,2009-04-27,cfg_009,8,0.45,0.8526182716542847,0.9024390243902439,0.8234962406015038,0.76,0.22324671283191203,0.7917917917917918,0.7798268747100334,0.825503355704698
2009-04-28,1994-04-28,2005-04-27,2005-04-28,2009-04-27,2009-04-28,2009-10-27,cfg_009,8,0.45,2.4158565200347195,0.8818897637795275,0.5,0.9372384937238494,0.35594622721207353,0.8076152304609219,0.8062307098765432,0.8208955223880597
2009-10-28,1994-10-28,2005-10-27,2005-10-28,2009-10-27,2009-10-28,2010-04-27,cfg_009,8,0.45,0.8829844911442635,0.8130081300813008,0.6673913043478261,0.8866995073891626,0.8799867992302727,0.8316633266533067,0.8258992864126311,0.8523725834797891
2010-04-28,1995-04-28,2006-04-27,2006-04-28,2010-04-27,2010-04-28,2010-10-27,cfg_009,8,0.45,-0.09744747939159829,0.7165354330708661,0.7163938492063492,0.7230769230769231,0.8092294220572899,0.8316633266533067,0.8277248368160779,0.85
2010-10-28,1995-10-30,2006-10-27,2006-10-30,2010-10-27,2010-10-28,2011-04-27,cfg_010,8,0.5,2.484621529945166,0.8951612903225806,0.5,0.9446808510638298,0.7199502569051464,0.8156312625250501,0.8141547203926127,0.828996282527881
2011-04-28,1996-04-29,2007-04-27,2007-04-30,2011-04-27,2011-04-28,2011-10-27,cfg_010,8,0.5,-1.1345956958707457,0.7244094488188977,0.7131168831168831,0.6534653465346535,0.9051425077492775,0.817,0.8141635536427416,0.8340888485947416
2011-10-28,1996-10-28,2007-10-26,2007-10-29,2011-10-27,2011-10-28,2012-04-27,cfg_010,8,0.5,0.4000687157187066,0.7903225806451613,0.5282574568288854,0.8807339449541285,0.7185143925324684,0.8191808191808192,0.818555477404607,0.8271251193887297
2012-04-30,1997-04-30,2008-04-29,2008-04-30,2012-04-27,2012-04-30,2012-10-26,cfg_010,8,0.5,-0.22239110261863385,0.7619047619047619,0.7155448717948718,0.8255813953488372,0.9581394871583887,0.818,0.8035889110579604,0.8513071895424836
2012-10-31,1997-10-31,2008-10-30,2008-10-31,2012-10-26,2012-10-31,2013-04-29,cfg_010,8,0.5,2.6449229616485677,0.8688524590163934,0.7935615738375064,0.9207920792079208,0.9544497454095743,0.8056112224448898,0.7694485281248906,0.8556547619047619
2013-04-30,1998-04-30,2009-04-29,2009-04-30,2013-04-29,2013-04-30,2013-10-29,cfg_001,0,0.5,1.0963080632392073,0.8740157480314961,0.8118518518518518,0.92,1.1247062888842996,0.8987975951903807,0.8610516691788777,0.9306794783802333
2013-10-30,1998-10-30,2009-10-29,2009-10-30,2013-10-29,2013-10-30,2014-04-29,cfg_001,0,0.5,0.6711589164939052,0.9349593495934959,0.9040616246498598,0.9603960396039604,0.9866571514528178,0.8937875751503006,0.8613269171304885,0.9258741258741259
2014-04-30,1999-04-30,2010-04-29,2010-04-30,2014-04-29,2014-04-30,2014-10-29,cfg_007,4,0.5,0.7856109478014014,0.8503937007874016,0.7711154094132817,0.9025641025641026,0.7975815286762978,0.8336673346693386,0.7775567012804686,0.8858321870701513
2014-10-30,1999-11-01,2010-10-29,2010-11-01,2014-10-29,2014-10-30,2015-04-29,cfg_003,2,0.45,-1.7962772335164037,0.7967479674796748,0.7260536398467433,0.861878453038674,0.9288843920219344,0.8677354709418837,0.7943113078843729,0.9134993446920052
2015-04-30,2000-05-01,2011-04-29,2011-05-02,2015-04-29,2015-04-30,2015-10-29,cfg_001,0,0.5,-0.9932909216772198,0.8346456692913385,0.8343253968253967,0.8421052631578947,0.5140035681936369,0.8906720160481444,0.8526598616086765,0.9246717346233587
2015-10-30,2000-10-30,2011-10-28,2011-10-31,2015-10-29,2015-10-30,2016-04-29,cfg_010,8,0.5,0.3780341165988955,0.8306451612903226,0.8274572649572649,0.8531468531468531,0.5508938460446988,0.7665330661322646,0.6486219527598838,0.8497743391360413
