Date,Ticker,Adj_Close,ret,rf_daily,excess_ret,log_downside_dev_hl5,log_downside_dev_hl21,ewm_return_hl5,ewm_return_hl10,ewm_return_hl21,sortino_hl5,sortino_hl10,sortino_hl21
1981-09-01,^MID,37.25,0.00242196321198751,0.0006235642371530403,0.0017983989748344698,-26.937873935368604,-26.937873935368604,0.0017983989748344698,0.0017983989748344698,0.0017983989748344698,899199487.4172343,1798398974.8344698,899199487.4172343
1981-09-02,^MID,37.38999938964844,0.0037583728764680746,0.0006113288984033183,0.0031470439780647563,-26.937873935368604,-26.937873935368604,0.0019729803108161272,0.0018887136961796348,0.0018421870794919977,986490155.408063,1888713696.1796348,921093539.7459984
1981-09-03,^MID,36.72999954223633,-0.017651774757579508,0.000621867128496989,-0.018273641886076497,-5.024528053328583,-5.716042325270072,-0.0006479335277278129,0.00053850105926479,0.0011890618894624034,-0.09854968968341823,0.11387568511103716,0.3611188011729188
1981-09-04,^MID,36.34999847412109,-0.010345795612610176,0.0006109884912530728,-0.010956784103863249,-4.920994662849673,-5.574564642308067,-0.001982408427872971,-0.0002313037995412176,0.0007947078717364024,-0.2718654150088824,-0.04302332902561631,0.2095126152450429
1981-09-08,^MID,35.439998626708984,-0.025034384748598093,0.0006075828200875488,-0.025641967568685642,-4.4686216370772165,-5.126255077852457,-0.005045125031313209,-0.0019329799352248535,-6.364396155521593e-05,-0.4401185285878604,-0.22940272389476057,-0.01071671047477911
1981-09-09,^MID,35.470001220703125,0.0008465743554382232,0.000602468851839566,0.00024410550359865724,-4.537936355120689,-5.142758582145899,-0.004360437117971928,-0.001787187036218066,-5.365188376144607e-05,-0.40769064504215496,-0.21957997417988404,-0.009184523907921979
1981-09-10,^MID,36.02999877929688,0.015787920477062123,0.0005857173557681783,0.015202203121293945,-4.607251073163262,-5.159262086439249,-0.0018280643585583851,-0.0006494584017554784,0.00044167859535008914,-0.183187231482711,-0.08260865731382865,0.07686796926158827
1981-09-11,^MID,36.45000076293945,0.011657007989795076,0.0005809182563234483,0.011076089733471628,-4.6765657912048715,-5.175765590732503,-0.00015762888020508497,0.0001357664794518473,0.0007869590114506132,-0.01692943669317285,0.017877973129985986,0.13923824751531658
1981-09-14,^MID,36.27999877929688,-0.004663977505740435,0.0005640757635709814,-0.005228053269311417,-4.722972734296306,-5.178114598572476,-0.0008139924612244936,-0.00022343248305862175,0.0005916622605373197,-0.09157593875973127,-0.0299543366753612,0.10493019146122576
1981-09-15,^MID,36.18999862670898,-0.0024807099122413634,0.0005602849953039168,-0.0030409949075452802,-4.783660103665586,-5.189761451584825,-0.001102276673438873,-0.00041211620978479324,0.00047371634305724115,-0.1317673473851502,-0.05686034156460451,0.08499690829229309
1981-09-16,^MID,35.869998931884766,-0.00884221351111203,0.000558215783123428,-0.009400429294235457,-4.766934255601361,-5.160674087835252,-0.002176467855883782,-0.0010140366481810256,0.00015312039561827238,-0.2558618291227985,-0.13681797171112114,0.026686113067436328
1981-09-17,^MID,35.33000183105469,-0.015054282601332236,0.0005609744940795469,-0.015615257095411783,-4.63315506602468,-5.066190202684461,-0.00391611155292279,-0.0019918367014436686,-0.0003588507770793739,-0.40272513283856043,-0.242291817190192,-0.05690263008775081
