asset,first_oos_block_start,first_execution_date,annual_return_predicted,sharpe_predicted,max_drawdown_predicted,annual_return_buy_and_hold,sharpe_buy_and_hold,max_drawdown_buy_and_hold,predicted_beats_buyhold_sharpe,bear_flag_days
mid,2008-04-28,2008-04-29,0.032354199414874385,0.20813445576905762,-0.23003143607580145,0.08306348150278509,0.4055520164786199,-0.5490543690197407,False,1666
rut,2008-04-28,2008-04-29,0.043663845569246185,0.27019601838978236,-0.2172848336548231,0.07493162500634076,0.3585510106059787,-0.5502770959398691,False,1681
spy,2008-04-28,2008-04-29,0.08556560194167018,0.70750821477926,-0.19338586525408297,0.11272171808163223,0.56924804490119,-0.5148148346329285,True,1448
