Date,equity_ew_bull_signal_strategy,equity_buy_and_hold_equal_weight
2008-04-28,1.0,1.0
2008-04-29,1.0000563457119624,0.9974026827024093
2008-04-30,0.9955231385285277,0.9942789654638398
2008-05-01,1.0071308133050838,1.0058275523638085
2008-05-02,1.0079889534259532,1.0066587015839572
2008-05-05,1.0068284257814324,1.0054902961319185
2008-05-06,1.0120518746805316,1.010714655832554
2008-05-07,1.002586444705303,1.0012194004568584
2008-05-08,1.0039537126479692,1.0025952991262268
2008-05-09,1.0035413716666204,1.0021938569937638
2008-05-12,1.0113261019881437,1.0099710353860785
2008-05-13,1.0133563170668567,1.0120182047882322
2008-05-14,1.0145489149912048,1.0132087986387064
2008-05-15,1.0231280660382114,1.0218205662206201
2008-05-16,1.0247927623169182,1.0234986898116363
2008-05-19,1.0244736404619201,1.0231495123045964
2008-05-20,1.0213343789939955,1.020009515244908
2008-05-21,1.0105227758378765,1.0091277100417404
2008-05-22,1.011411424076709,1.0100298762322304
2008-05-23,1.0029893771528762,1.0015994208647334
2008-05-27,1.008333425408564,1.0069435754428675
2008-05-28,1.0123610484281231,1.010867089026748
2008-05-29,1.0143762116318784,1.013906752704705
2008-05-30,1.0183628723669718,1.0174545680469704
2008-06-02,1.0145194114583553,1.0113701695316994
2008-06-03,1.0138567401079281,1.0089872241948568
2008-06-04,1.015927270340131,1.0102276092873246
2008-06-05,1.0276226225666758,1.0247835663449807
2008-06-06,1.0143170205438075,1.004921650475906
2008-06-09,1.014107491955846,1.0055757750441952
2008-06-10,1.0103684376185236,1.0014084819812117
2008-06-11,1.0021244682393131,0.9910492488431032
2008-06-12,1.0020867934341973,0.992252745999259
2008-06-13,1.0051679570184724,1.001474524888939
2008-06-16,1.0052465569791604,1.0043003410352689
2008-06-17,1.00532829110092,1.0028706621440484
2008-06-18,1.0054069035990676,0.9974537535963349
2008-06-19,1.0054831742545645,0.9989916795344372
2008-06-20,1.0055586676673918,0.9877621940214992
2008-06-23,1.005632600114293,0.9875142732759568
2008-06-24,1.0057065379969852,0.982728852469606
2008-06-25,1.0057789138384687,0.9864604050481464
2008-06-26,1.005850510863379,0.9695711222286708
2008-06-27,1.0059193674930629,0.965575800147241
2008-06-30,1.0059858738985086,0.965448359831993
2008-07-01,1.0060610132874244,0.966948323013244
2008-07-02,1.0061349826686607,0.951903476539739
2008-07-03,1.0062069972110805,0.9486712008095964
2008-07-07,1.006279801190064,0.9433014426889813
2008-07-08,1.0063537866574082,0.9557876576239444
2008-07-09,1.0064273855004109,0.9452570464571549
2008-07-10,1.0064994209716887,0.9483279841398577
2008-07-11,1.0065655728767833,0.9436187241363656
2008-07-14,1.006629764170013,0.9378612369226196
2008-07-15,1.0066900264961234,0.9309164749662551
2008-07-16,1.0067451733715593,0.9452746322683723
2008-07-17,1.0067995350971546,0.9528661691729627
2008-07-18,1.006856263933763,0.9537650465642623
2008-07-21,1.0069149651602733,0.9562518579739255
2008-07-22,1.0069736698091527,0.9635073644005726
2008-07-23,1.007035133449826,0.9656192787034905
2008-07-24,1.0070981746998524,0.9500223087066834
2008-07-25,1.007163579673704,0.9508839160942034
2008-07-28,1.0072329190314515,0.9430043205742696
2008-07-29,1.0073014773894753,0.9557825400742387
2008-07-30,1.00736964744281,0.9656428794431854
2008-07-31,1.0074370359985962,0.9578211025663512
2008-08-01,1.007503642744765,0.9550466931941001
2008-08-04,1.0075694673709652,0.9465134649523609
2008-08-05,1.0076388346725274,0.9608447852690353
2008-08-06,1.0077082067497625,0.964613947333678
2008-08-07,1.0077732579034837,0.955272541939216
2008-08-08,1.0078391001448235,0.967497066590353
2008-08-11,1.0079065201049109,0.9744208335994431
2008-08-12,1.0079806251747343,0.9678924838404788
2008-08-13,1.008054342995212,0.9671957839412014
2008-08-14,1.0081276734420286,0.9717274833166147
2008-08-15,1.0082025801669174,0.9732636343289469
2008-08-18,1.0082759213971784,0.9650934175520711
2008-08-19,1.008348089178205,0.9584290358473561
2008-08-20,1.0084194760199352,0.9612160224568227
2008-08-21,1.0084873282889886,0.9619643985891849
2008-08-22,1.0085555785958726,0.9692794354044036
2008-08-25,1.0086230464851866,0.956887888744683
2008-08-26,1.0086920929119194,0.9591463619801556
2008-08-27,1.008759963524207,0.965552907473307
2008-08-28,1.008826264002856,0.9744311927936817
2008-08-29,1.0088953243410728,0.9676071916343972
2008-09-02,1.0089636022594648,0.9632926466875328
2008-09-03,1.0090318847986277,0.9607521530518026
2008-09-04,1.0090993845507115,0.9434911298990376
2008-09-05,1.0091664950299664,0.945440138350704
2008-09-08,1.0092332161193989,0.9561864972774841
2008-09-09,1.009301123141572,0.934835983269686
2008-09-10,1.0093670652050402,0.9397840209470458
2008-09-11,1.0094326175296942,0.9460820064106618
2008-09-12,1.009496597434589,0.9516176722414915
2008-09-15,1.0095558473516995,0.9236067611377559
2008-09-16,1.0095965041503192,0.9340317755354597
2008-09-17,1.0096300173664017,0.9079493770755706
2008-09-18,1.0096312191273586,0.9297287587533309
2008-09-19,1.0096404234765253,0.9513194721378903
2008-09-22,1.00967989364051,0.933175030349432
2008-09-23,1.0097308548026167,0.9225288606088596
2008-09-24,1.0097627827151323,0.9212756738098942
2008-09-25,1.009782369234009,0.9286185409389714
2008-09-26,1.009812708302513,0.9269035638503199
2008-09-29,1.0098474207023698,0.8850493344846677
2008-09-30,1.009884914367937,0.9040617916067525
2008-10-01,1.009921615285663,0.9019355079534789
2008-10-02,1.0099555367114483,0.8759148617178599
2008-10-03,1.0099807067119766,0.8646016453586458
2008-10-06,1.010001095057815,0.8417393078194787
2008-10-07,1.01002267994281,0.8173414242756624
2008-10-08,1.010055412272829,0.8057022548435223
2008-10-09,1.0100825758509762,0.77404305645556
2008-10-10,1.010106553859261,0.7677086590166751
2008-10-13,1.0101165623019106,0.8218704263937778
2008-10-14,1.0101265708437268,0.8125255180522204
2008-10-15,1.0101401765107902,0.7667721132523094
2008-10-16,1.0101489855469323,0.7839787336539527
2008-10-17,1.0101673826613586,0.7796497105832626
2008-10-20,1.0102005172738344,0.8049880527720799
2008-10-21,1.0102499210941838,0.7915612597606487
2008-10-22,1.010293779480941,0.7661707630650012
2008-10-23,1.0103356564561354,0.7640233439043129
2008-10-24,1.0103747567673824,0.7470482886976164
2008-10-27,1.0104102834050421,0.7290618578022642
2008-10-28,1.0104438236342528,0.7704462244812695
2008-10-29,1.0104745805139317,0.7703673963901689
2008-10-30,1.0104993649487544,0.7886479183314847
2008-10-31,1.0105157721347018,0.79673538120182
2008-11-03,1.0105341759291475,0.7968998202156486
2008-11-04,1.0105537774108533,0.8094039148343732
2008-11-05,1.0105729801872334,0.7885661594276507
2008-11-06,1.0105889891586035,0.7653278784378283
2008-11-07,1.0106018016269716,0.7771056047140574
2008-11-10,1.010614214479614,0.7689303163626343
2008-11-11,1.0106258277994642,0.7574586599142477
2008-11-12,1.0106374412527672,0.7377074422982424
2008-11-13,1.0106446536281994,0.765935156106587
2008-11-14,1.0106534670636886,0.7430644447962707
2008-11-17,1.0106594783686735,0.7378649722609402
2008-11-18,1.0106642881590109,0.7409155289560846
2008-11-19,1.0106690979722384,0.7136088748582047
2008-11-20,1.0106719044081591,0.6847300326052629
2008-11-21,1.0106731074092727,0.7038597184246175
2008-11-24,1.0106739094509034,0.7299252649102852
2008-11-25,1.0106791198722795,0.735624329690932
2008-11-26,1.0106831285076776,0.753319569984487
2008-11-28,1.0106851333321698,0.7587275942562185
2008-12-01,1.0106855343777266,0.7181097962868942
2008-12-02,1.0106883408592882,0.7340897343945924
2008-12-03,1.010690746541331,0.7430153441659576
2008-12-04,1.0106915485969599,0.7323729364927359
2008-12-05,1.0106923506532248,0.7465165466906291
2008-12-08,1.0106931527101264,0.7621593449628462
2008-12-09,1.0106943557365318,0.7537266709607212
2008-12-10,1.0106955587643691,0.7604505259779519
