rebalance_date,split,state0_annualized_cagr,state1_annualized_cagr
2000-05-26,oos,3.019080766483693,-0.2801896948175995
2000-05-26,train,0.7871288881843936,-0.28723560595548947
2000-05-26,validation,1.4138732008355595,-0.39943729717922294
2000-11-27,oos,4.349721707281686,-0.3276672351901049
2000-11-27,train,0.8137642729452392,-0.2744419445999462
2000-11-27,validation,1.6791006180412205,-0.38463430741929194
2001-05-29,oos,1.1765348081658438,-0.31633997481958165
2001-05-29,train,0.8619493161067777,-0.27218773208484137
2001-05-29,validation,1.8957153366411625,-0.3711338540579663
2001-11-29,oos,1.8225834099841034,-0.284451311002309
2001-11-29,train,0.897635407489433,-0.27589338389204143
2001-11-29,validation,2.0903290526680895,-0.3698804417413494
2002-05-29,oos,28.86811026714369,-0.60754325762471
2002-05-29,train,1.0261225121230795,-0.2729984287374919
2002-05-29,validation,2.412981319285885,-0.3549472550048547
2002-11-29,oos,3.880397569255307,-0.5659193384404297
2002-11-29,train,0.9723757256544465,-0.30311644567566054
2002-11-29,validation,2.894963047877421,-0.4025565756827263
2003-05-29,oos,1.4891772962057064,-0.5125852640461265
2003-05-29,train,1.062062432542584,-0.3226823832502844
2003-05-29,validation,3.3077778586997884,-0.4029155633828325
2003-12-01,oos,0.5902910259538714,-0.2793469827230719
2003-12-01,train,1.070450524928189,-0.33350035954953305
2003-12-01,validation,2.664523525278015,-0.42071360084250753
2004-06-01,oos,0.8310959461091172,-0.3176417088692617
2004-06-01,train,1.005940490936521,-0.3368067779766114
2004-06-01,validation,2.003719343542424,-0.42961869816111564
2004-12-01,oos,0.581341931036055,-0.24799821302665348
2004-12-01,train,1.0082894237775988,-0.3530174757019836
2004-12-01,validation,1.6145694821180046,-0.44608894340218375
2005-06-01,oos,0.6134784301119383,-0.32011284300217135
2005-06-01,train,0.9437981043337151,-0.4115408397206465
2005-06-01,validation,1.3319045534774463,-0.47153578251182826
2005-12-01,oos,0.6022541753277011,-0.4957047968029832
2005-12-01,train,0.9643538711512929,-0.3867438569958619
2005-12-01,validation,1.2225073062816598,-0.4725301103932409
2006-06-01,oos,0.6041599239498399,-0.33069200748003513
2006-06-01,train,0.8985025257111421,-0.40972580015110494
2006-06-01,validation,0.9874614843988692,-0.49766875214941186
2006-12-01,oos,0.3362240856875651,-0.31233727995537464
2006-12-01,train,0.8720802953251412,-0.4598714596867316
2006-12-01,validation,0.6893664153001144,-0.4640196585534604
2007-06-01,oos,1.0235165330552385,-0.4276383218475479
2007-06-01,train,0.8981199280338683,-0.4887997714795881
2007-06-01,validation,0.5297462779219504,-0.43807230615838977
2007-12-03,oos,1.8705299768542534,-0.4594635926434234
2007-12-03,train,0.9073617311066511,-0.48737074796160373
2007-12-03,validation,0.5276711026975187,-0.40706877416879816
2008-06-03,oos,30.796307075771807,-0.6816929935959448
2008-06-03,train,0.9185923186413549,-0.48636872654436347
2008-06-03,validation,0.5888259693391968,-0.4074329586202817
