rebalance_date,split,state0_sortino,state1_sortino
2000-05-26,oos,54.32349054113903,-2.346220529076103
2000-05-26,train,14.839238624505391,-3.231189088670059
2000-05-26,validation,14.60027082085112,-2.8250190466635776
2000-11-27,oos,24.738939758105424,-1.9992770310594115
2000-11-27,train,15.621855641051427,-3.090394124803413
2000-11-27,validation,15.976092912891048,-2.728258637945061
2001-05-29,oos,15.5763664544717,-2.2609216225410793
2001-05-29,train,14.895977021201526,-3.03796009768647
2001-05-29,validation,17.51733087319117,-2.5165218463207877
2001-11-29,oos,18.296517552452293,-2.40321817258114
2001-11-29,train,14.325826710230269,-2.8828005512474077
2001-11-29,validation,19.79339283810854,-2.5735411814046976
2002-05-29,oos,86.72028942614601,-3.703596305340155
2002-05-29,train,16.262684957524527,-2.8776066762729853
2002-05-29,validation,20.622355977457186,-2.4755664424886645
2002-11-29,oos,30.371199196104676,-4.716263448407922
2002-11-29,train,14.944430555770166,-2.8963266451031844
2002-11-29,validation,21.721123963083595,-2.802405487958125
2003-05-29,oos,16.842473372835848,-5.9955156222054455
2003-05-29,train,14.890175625686876,-3.0706504424649466
2003-05-29,validation,27.890740599497185,-2.8070480603334618
2003-12-01,oos,9.170826991346244,-3.0351131527630875
2003-12-01,train,14.89922360205405,-3.1445820922301624
2003-12-01,validation,23.326602546254133,-2.966554930074487
2004-06-01,oos,13.089205438657427,-4.106104504678519
2004-06-01,train,13.886111810487323,-2.9827966474415124
2004-06-01,validation,20.5400798800199,-3.1858829340454946
2004-12-01,oos,10.379370184057883,-2.924545868058421
2004-12-01,train,13.931302018571374,-3.1237243571014495
2004-12-01,validation,17.174392240371883,-3.350315819193943
2005-06-01,oos,11.331354878817367,-4.362108557160675
2005-06-01,train,12.901566936402117,-3.4923147134660892
2005-06-01,validation,15.43449755542206,-3.802089168339218
2005-12-01,oos,15.443999995641011,-6.544179644579362
2005-12-01,train,13.192647843119083,-3.251732774403164
2005-12-01,validation,15.24621812146625,-3.9976874679282752
2006-06-01,oos,13.502545742301354,-3.893539060564138
2006-06-01,train,12.474444262731643,-3.418199577381863
2006-06-01,validation,12.529608736142288,-4.298569784862315
2006-12-01,oos,6.472141822048173,-2.298079973139806
2006-12-01,train,11.270469565706476,-3.5948526756016523
2006-12-01,validation,10.073570507207219,-5.000115497299956
2007-06-01,oos,13.888278190437912,-3.0514408937548296
2007-06-01,train,11.019274407197736,-3.810806333016639
2007-06-01,validation,8.493814199314322,-5.13394056256061
2007-12-03,oos,25.46052919566965,-3.3903061579167195
2007-12-03,train,11.040757668351642,-3.7615398180040946
2007-12-03,validation,9.103179330307032,-4.083291957930096
2008-06-03,oos,inf,-2.5161287577649945
2008-06-03,train,11.080431746419801,-3.7524884164461945
2008-06-03,validation,10.346346779881946,-3.7086171359503637
2008-12-03,oos,22.720148108144564,-3.4898293706546264
2008-12-03,train,11.869239569015797,-3.766141144951361
2008-12-03,validation,11.859808874257231,-2.7591592973733285
2009-06-03,oos,13.958774257547956,-5.333258360984262
2009-06-03,train,12.114170351693723,-3.8472628249397
2009-06-03,validation,13.0897766763389,-2.813175965077893
2009-12-03,oos,11.199474710539128,-4.8179435152798264
2009-12-03,train,12.176946323518916,-3.8310564163297816
2009-12-03,validation,13.725320040226864,-2.9270771304738132
2010-06-03,oos,12.431722051024227,-2.663192221763537
2010-06-03,train,11.211948777914749,-3.838965465989718
