rebalance_date,split,raw_state,n_obs,annualized_cagr,cum_excess_return_sum,ann_volatility,downside_dev_daily,downside_dev_annualized,sortino
2000-05-26,oos,0,20,3.019080766483693,0.10635435889384559,0.10307790500154454,0.001623354562750782,0.025769954776323403,54.32349054113903
2000-05-26,oos,1,107,-0.2801896948175995,-0.15755349509935107,0.18775372773673596,0.008354217967411048,0.13261909884118284,-2.346220529076103
2000-05-26,train,0,770,0.7871288881843936,1.6439574035329434,0.09405964541848431,0.0024862417043093007,0.039467863492798766,14.839238624505391
2000-05-26,train,1,848,-0.28723560595548947,-1.2785030338633323,0.12490469293991016,0.006444587674975899,0.10230465774202913,-3.231189088670059
2000-05-26,validation,0,499,1.4138732008355595,1.6691159171827459,0.1373694756279251,0.0038491483016178983,0.061103334992925584,14.60027082085112
2000-05-26,validation,1,511,-0.39943729717922294,-1.0855418713094807,0.21825870409017492,0.01082591212824448,0.1718560272406373,-2.8250190466635776
2000-11-27,oos,0,18,4.349721707281686,0.1189677992184472,0.20910939896653488,0.004336503567801564,0.06883985999968358,24.738939758105424
2000-11-27,oos,1,107,-0.3276672351901049,-0.17596890448446795,0.24893822828135936,0.011533495054122872,0.18308855796361537,-1.9992770310594115
2000-11-27,train,0,816,0.8137642729452392,1.7888057411834397,0.09350545323761433,0.0024212745050413032,0.038436541176961776,15.621855641051427
2000-11-27,train,1,931,-0.2744419445999462,-1.3382336265308807,0.12399532357740149,0.006378318492445135,0.10125266708264544,-3.090394124803413
2000-11-27,validation,0,431,1.6791006180412205,1.6215849400453155,0.14315388974518972,0.003933399160316517,0.06244077591208671,15.976092912891048
2000-11-27,validation,1,577,-0.38463430741929194,-1.1743277753605037,0.21794547477932924,0.010650795536237599,0.1690761375232891,-2.728258637945061
2001-05-29,oos,0,14,1.1765348081658438,0.042659817360112595,0.1296688641696011,0.0031815751033239968,0.050505939005219554,15.5763664544717
2001-05-29,oos,1,111,-0.31633997481958165,-0.17155773731755114,0.20443986760875796,0.010008907582890475,0.1588864821585408,-2.2609216225410793
2001-05-29,train,0,863,0.8619493161067777,1.9825697154451474,0.09888351874663605,0.002652589983203735,0.042108560554668495,14.895977021201526
2001-05-29,train,1,1009,-0.27218773208484137,-1.4373870430626075,0.12479738557818706,0.00642205724844324,0.10194699830880337,-3.03796009768647
