Date,ret,rf_daily,next_ret,next_rf_daily,position,fee,strategy_ret_gross,strategy_ret,strategy_excess_ret,equity_buy_and_hold
2000-05-30,0.03260876339504026,0.00022638173304612152,0.00219293846103108,0.00021737376450348123,1.0,0.0,0.00219293846103108,0.00219293846103108,0.0019755646965275986,1.002192938461031
2000-05-31,0.00219293846103108,0.00021737376450348123,0.01750528968023568,0.00022150494454731273,1.0,0.0,0.01750528968023568,0.01750528968023568,0.017283784735688368,1.019736616164278
2000-06-01,0.01750528968023568,0.00022150494454731273,0.01741903424377944,0.00022638173304612152,1.0,0.0,0.01741903424377944,0.01741903424377944,0.01719265251073332,1.0374994432008793
2000-06-02,0.01741903424377944,0.00022638173304612152,-0.0048614483532259944,0.00023050358995235776,1.0,0.0,-0.0048614483532259944,-0.0048614483532259944,-0.005091951943178352,1.0324556932412574
2000-06-05,-0.0048614483532259944,0.00023050358995235776,-0.00446026525454013,0.0002308780928923504,1.0,0.0,-0.00446026525454013,-0.00446026525454013,-0.00469114334743248,1.0278506669858414
2000-06-06,-0.00446026525454013,0.0002308780928923504,0.006933997304176209,0.0002282558329096407,1.0,0.0,0.006933997304176209,0.006933997304176209,0.006705741471266569,1.0349777807398168
2000-06-07,0.006933997304176209,0.0002282558329096407,-0.003919956534362834,0.00022788108344018454,1.0,0.0,-0.003919956534362834,-0.003919956534362834,-0.0041478376178030185,1.0309207128252855
2000-06-08,-0.003919956534362834,0.00022788108344018454,-0.0021275772920663627,0.0002282558329096407,1.0,0.0,-0.0021275772920663627,-0.0021275772920663627,-0.0023558331249760034,1.0287273493267575
2000-06-09,-0.0021275772920663627,0.0002282558329096407,-0.011723980129250577,0.00022863054714061803,1.0,0.0,-0.011723980129250577,-0.011723980129250577,-0.011952610676391195,1.0166665703248339
2000-06-12,-0.011723980129250577,0.00022863054714061803,0.01876622946608819,0.00022675662353544013,1.0,0.0,0.01876622946608819,0.01876622946608819,0.01853947284255275,1.0357455684740506
2000-06-13,0.01876622946608819,0.00022675662353544013,0.001693345142101288,0.00022450675139285003,1.0,0.0,0.001693345142101288,0.001693345142101288,0.001468838390708438,1.037499443200879
2000-06-14,0.001693345142101288,0.00022450675139285003,0.0021137586944282027,0.00022525684992213968,1.0,0.0,0.0021137586944282027,0.0021137586944282027,0.001888501844506063,1.0396924666694094
2000-06-15,0.0021137586944282027,0.00022525684992213968,-0.008217015081111723,0.00022488181830659926,1.0,0.0,-0.008217015081111723,-0.008217015081111723,-0.008441896899418322,1.0311492979910686
