Date,asset_research,predicted_probability_raw,predicted_probability_smoothed,predicted_label,predicted_bull_flag,predicted_bear_flag
2008-04-29,gspc,0.9965190887451172,0.9965190887451172,1,1,0
2008-04-29,mid,0.9921897053718567,0.9921897053718567,1,1,0
2008-04-29,rut,0.8838414549827576,0.8838414549827576,1,1,0
2008-04-30,gspc,0.984053373336792,0.9945357487372256,1,1,0
2008-04-30,mid,0.9260330200195312,0.9816639395773696,1,1,0
2008-04-30,rut,0.4943760335445404,0.8515173996917967,1,1,0
2008-05-01,gspc,0.9136117100715637,0.9816604440933717,1,1,0
2008-05-01,mid,0.9405971169471741,0.9751300608827655,1,1,0
2008-05-01,rut,0.5252657532691956,0.8244398321409016,1,1,0
2008-05-02,gspc,0.9952143430709839,0.9838169180079988,1,1,0
2008-05-02,mid,0.9896855354309082,0.9774458890610583,1,1,0
2008-05-02,rut,0.9915443658828735,0.8383088328036538,1,1,0
2008-05-05,gspc,0.9896712899208069,0.9847483695657645,1,1,0
2008-05-05,mid,0.9879401922225952,0.9791155703134731,1,1,0
2008-05-05,rut,0.8915758728981018,0.8427297817619476,1,1,0
2008-05-06,gspc,0.9908587336540222,0.9857205503963113,1,1,0
2008-05-06,mid,0.9855270385742188,0.9801356578972447,1,1,0
2008-05-06,rut,0.7573956847190857,0.8356473967306098,1,1,0
2008-05-07,gspc,0.9902438521385193,0.9864402239183858,1,1,0
2008-05-07,mid,0.993285059928894,0.9822277748977501,1,1,0
2008-05-07,rut,0.9801012277603149,0.847636480649671,1,1,0
2008-05-08,gspc,0.612514078617096,0.9269472337705902,1,1,0
2008-05-08,mid,0.9361247420310974,0.9748926171009898,1,1,0
2008-05-08,rut,0.5780676007270813,0.8252633535382506,1,1,0
2008-05-09,gspc,0.6407629251480103,0.8814142843706004,1,1,0
2008-05-09,mid,0.9406276941299438,0.969440945025241,1,1,0
2008-05-09,rut,0.6076701283454895,0.807203995621196,1,1,0
2008-05-12,gspc,0.34666338562965393,0.7963334994346178,1,1,0
2008-05-12,mid,0.9896097183227539,0.9726498691568104,1,1,0
2008-05-12,rut,0.8207301497459412,0.8083266117245405,1,1,0
2008-05-13,gspc,0.8733096122741699,0.8085806749272251,1,1,0
2008-05-13,mid,0.9974489808082581,0.9765954967190791,1,1,0
2008-05-13,rut,0.9861747026443481,0.8230872841946525,1,1,0
2008-05-14,gspc,0.7812216281890869,0.8042277525159461,1,1,0
2008-05-14,mid,0.9975874423980713,0.979935390527406,1,1,0
2008-05-14,rut,0.9876422882080078,0.8367446841982,1,1,0
2008-05-15,gspc,0.9331424236297607,0.8247385388165425,1,1,0
2008-05-15,mid,0.9959174990653992,0.9824782012876049,1,1,0
2008-05-15,rut,0.9903754591941833,0.8494954173621996,1,1,0
2008-05-16,gspc,0.9896544218063354,0.8509772469818174,1,1,0
2008-05-16,mid,0.996145486831665,0.984652715411416,1,1,0
2008-05-16,rut,0.994786262512207,0.8615539700690263,1,1,0
2008-05-19,gspc,0.987882137298584,0.8727593058005121,1,1,0
2008-05-19,mid,0.9938381314277649,0.986114148027003,1,1,0
2008-05-19,rut,0.9911013841629028,0.8723058816521083,1,1,0
2008-05-20,gspc,0.9721521139144897,0.8885730578694455,1,1,0
2008-05-20,mid,0.9977250695228577,0.9879614872592012,1,1,0
2008-05-20,rut,0.9824607968330383,0.881448294233258,1,1,0
2008-05-21,gspc,0.8416574597358704,0.8811086180258776,1,1,0
2008-05-21,mid,0.9976951479911804,0.9895101475743633,1,1,0
2008-05-21,rut,0.8949306011199951,0.8825672711931309,1,1,0
2008-05-22,gspc,0.05590537190437317,0.7498158234236749,1,1,0
2008-05-22,mid,0.8377874493598938,0.9653705224010624,1,1,0
2008-05-22,rut,0.8078860640525818,0.876369032951871,1,1,0
2008-05-23,gspc,0.19303980469703674,0.6612307629435018,1,1,0
2008-05-23,mid,0.7910625338554382,0.937637496573539,1,1,0
2008-05-23,rut,0.9504579901695251,0.8825181168441184,1,1,0
2008-05-27,gspc,0.018027188256382942,0.5588947684891561,0,0,1
2008-05-27,mid,0.7718486785888672,0.9112599013213283,1,1,0
2008-05-27,rut,0.5585595965385437,0.8556308694893583,1,1,0
2008-05-28,gspc,0.0903075560927391,0.4843408632306171,0,0,1
2008-05-28,mid,0.760742723941803,0.8873120788343533,1,1,0
2008-05-28,rut,0.9320738911628723,0.8619753312134777,1,1,0
2008-05-29,gspc,0.12663602828979492,0.4274287417104539,0,0,1
2008-05-29,mid,0.8722261786460876,0.8849118580352755,1,1,0
2008-05-29,rut,0.9099410176277161,0.8659562892507722,1,1,0
2008-05-30,gspc,0.8321292996406555,0.4918180512259708,0,0,1
2008-05-30,mid,0.9714776873588562,0.8986847917971923,1,1,0
2008-05-30,rut,0.9876295328140259,0.8760546765166954,1,1,0
2008-06-02,gspc,0.7892263531684875,0.5391367781983308,0,0,1
2008-06-02,mid,0.9788482189178467,0.911439080417636,1,1,0
2008-06-02,rut,0.9952099919319153,0.8859440859268308,1,1,0
2008-06-03,gspc,0.10891742259263992,0.47068733649422845,0,0,1
2008-06-03,mid,0.8567565679550171,0.9027388966618999,1,1,0
2008-06-03,rut,0.9304349422454834,0.8896366471156409,1,1,0
2008-06-04,gspc,0.07431549578905106,0.4076231557455511,0,0,1
2008-06-04,mid,0.8256097435951233,0.8904673719205307,1,1,0
2008-06-04,rut,0.9647297859191895,0.8958690740194059,1,1,0
2008-06-05,gspc,0.15034228563308716,0.3666888470240146,0,0,1
2008-06-05,mid,0.9474021196365356,0.8995258943787725,1,1,0
2008-06-05,rut,0.9551323056221008,0.9007876826290546,1,1,0
2008-06-06,gspc,0.8946406841278076,0.45068787688061507,0,0,1
2008-06-06,mid,0.9986231327056885,0.9152926202350419,1,1,0
2008-06-06,rut,0.9950862526893616,0.9086140826756411,1,1,0
2008-06-09,gspc,0.003600520547479391,0.3795546757932733,0,0,1
2008-06-09,mid,0.5180116295814514,0.8520837904705001,1,1,0
2008-06-09,rut,0.21941432356834412,0.8514132892454209,1,1,0
2008-06-10,gspc,0.005627262406051159,0.32006148388846006,0,0,1
2008-06-10,mid,0.2330651581287384,0.7535957070401829,1,1,0
2008-06-10,rut,0.21542491018772125,0.7986288252148169,1,1,0
2008-06-11,gspc,0.007310875225812197,0.27030174091865006,0,0,1
2008-06-11,mid,0.24020130932331085,0.6719128179747682,1,1,0
2008-06-11,rut,0.3420342803001404,0.7607333240920957,1,1,0
2008-06-12,gspc,0.005409759934991598,0.2281564771736051,0,0,1
2008-06-12,mid,0.011282806284725666,0.566804214923902,0,0,1
2008-06-12,rut,0.017546024173498154,0.6990517830572147,1,1,0
2008-06-13,gspc,0.0016206323634833097,0.1921138121907865,0,0,1
2008-06-13,mid,0.012745631858706474,0.47865150819878177,0,0,1
2008-06-13,rut,0.014864213764667511,0.6422669811163094,1,1,0
2008-06-16,gspc,0.10355613380670547,0.17802396810307056,0,0,1
2008-06-16,mid,0.3330197334289551,0.45548097077993865,0,0,1
2008-06-16,rut,0.46083444356918335,0.6272088140687813,1,1,0
2008-06-17,gspc,0.0726795494556427,0.16126329346325136,0,0,1
2008-06-17,mid,0.7116430997848511,0.4962372837808607,0,0,1
2008-06-17,rut,0.6802732944488525,0.6316129513897721,1,1,0
2008-06-18,gspc,0.03363250195980072,0.1409567770110466,0,0,1
2008-06-18,mid,0.5948832631111145,0.5119322127131121,0,0,1
2008-06-18,rut,0.726265549659729,0.6394687343463511,1,1,0
2008-06-19,gspc,0.00330560514703393,0.11905598212295516,0,0,1
2008-06-19,mid,0.3316721022129059,0.4832521829457677,0,0,1
2008-06-19,rut,0.20996855199337006,0.6038219557681972,1,1,0
2008-06-20,gspc,0.01867455616593361,0.1030849374112492,0,0,1
2008-06-20,mid,0.3141273558139801,0.4563438166795044,0,0,1
2008-06-20,rut,0.39706137776374817,0.5866616637691627,0,0,1
2008-06-23,gspc,0.0021821807604283094,0.0870309471173215,0,0,1
2008-06-23,mid,0.006999992299824953,0.38485160343709207,0,0,1
2008-06-23,rut,0.04713793843984604,0.5418833759716759,0,0,1
2008-06-24,gspc,0.0022451868280768394,0.07354122871986342,0,0,1
2008-06-24,mid,0.006403172388672829,0.32463910141568114,0,0,1
2008-06-24,rut,0.010572049766778946,0.4977866840971054,0,0,1
2008-06-25,gspc,0.0028843977488577366,0.062299473625564046,0,0,1
2008-06-25,mid,0.0057731615379452705,0.2739063873276398,0,0,1
2008-06-25,rut,0.004737670533359051,0.4568656094693892,0,0,1
2008-06-26,gspc,0.0056837694719433784,0.05329171214178783,0,0,1
2008-06-26,mid,0.004020388703793287,0.23096655747375475,0,0,1
2008-06-26,rut,0.00766150513663888,0.4195834850339039,0,0,1
2008-06-27,gspc,0.0021309684962034225,0.0451518544294896,0,0,1
2008-06-27,mid,0.0028980234637856483,0.19468003614493853,0,0,1
