Date,gspc_predicted_label,gspc_predicted_bull_flag,gspc_predicted_bear_flag,gspc_smoothed_prob,mid_predicted_label,mid_predicted_bull_flag,mid_predicted_bear_flag,mid_smoothed_prob,rut_predicted_label,rut_predicted_bull_flag,rut_predicted_bear_flag,rut_smoothed_prob
2008-04-29,1,1,0,0.9965190887451172,1,1,0,0.9921897053718567,1,1,0,0.8838414549827576
2008-04-30,1,1,0,0.9945357487372256,1,1,0,0.9816639395773696,1,1,0,0.8515173996917967
2008-05-01,1,1,0,0.9816604440933717,1,1,0,0.9751300608827655,1,1,0,0.8244398321409016
2008-05-02,1,1,0,0.9838169180079988,1,1,0,0.9774458890610583,1,1,0,0.8383088328036538
2008-05-05,1,1,0,0.9847483695657645,1,1,0,0.9791155703134731,1,1,0,0.8427297817619476
2008-05-06,1,1,0,0.9857205503963113,1,1,0,0.9801356578972447,1,1,0,0.8356473967306098
2008-05-07,1,1,0,0.9864402239183858,1,1,0,0.9822277748977501,1,1,0,0.847636480649671
2008-05-08,1,1,0,0.9269472337705902,1,1,0,0.9748926171009898,1,1,0,0.8252633535382506
2008-05-09,1,1,0,0.8814142843706004,1,1,0,0.969440945025241,1,1,0,0.807203995621196
2008-05-12,1,1,0,0.7963334994346178,1,1,0,0.9726498691568104,1,1,0,0.8083266117245405
2008-05-13,1,1,0,0.8085806749272251,1,1,0,0.9765954967190791,1,1,0,0.8230872841946525
2008-05-14,1,1,0,0.8042277525159461,1,1,0,0.979935390527406,1,1,0,0.8367446841982
2008-05-15,1,1,0,0.8247385388165425,1,1,0,0.9824782012876049,1,1,0,0.8494954173621996
2008-05-16,1,1,0,0.8509772469818174,1,1,0,0.984652715411416,1,1,0,0.8615539700690263
2008-05-19,1,1,0,0.8727593058005121,1,1,0,0.986114148027003,1,1,0,0.8723058816521083
2008-05-20,1,1,0,0.8885730578694455,1,1,0,0.9879614872592012,1,1,0,0.881448294233258
2008-05-21,1,1,0,0.8811086180258776,1,1,0,0.9895101475743633,1,1,0,0.8825672711931309
2008-05-22,1,1,0,0.7498158234236749,1,1,0,0.9653705224010624,1,1,0,0.876369032951871
2008-05-23,1,1,0,0.6612307629435018,1,1,0,0.937637496573539,1,1,0,0.8825181168441184
2008-05-27,0,0,1,0.5588947684891561,1,1,0,0.9112599013213283,1,1,0,0.8556308694893583
2008-05-28,0,0,1,0.4843408632306171,1,1,0,0.8873120788343533,1,1,0,0.8619753312134777
2008-05-29,0,0,1,0.4274287417104539,1,1,0,0.8849118580352755,1,1,0,0.8659562892507722
2008-05-30,0,0,1,0.4918180512259708,1,1,0,0.8986847917971923,1,1,0,0.8760546765166954
2008-06-02,0,0,1,0.5391367781983308,1,1,0,0.911439080417636,1,1,0,0.8859440859268308
2008-06-03,0,0,1,0.47068733649422845,1,1,0,0.9027388966618999,1,1,0,0.8896366471156409
2008-06-04,0,0,1,0.4076231557455511,1,1,0,0.8904673719205307,1,1,0,0.8958690740194059
2008-06-05,0,0,1,0.3666888470240146,1,1,0,0.8995258943787725,1,1,0,0.9007876826290546
2008-06-06,0,0,1,0.45068787688061507,1,1,0,0.9152926202350419,1,1,0,0.9086140826756411
2008-06-09,0,0,1,0.3795546757932733,1,1,0,0.8520837904705001,1,1,0,0.8514132892454209
