Date,equity_current_mapped_oracle,equity_full_upper_bound_oracle,equity_buy_and_hold
2000-05-30,1.0002173737645035,1.0004438047069992,1.034873210867487
2000-05-31,1.0004389268584144,1.0006654079564836,1.0529889662060379
2000-06-01,1.0006654079564834,1.017595700260265,1.0713310170667028
2000-06-02,0.9953003920528648,1.0126487113189848,1.066122796658024
2000-06-05,0.9908610882963612,1.0123761853665647,1.061367606191017
2000-06-06,0.9905918275752199,1.0188898110140254,1.0687271263110856
2000-06-07,0.9862134547540424,1.0186125518225586,1.0645377624288517
2000-06-08,0.9859454570002071,1.018845056078987,1.0622728760589608
2000-06-09,0.9861708742494918,1.0190779951816098,1.0498188099682038
2000-06-12,0.9863944950271656,1.0376927076854383,1.0695199506538826
2000-06-13,0.9875716041060018,1.0394498795909914,1.0713310170667028
2000-06-14,0.9896590921705513,1.0416470258113992,1.073595552318638
2000-06-15,0.9815270484850265,1.0413604497756916,1.0647738014742214
2000-06-16,0.9812573806518391,1.054159889743225,1.0783934036171996
2000-06-19,0.9772553052536023,1.0538682894458287,1.0745343539513015
2000-06-20,0.9769857114442061,1.0528960051974319,1.0740802706557646
2000-06-21,0.9616318660391201,1.0526067292322596,1.0577375732113854
2000-06-22,0.9613683854539279,1.0528446255184603,1.0486588918032653
2000-06-23,0.961584219147038,1.053080996245057,1.0621641172723437
2000-06-26,0.9618004619546947,1.0533178150143165,1.0543332212974459
2000-06-27,0.9620160318784089,1.0535538968733,1.0572839288132925
2000-06-28,0.9622330933318,1.0537916121841713,1.0472967296961435
2000-06-29,0.9624512860590979,1.0540305664120602,1.0552409489910757
2000-06-30,0.962673855383491,1.0542743136795365,1.0697682788276839
2000-07-03,0.9628961156872993,1.0545177225224642,1.050474610528992
2000-07-05,0.9631195089251302,1.0547623721004888,1.0586457398024596
2000-07-06,0.9633436750677344,1.0550078681268145,1.075669430520911
2000-07-07,0.9635700563075359,1.0552557900215318,1.0738533606772296
2000-07-10,0.9637964907458656,1.0555037701767302,1.0761231626984928
2000-07-11,0.9640255014509633,1.0618785459829696,1.0831605320946833
2000-07-12,0.9677851167506217,1.066550718887071,1.0879263438798348
2000-07-13,0.9772755961708082,1.0770097324356243,1.0985949751685
2000-07-14,0.9756600774589195,1.0752293448126717,1.0967789053248187
2000-07-17,0.9676842297973731,1.0749468167585639,1.0878129327803117
2000-07-18,0.9674306839200791,1.0752026400942158,1.0790746602297392
2000-07-19,0.9676609198170688,1.0754585243124883,1.0940550200080186
2000-07-20,0.9678894014380961,1.0757124588281335,1.0727189863435311
2000-07-21,0.9681208317942979,1.075969670568594,1.0665902224358588
2000-07-24,0.9683519556713744,1.0762265416880985,1.06999518880622
2000-07-25,0.9685824108190365,1.0764826695816088,1.0595537308345566
2000-07-26,0.968814368834106,1.076740467762232,1.0559225567215702
2000-07-27,0.9690456582824256,1.0769975228976465,1.0320888454829078
2000-07-28,0.9692795373662534,1.0772574561544412,1.0386715171271397
2000-07-31,0.969512748772128,1.077516647353836,1.0450271032338585
2000-08-01,0.9697460162893284,1.0777759009153685,1.0502478761094345
2000-08-02,0.9699786153223682,1.0780344115234817,1.0575107510123396
2000-08-03,0.9702112701455934,1.0782929841368174,1.0631855194039639
2000-08-04,0.9704457929091532,1.0785536327793848,1.0758964282789356
2000-08-07,0.9706796474343736,1.0788135387417388,1.0799823001438802
2000-08-08,0.9709131957107019,1.0790731043390176,1.0709026531613832
2000-08-09,0.9711468001794078,1.0793327323885153,1.0656823191832512
2000-08-10,0.9713819117572929,1.079594035439432,1.070675830962337
2000-08-11,0.97161635469569,1.0927870196378198,1.0842951697668488
2000-08-14,0.9703168343029881,1.0925047783180588,1.0833870909552636
2000-08-15,0.9700658617678845,1.0927684542495761,1.0795283924073207
2000-08-16,0.9702999870777331,1.1037098277369155,1.0908769636161926
2000-08-17,0.9665846340689885,1.1000354931383904,1.0872453506057624
2000-08-18,0.9718315098705225,1.1060067753275964,1.0931472045348996
2000-08-21,0.9702169064595946,1.1041692527798954,1.0913310469117294
2000-08-22,0.9740508286913722,1.1085325029126165,1.0956435654167431
2000-08-23,0.9770781515584638,1.1119777910804733,1.0990487951255705
2000-08-24,0.9766746958003925,1.1115186324738222,1.0985949751685
2000-08-25,0.9800041812777844,1.1153078011300648,1.102340087057942
2000-08-28,0.9802058311189559,1.1155372916212807,1.1025669092569885
2000-08-29,0.9708227924374798,1.1152508405942114,1.0920125668627345
2000-08-30,0.9705731391836357,1.1295291519814175,1.10653937002241
2000-08-31,0.9710830714712702,1.130687363213993,1.1076740076945752
2000-09-01,0.9633226872693831,1.1303949108273874,1.098822060706013
2000-09-05,0.9630713643428451,1.1306651975941118,1.0863380618095768
2000-09-06,0.9633012827376551,1.130935126424854,1.0956435654167433
2000-09-07,0.9635290952236532,1.131202582876195,1.0881535171968366
2000-09-08,0.9637558804743191,1.1314688333325469,1.0865644451111793
