Date,position,fee,strategy_ret_gross,strategy_ret,strategy_excess_ret,rebalance_date,predicted_label,predicted_probability_raw,predicted_probability_smoothed,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold,signal_zone,y_true,rising_entry_trigger,drawdown_entry_trigger,mapped_spy_next_ret,mapped_spy_next_rf_daily,mapped_spy_return_date,equity_predicted_strategy,equity_full_upper_bound_oracle
2000-05-26,0.0,0.0,0.00022638173304612152,0.00022638173304612152,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.03260876339504026,0.00022638173304612152,2000-05-30,1.0002263817330461,1.0002263817330461
2000-05-30,0.0,0.0,0.00021737376450348123,0.00021737376450348123,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.00219293846103108,0.00021737376450348123,2000-05-31,1.0004438047069992,1.0004438047069992
2000-05-31,0.0,0.0,0.00022150494454731273,0.00022150494454731273,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.01750528968023568,0.00022150494454731273,2000-06-01,1.0006654079564836,1.0006654079564836
2000-06-01,1.0,0.0005,0.01741903424377944,0.01691903424377944,0.01669265251073332,2000-05-26,1,1.0,1.0,0,,0.5,bull,1,0,0,0.01741903424377944,0.00022638173304612152,2000-06-02,1.017595700260265,1.017595700260265
2000-06-02,1.0,0.0,-0.0048614483532259944,-0.0048614483532259944,-0.005091951943178352,2000-05-26,1,1.0,1.0,0,,0.5,bull,1,0,0,-0.0048614483532259944,0.00023050358995235776,2000-06-05,1.0126487113189848,1.0126487113189848
2000-06-05,0.0,0.0005,0.0002308780928923504,-0.0002691219071076496,-0.0005,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,-0.00446026525454013,0.0002308780928923504,2000-06-06,1.0123761853665647,1.0123761853665647
2000-06-06,1.0,0.0005,0.006933997304176209,0.006433997304176209,0.006205741471266568,2000-05-26,1,1.0,1.0,0,,0.5,bull,1,0,0,0.006933997304176209,0.0002282558329096407,2000-06-07,1.0188898110140254,1.0188898110140254
2000-06-07,0.0,0.0005,0.00022788108344018454,-0.00027211891655981547,-0.0005,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,-0.003919956534362834,0.00022788108344018454,2000-06-08,1.0186125518225586,1.0186125518225586
2000-06-08,0.0,0.0,0.0002282558329096407,0.0002282558329096407,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,-0.0021275772920663627,0.0002282558329096407,2000-06-09,1.018845056078987,1.018845056078987
2000-06-09,0.0,0.0,0.00022863054714061803,0.00022863054714061803,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,-0.011723980129250577,0.00022863054714061803,2000-06-12,1.0190779951816098,1.0190779951816098
2000-06-12,1.0,0.0005,0.01876622946608819,0.01826622946608819,0.01803947284255275,2000-05-26,1,1.0,1.0,0,,0.5,bull,1,0,0,0.01876622946608819,0.00022675662353544013,2000-06-13,1.0376927076854383,1.0376927076854383
2000-06-13,1.0,0.0,0.001693345142101288,0.001693345142101288,0.001468838390708438,2000-05-26,1,1.0,1.0,0,,0.5,bull,1,0,0,0.001693345142101288,0.00022450675139285003,2000-06-14,1.0394498795909914,1.0394498795909914
2000-06-14,1.0,0.0,0.0021137586944282027,0.0021137586944282027,0.001888501844506063,2000-05-26,1,1.0,1.0,0,,0.5,bull,1,0,0,0.0021137586944282027,0.00022525684992213968,2000-06-15,1.0416470258113992,1.0416470258113992
2000-06-15,0.0,0.0005,0.00022488181830659926,-0.00027511818169340075,-0.0005,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,-0.008217015081111723,0.00022488181830659926,2000-06-16,1.0413604497756916,1.0413604497756916
2000-06-16,1.0,0.0005,0.012791075554377196,0.012291075554377195,0.012065818704455056,2000-05-26,1,1.0,1.0,0,,0.5,bull,1,0,0,0.012791075554377196,0.00022525684992213968,2000-06-19,1.054159889743225,1.054159889743225
2000-06-19,0.0,0.0005,0.00022338133879551414,-0.00027661866120448587,-0.0005,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,-0.003578517499229772,0.00022338133879551414,2000-06-20,1.0538682894458287,1.0538682894458287
2000-06-20,1.0,0.0005,-0.00042258611264234247,-0.0009225861126423425,-0.0011467177618163511,2000-05-26,1,1.0,1.0,0,,0.5,bull,1,0,0,-0.00042258611264234247,0.00022413164917400863,2000-06-21,1.0528960051974319,1.0528960051974319
2000-06-21,0.0,0.0005,0.00022525684992213968,-0.00027474315007786033,-0.0005,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,-0.0152155270801142,0.00022525684992213968,2000-06-22,1.0526067292322596,1.0526067292322596
2000-06-22,0.0,0.0,0.00022600680728523947,0.00022600680728523947,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,-0.008583113276912635,0.00022600680728523947,2000-06-23,1.0528446255184603,1.0528446255184603
