regression,n_obs,beta,p_value,r_squared
next_ret ~ smoothed_prob,6455,-0.00029647591743309817,0.6051679659642988,6.717698064395705e-05
next_excess_ret ~ smoothed_prob,6455,-0.0002638280834438925,0.6454907492378539,5.319004006509864e-05
next_ret ~ raw_prob,6455,-0.0004386060282878497,0.3106827193248788,0.00022902837291327582
