Date,rebalance_date,predicted_probability_raw,predicted_probability_smoothed,y_true,selected_smoothing_halflife,next_ret,next_rf_daily,next_excess_ret
2000-05-26,2000-05-26,0.0017521206755191088,0.0017521206755191088,0,0,0.03260876339504026,0.00022638173304612152,0.03238238166199414
2000-05-30,2000-05-26,0.1473124921321869,0.1473124921321869,0,0,0.00219293846103108,0.00021737376450348123,0.0019755646965275986
2000-05-31,2000-05-26,0.16721884906291962,0.16721884906291962,0,0,0.01750528968023568,0.00022150494454731273,0.017283784735688368
2000-06-01,2000-05-26,0.2898462414741516,0.2898462414741516,1,0,0.01741903424377944,0.00022638173304612152,0.01719265251073332
2000-06-02,2000-05-26,0.5716114640235901,0.5716114640235901,1,0,-0.0048614483532259944,0.00023050358995235776,-0.005091951943178352
2000-06-05,2000-05-26,0.5117153525352478,0.5117153525352478,0,0,-0.00446026525454013,0.0002308780928923504,-0.00469114334743248
2000-06-06,2000-05-26,0.06776352226734161,0.06776352226734161,1,0,0.006933997304176209,0.0002282558329096407,0.006705741471266569
2000-06-07,2000-05-26,0.6495551466941833,0.6495551466941833,0,0,-0.003919956534362834,0.00022788108344018454,-0.0041478376178030185
2000-06-08,2000-05-26,0.12003026902675629,0.12003026902675629,0,0,-0.0021275772920663627,0.0002282558329096407,-0.0023558331249760034
2000-06-09,2000-05-26,0.23518984019756317,0.23518984019756317,0,0,-0.011723980129250577,0.00022863054714061803,-0.011952610676391195
2000-06-12,2000-05-26,0.2111395001411438,0.2111395001411438,1,0,0.01876622946608819,0.00022675662353544013,0.01853947284255275
2000-06-13,2000-05-26,0.5331161618232727,0.5331161618232727,1,0,0.001693345142101288,0.00022450675139285003,0.001468838390708438
2000-06-14,2000-05-26,0.5778933763504028,0.5778933763504028,1,0,0.0021137586944282027,0.00022525684992213968,0.001888501844506063
2000-06-15,2000-05-26,0.540344774723053,0.540344774723053,0,0,-0.008217015081111723,0.00022488181830659926,-0.008441896899418322
2000-06-16,2000-05-26,0.07713379710912704,0.07713379710912704,1,0,0.012791075554377196,0.00022525684992213968,0.012565818704455056
2000-06-19,2000-05-26,0.6289948225021362,0.6289948225021362,0,0,-0.003578517499229772,0.00022338133879551414,-0.003801898838025286
2000-06-20,2000-05-26,0.24659785628318787,0.24659785628318787,1,0,-0.00042258611264234247,0.00022413164917400863,-0.0006467177618163511
2000-06-21,2000-05-26,0.34919989109039307,0.34919989109039307,0,0,-0.0152155270801142,0.00022525684992213968,-0.01544078393003634
2000-06-22,2000-05-26,0.04132591933012009,0.04132591933012009,0,0,-0.008583113276912635,0.00022600680728523947,-0.008809120084197875
2000-06-23,2000-05-26,0.009586059488356113,0.009586059488356113,0,0,0.012878568593315265,0.00022450675139285003,0.012654061841922415
2000-06-26,2000-05-26,0.16572822630405426,0.16572822630405426,0,0,-0.007372585693261602,0.00022488181830659926,-0.007597467511568201
2000-06-27,2000-05-26,0.021405380219221115,0.021405380219221115,0,0,0.0027986479570618616,0.00022413164917400863,0.002574516307887853
2000-06-28,2000-05-26,0.449318528175354,0.449318528175354,0,0,-0.009446089971649085,0.00022563184624613264,-0.009671721817895218
2000-06-29,2000-05-26,0.003100551664829254,0.003100551664829254,0,0,0.0075854522120364365,0.00022675662353544013,0.007358695588500996
2000-06-30,2000-05-26,0.08860630542039871,0.08860630542039871,0,0,0.013766836712030495,0.00023125256064071564,0.013535584151389779
2000-07-03,2000-05-26,0.36735478043556213,0.36735478043556213,0,0,-0.018035371473002715,0.0002308780928923504,-0.018266249565895065
2000-07-05,2000-05-26,0.009701007045805454,0.009701007045805454,0,0,0.007778511914107833,0.000232001390587655,0.007546510523520178
2000-07-06,2000-05-26,0.08764780312776566,0.08764780312776566,0,0,0.016080630260343565,0.0002327500798466886,0.015847880180496876
2000-07-07,2000-05-26,0.29364708065986633,0.29364708065986633,0,0,-0.001688315938105478,0.00023499530402326663,-0.0019233112421287446
2000-07-10,2000-05-26,0.42752009630203247,0.42752009630203247,0,0,0.002113698298463973,0.00023499530402326663,0.0018787029944407063
2000-07-11,2000-05-26,0.41651901602745056,0.41651901602745056,1,0,0.006539557589805511,0.00023761313440817666,0.006301944455397335
2000-07-12,2000-05-26,0.7703361511230469,0.7703361511230469,1,0,0.004399912703553666,0.00023798696983301504,0.0041619257337206506
2000-07-13,2000-05-26,0.9319322109222412,0.9319322109222412,1,0,0.009806391166720108,0.00023761313440817666,0.009568778032311931
2000-07-14,2000-05-26,0.9357149600982666,0.9357149600982666,1,0,-0.0016530840616696407,0.000236865358333338,-0.0018899494200029787
2000-07-17,2000-05-26,0.9677498936653137,0.9677498936653137,0,0,-0.008174822200698428,0.00023723926391050476,-0.008412061464608933
2000-07-18,2000-05-26,0.31648144125938416,0.31648144125938416,0,0,-0.008032881653869062,0.00023798696983301504,-0.008270868623702077
2000-07-19,2000-05-26,0.11993954330682755,0.11993954330682755,0,0,0.013882598054049344,0.00023798696983301504,0.01364461108421633
2000-07-20,2000-05-26,0.2814723551273346,0.2814723551273346,0,0,-0.019501792208156954,0.00023611744191387452,-0.01973790965007083
