state,segment_count,total_days,share_of_days,avg_segment_length,median_segment_length,max_segment_length,avg_daily_strategy_return,avg_daily_buy_and_hold_return,avg_segment_strategy_return,avg_segment_buy_and_hold_return,segment_win_rate_strategy,segment_win_rate_buy_and_hold
bull,140,3351,0.5192128912302448,23.935714285714287,11.5,306,-0.0017284701675555965,-0.001648066983729302,0.009083160202692751,0.009524712280282701,0.45714285714285713,0.4642857142857143
bear,122,2240,0.3470715835140998,18.360655737704917,7.0,230,-1.6603507826574544e-05,0.0037096777184399176,0.0013190299294371527,0.006923994165273122,0.5573770491803278,0.8032786885245902
hold,191,863,0.13371552525565542,4.518324607329843,3.0,29,0.0006160231847000272,0.00029004215110319014,0.0006670590927369287,0.0009046190218577696,0.774869109947644,0.5706806282722513
