category,days,share_of_days,avg_position,avg_future_20d_buy_and_hold_return,avg_future_20d_strategy_return,avg_future_60d_buy_and_hold_return,avg_future_60d_strategy_return,corr_position_future_20d_buy_and_hold_return,corr_position_future_60d_buy_and_hold_return
overall,6454,1.0,0.5849085838239851,0.00719802840714606,0.004772184689080431,0.021762184432393094,0.014429962010377242,,
bull_market,4746,0.735357917570499,0.7532659081331647,0.008438373138676193,0.004984392219748664,0.026012275201651246,0.013954000686800569,,
bear_market,1708,0.2646420824295011,0.117096018735363,0.0037329615805011492,0.004179354924749014,0.009989232525568343,0.01574839732769044,,
signal_zone_bull,3351,0.5192128912302448,1.0,0.007415266997563243,0.00586203309129127,0.02420876543288615,0.01345992916609754,,
signal_zone_hold,863,0.13371552525565542,0.49130938586326767,0.009099393922551791,0.003790549510721519,0.03156790243956794,0.016978203508631873,,
signal_zone_bear,2240,0.3470715835140998,0.0,0.0061309811295410495,0.0035087023301233226,0.014257165229959049,0.014915342547789251,,
overall_position_future_return_relation,6454,1.0,0.5849085838239851,0.00719802840714606,0.004772184689080431,0.021762184432393094,0.014429962010377242,0.011101282844045036,0.05121449165088607
