switch_type,count,avg_future_5d_strategy_return,avg_future_20d_strategy_return,avg_future_60d_strategy_return,avg_future_5d_bh_return,avg_future_20d_bh_return,avg_future_60d_bh_return,avg_switches_per_year
overall_position_switch,186,0.0008424428853708376,0.005091028876561101,0.017997963291357836,0.002523673005154094,0.009295963490940888,0.029109047709997667,7.192091890747407
position_0_to_1,93,0.0005454525987748332,0.007905191852773032,0.019965870055498994,0.0005498609574293926,0.008702393075390164,0.025201267664402997,3.5960459453737035
position_1_to_0,93,0.0011394331719668418,0.0022768659003491705,0.0160086662363021,0.004497485052878795,0.009889533906491612,0.03305930362565313,3.5960459453737035
bull_to_bear_zone,38,0.002371258456832825,0.0019886514153669944,0.017513245108227223,0.00397944761686795,0.0022613609455918436,0.02526090693986448,1.4693521067118358
bear_to_bull_zone,32,-0.0015488383021394388,0.0028681723012965385,0.01664409836549951,-0.0019745459169795317,0.007179606788099889,0.027654767285046004,1.2373491424941776
hold_to_bull_zone,61,0.0016440970058118284,0.010547562765022995,0.021708438810908563,0.0018741399735127627,0.009501231783476866,0.02391418589619684,2.3586968028795257
hold_to_bear_zone,52,0.00028910392712656565,0.002675532285224811,0.014982497912379388,0.005339461925581671,0.016518121883054133,0.039789921928361824,2.0106923565530384
