version,rebalance_date,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold,oos_sharpe,oos_accuracy,oos_balanced_accuracy,oos_f1
decision_rule_enhanced_gspc_to_spy,2000-05-26,12,0.45,0.7,0.0,0.8095238095238095,0.5,0.0
decision_rule_enhanced_gspc_to_spy,2000-11-27,0,0.46,0.69,0.04832591951567199,0.8709677419354839,0.8593939393939394,0.7241379310344828
decision_rule_enhanced_gspc_to_spy,2001-05-29,0,0.45,0.68,-0.2854680796013002,0.9354838709677419,0.870020964360587,0.7777777777777778
decision_rule_enhanced_gspc_to_spy,2001-11-29,0,0.48,0.7,-1.7767860559039754,0.8934426229508197,0.7780448717948718,0.6976744186046512
decision_rule_enhanced_gspc_to_spy,2002-05-29,12,0.48,0.7,0.0,0.78125,0.5,0.0
decision_rule_enhanced_gspc_to_spy,2002-11-29,8,0.46,0.68,-0.04160669250729722,0.6311475409836066,0.6068681318681319,0.5054945054945055
decision_rule_enhanced_gspc_to_spy,2003-05-29,8,0.45,0.69,1.4202386808964977,0.71875,0.49857142857142855,0.8317757009345794
decision_rule_enhanced_gspc_to_spy,2003-12-01,12,0.5,0.67,0.2428298182205482,0.7016129032258065,0.6087294190742467,0.7978142076502732
decision_rule_enhanced_gspc_to_spy,2004-06-01,8,0.45,0.65,-0.06732235166464993,0.6825396825396826,0.6549165120593692,0.75
decision_rule_enhanced_gspc_to_spy,2004-12-01,8,0.46,0.65,-1.2091465517892928,0.6612903225806451,0.6619644723092999,0.671875
decision_rule_enhanced_gspc_to_spy,2005-06-01,8,0.48,0.65,0.8157656070231059,0.7007874015748031,0.7054521276595744,0.7432432432432432
decision_rule_enhanced_gspc_to_spy,2005-12-01,12,0.48,0.67,-0.4852506333042693,0.7317073170731707,0.5657894736842105,0.8374384236453202
decision_rule_enhanced_gspc_to_spy,2006-06-01,12,0.48,0.67,2.515115801487788,0.8267716535433071,0.8817204301075269,0.8658536585365854
decision_rule_enhanced_gspc_to_spy,2006-12-01,8,0.46,0.68,0.981855529083121,0.819672131147541,0.7112745098039216,0.89
decision_rule_enhanced_gspc_to_spy,2007-06-01,12,0.45,0.66,-1.7724264704371757,0.5748031496062992,0.5802373581011352,0.5344827586206896
decision_rule_enhanced_gspc_to_spy,2007-12-03,0,0.46,0.69,-0.5395359802181131,0.8709677419354839,0.8196428571428571,0.7714285714285715
decision_rule_enhanced_gspc_to_spy,2008-06-03,0,0.46,0.7,-2.4176274771828608,0.9133858267716536,0.48333333333333334,0.0
decision_rule_enhanced_gspc_to_spy,2008-12-03,8,0.48,0.65,1.689772035858185,0.8617886178861789,0.8416847237269773,0.8131868131868132
decision_rule_enhanced_gspc_to_spy,2009-06-03,8,0.48,0.65,2.119712221278004,0.84251968503937,0.5,0.9145299145299145
decision_rule_enhanced_gspc_to_spy,2009-12-03,8,0.46,0.65,-0.3675379805795079,0.7235772357723578,0.6397590361445783,0.8111111111111111
decision_rule_enhanced_gspc_to_spy,2010-06-03,4,0.49,0.65,1.2628136318601435,0.7637795275590551,0.7765607886089814,0.8026315789473685
decision_rule_enhanced_gspc_to_spy,2010-12-03,4,0.45,0.66,0.8986385063348001,0.8467741935483871,0.540131940626718,0.9155555555555556
decision_rule_enhanced_gspc_to_spy,2011-06-03,8,0.49,0.65,-2.1118537532084476,0.6299212598425197,0.5548845947396672,0.3561643835616438
decision_rule_enhanced_gspc_to_spy,2011-12-05,4,0.47,0.65,0.8603468841507712,0.8225806451612904,0.7222222222222222,0.8854166666666666
decision_rule_enhanced_gspc_to_spy,2012-06-05,4,0.47,0.65,0.865330179175266,0.752,0.7356887298747764,0.8121212121212121
decision_rule_enhanced_gspc_to_spy,2012-12-05,4,0.47,0.7,2.8784399972159824,0.9512195121951219,0.5,0.975
decision_rule_enhanced_gspc_to_spy,2013-06-05,4,0.47,0.7,-0.1727169817818794,0.7244094488188977,0.6627777777777778,0.8148148148148148
decision_rule_enhanced_gspc_to_spy,2013-12-05,4,0.49,0.66,0.3022876043766603,0.7723577235772358,0.6376262626262627,0.8585858585858586
decision_rule_enhanced_gspc_to_spy,2014-06-05,12,0.46,0.7,-0.18366756849148141,0.6929133858267716,0.5096762843068262,0.8097560975609757
decision_rule_enhanced_gspc_to_spy,2014-12-05,8,0.48,0.65,-0.5565954399288712,0.6178861788617886,0.5180232558139535,0.7431693989071039
decision_rule_enhanced_gspc_to_spy,2015-06-05,12,0.45,0.7,-0.21326666800399194,0.5984251968503937,0.5958581349206349,0.4
decision_rule_enhanced_gspc_to_spy,2015-12-07,12,0.46,0.66,0.06084883457162124,0.6693548387096774,0.6586297760210804,0.7172413793103448
decision_rule_enhanced_gspc_to_spy,2016-06-07,12,0.47,0.66,0.20120080507417187,0.6377952755905512,0.4579579579579579,0.7766990291262136
decision_rule_enhanced_gspc_to_spy,2016-12-07,12,0.47,0.66,2.530422181106433,0.975609756097561,0.5,0.9876543209876543
decision_rule_enhanced_gspc_to_spy,2017-06-07,12,0.47,0.66,2.4590129443609547,0.9291338582677166,0.5,0.963265306122449
decision_rule_enhanced_gspc_to_spy,2017-12-07,12,0.46,0.65,0.3634681203691973,0.6341463414634146,0.6095008051529791,0.7133757961783439
decision_rule_enhanced_gspc_to_spy,2018-06-07,8,0.47,0.65,-0.021298471692018286,0.8174603174603174,0.7764423076923077,0.8654970760233918
decision_rule_enhanced_gspc_to_spy,2018-12-07,8,0.5,0.66,0.9782476087655397,0.7235772357723578,0.7154255319148937,0.7702702702702703
