Date,position,fee,strategy_ret_gross,strategy_ret,strategy_excess_ret,rebalance_date,predicted_label,predicted_probability_raw,predicted_probability_smoothed,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold,signal_zone,y_true,rising_entry_trigger,drawdown_entry_trigger,equity_predicted_strategy
2000-05-26,0.0,0.0,0.00022638173304612152,0.00022638173304612152,0.0,2000-05-26,0,0.0017521206755191088,0.0017521206755191088,12,0.45,0.7,bear,0,0,0,1.0002263817330461
2000-05-30,0.0,0.0,0.00021737376450348123,0.00021737376450348123,0.0,2000-05-26,0,0.1473124921321869,0.009921796569832587,12,0.45,0.7,bear,0,0,0,1.0004438047069992
2000-05-31,0.0,0.0,0.00022150494454731273,0.00022150494454731273,0.0,2000-05-26,0,0.16721884906291962,0.01875020175415083,12,0.45,0.7,bear,0,0,0,1.0006654079564836
2000-06-01,0.0,0.0,0.00022638173304612152,0.00022638173304612152,0.0,2000-05-26,0,0.2898462414741516,0.03396565331270678,12,0.45,0.7,bear,1,0,0,1.0008919403257361
2000-06-02,0.0,0.0,0.00023050358995235776,0.00023050358995235776,0.0,2000-05-26,0,0.5716114640235901,0.0641413939726632,12,0.45,0.7,bear,1,0,0,1.0011226495111356
2000-06-05,0.0,0.0,0.0002308780928923504,0.0002308780928923504,0.0,2000-05-26,0,0.5117153525352478,0.08926179002276348,12,0.45,0.7,bear,0,0,0,1.0013537867992062
2000-06-06,0.0,0.0,0.0002282558329096407,0.0002282558329096407,0.0,2000-05-26,0,0.06776352226734161,0.08805518496883745,12,0.45,0.7,bear,1,0,0,1.0015823516418492
2000-06-07,0.0,0.0,0.00022788108344018454,0.00022788108344018454,0.0,2000-05-26,0,0.6495551466941833,0.11956975624987526,12,0.45,0.7,bear,0,0,0,1.001810593313296
2000-06-08,0.0,0.0,0.0002282558329096407,0.0002282558329096407,0.0,2000-05-26,0,0.12003026902675629,0.11959560284599656,12,0.45,0.7,bear,0,0,0,1.0020392624246903
2000-06-09,0.0,0.0,0.00022863054714061803,0.00022863054714061803,0.0,2000-05-26,0,0.23518984019756317,0.1260834088673887,12,0.45,0.7,bear,0,0,0,1.002268359209515
2000-06-12,0.0,0.0,0.00022675662353544013,0.00022675662353544013,0.0,2000-05-26,0,0.2111395001411438,0.1308572404507368,12,0.45,0.7,bear,1,0,0,1.0024956301985257
2000-06-13,0.0,0.0,0.00022450675139285003,0.00022450675139285003,0.0,2000-05-26,0,0.5331161618232727,0.15343429889269097,12,0.45,0.7,bear,1,0,0,1.0027206972357472
2000-06-14,0.0,0.0,0.00022525684992213968,0.00022525684992213968,0.0,2000-05-26,0,0.5778933763504028,0.17725735635349935,12,0.45,0.7,bear,1,0,0,1.0029465669413582
2000-06-15,0.0,0.0,0.00022488181830659926,0.00022488181830659926,0.0,2000-05-26,0,0.540344774723053,0.19763588726612005,12,0.45,0.7,bear,0,0,0,1.0031721113889964
