Date,equity_strategy,equity_buy_and_hold
2000-05-26,1.0002263817330461,1.0326087633950403
2000-05-30,1.0004438047069992,1.034873210867487
2000-05-31,1.0006654079564836,1.0529889662060379
2000-06-01,1.0008919403257361,1.0713310170667028
2000-06-02,1.0011226495111356,1.066122796658024
2000-06-05,1.0013537867992062,1.061367606191017
2000-06-06,1.0015823516418492,1.0687271263110856
2000-06-07,1.001810593313296,1.0645377624288517
2000-06-08,1.0020392624246903,1.0622728760589608
2000-06-09,1.002268359209515,1.0498188099682038
2000-06-12,1.0024956301985257,1.0695199506538826
2000-06-13,1.0027206972357472,1.0713310170667028
2000-06-14,1.0029465669413582,1.073595552318638
2000-06-15,1.0031721113889964,1.0647738014742214
2000-06-16,1.0033980827787377,1.0783934036171996
2000-06-19,1.0036222231858136,1.0745343539513015
2000-06-20,1.0038471666898439,1.0740802706557646
2000-06-21,1.0040732901404157,1.0577375732113854
2000-06-22,1.0043002175390008,1.0486588918032653
2000-06-23,1.0045256897182635,1.0621641172723437
2000-06-26,1.004751589281903,1.0543332212974459
2000-06-27,1.0049767859126189,1.0572839288132925
2000-06-28,1.0052035406802589,1.0472967296961435
2000-06-29,1.0054314772411095,1.0552409489910757
2000-06-30,1.0056639858447702,1.0697682788276839
2000-07-03,1.0058961716279127,1.050474610528992
2000-07-05,1.0061295409385171,1.0586457398024596
2000-07-06,1.0063637176695066,1.075669430520911
2000-07-07,1.0066002084172982,1.0738533606772296
2000-07-10,1.0068367547393051,1.0761231626984928
2000-07-11,1.007075992376436,1.0831605320946833
2000-07-12,1.0073156633402534,1.0879263438798348
2000-07-13,1.007555014772358,1.0985949751685
2000-07-14,1.0077936696519725,1.0967789053248187
2000-07-17,1.0080327578803343,1.0878129327803117
2000-07-18,1.0082726565418747,1.0790746602297392
2000-07-19,1.0085126122961705,1.0940550200080186
2000-07-20,1.0087507397143238,1.0727189863435311
2000-07-21,1.0089919403542564,1.0665902224358588
2000-07-24,1.0092328215764501,1.06999518880622
2000-07-25,1.0094730058375132,1.0595537308345566
2000-07-26,1.0097147564124616,1.0559225567215702
2000-07-27,1.009955810195811,1.0320888454829078
2000-07-28,1.0101995629411809,1.0386715171271397
2000-07-31,1.010442619821271,1.0450271032338585
2000-08-01,1.010685735181536,1.0502478761094345
2000-08-02,1.010928153836278,1.0575107510123396
2000-08-03,1.011170630636497,1.0631855194039639
2000-08-04,1.0114150542357938,1.0758964282789356
2000-08-07,1.011658781385767,1.0799823001438802
2000-08-08,1.0119021893579536,1.0709026531613832
2000-08-09,1.0121456558947888,1.0656823191832512
2000-08-10,1.0123906931663558,1.070675830962337
2000-08-11,1.012635033570515,1.0842951697668488
2000-08-14,1.012879811150263,1.0833870909552636
2000-08-15,1.0131242696030045,1.0795283924073207
2000-08-16,1.0133687870557717,1.0908769636161926
2000-08-17,1.0136133635228046,1.0872453506057624
2000-08-18,1.0138591346202581,1.0931472045348996
2000-08-21,1.0141042080938696,1.0913310469117294
2000-08-22,1.0143497195247477,1.0956435654167431
2000-08-23,1.0145952903931692,1.0990487951255705
2000-08-24,1.0148416784083543,1.0985949751685
2000-08-25,1.015088505143465,1.102340087057942
2000-08-28,1.0153350129327163,1.1025669092569885
2000-08-29,1.0155819596551636,1.0920125668627345
2000-08-30,1.0158285872767054,1.10653937002241
2000-08-31,1.016073757416304,1.1076740076945752
2000-09-01,1.0163189867276938,1.098822060706013
2000-09-05,1.0165619969980444,1.0863380618095768
2000-09-06,1.0168046854541946,1.0956435654167433
2000-09-07,1.0170451510357512,1.0881535171968366
2000-09-08,1.0172845323275665,1.0865644451111793
2000-09-11,1.0175232088329027,1.0786202258162472
2000-09-12,1.017761941336804,1.081457697791548
2000-09-13,1.0180026333011614,1.0869054684251482
2000-09-14,1.0182433821871026,1.0631256537926057
2000-09-15,1.018484568770695,1.0533413130740625
2000-09-18,1.0187265740814269,1.062898568255093
2000-09-19,1.018968256023988,1.0550477463362384
2000-09-20,1.0192099953029954,1.0390054303025162
2000-09-21,1.0194517919320514,1.057892240670643
2000-09-22,1.0196944081749042,1.0503828809632019
2000-09-25,1.0199370821572613,1.036957008151994
2000-09-26,1.0201805763627991,1.0424186479448239
2000-09-27,1.0204260347030278,1.0558444329765426
2000-09-28,1.020670789623361,1.0458321289255983
2000-09-29,1.0209171284280671,1.047424975529274
2000-10-02,1.0211623825802811,1.0376401081337974
2000-10-03,1.0214076956497153,1.0462872655750006
2000-10-04,1.021653449238325,1.0499279198727767
2000-10-05,1.0218988802763322,1.0271725796539617
2000-10-06,1.0221443702740527,1.019435871070541
2000-10-09,1.0223910647273182,1.0025968683965143
2000-10-10,1.0226362909711486,0.9941773231697566
2000-10-11,1.0228800473450903,0.9693744385953076
2000-10-12,1.023123861820989,1.0016869462156646
2000-10-13,1.023371174795927,1.0062374349148016
2000-10-16,1.023619311872433,0.981206938125907
2000-10-17,1.0238675091148008,0.9775659327101758
2000-10-18,1.0241165310852596,1.0144294557066023
2000-10-19,1.0243652312732079,1.018753473324648
2000-10-20,1.024615139074147,1.0233040498032735
2000-10-23,1.0248654902710368,1.01647743895968
2000-10-24,1.0251174323637395,0.9925845643455696
2000-10-25,1.0253682888685653,0.9953150331240294
2000-10-26,1.0256188240876751,1.0142022823896004
2000-10-27,1.0258709513719957,1.0233040498032735
2000-10-30,1.0261227578837453,1.0409393002201603
2000-10-31,1.0263742433203231,1.0374128470373067
2000-11-01,1.0266257903917535,1.0391191047405055
2000-11-02,1.0268777821835136,1.03968774026892
2000-11-03,1.0271313681271752,1.0469696633208936
2000-11-06,1.0273850166935092,1.046741963326959
2000-11-07,1.0276383446878403,1.023531662017719
2000-11-08,1.0278913518061432,1.0196636588439638
2000-11-09,1.0281432706953575,0.9948598964746268
2000-11-10,1.0283960185629324,0.9871234512296724
2000-11-13,1.0286480611374842,1.0130644846558383
2000-11-14,1.0289005493083858,1.016249914524723
2000-11-15,1.0291519475887516,1.000321009590524
2000-11-16,1.0294034072949718,0.9949740098100605
2000-11-17,1.0296553126207981,0.9807520648149703
2000-11-20,1.0299072795903812,0.985758041281465
2000-11-21,1.0301593082188059,0.9622061899813236
2000-11-22,1.0304113985211605,0.9818894236512882
2000-11-27,1.0306604730642221,0.9649723184803427
2000-11-28,1.0309080678527738,0.9631675778242857
2000-11-29,1.0311545664930108,0.9548215332986115
2000-11-30,1.031401894712,0.9543708049538657
2000-12-01,1.0316461980913767,0.9624910502411972
2000-12-04,1.031887858156008,0.9940702266482554
2000-12-05,1.0321299609109964,0.978167608305764
2000-12-06,1.0323728927052365,0.964746606255194
2000-12-07,1.0326151092596068,0.9670021622691907
2000-12-08,1.032856996288808,1.0006116175310666
2000-12-11,1.0330981669808472,0.996325869675446
2000-12-12,1.0333393939859123,0.9826786333205635
2000-12-13,1.0335806773171523,0.9701602191310068
2000-12-14,1.0338204694715745,0.9482475124680629
2000-12-15,1.0340576070763763,0.9609177646810909
2000-12-18,1.034294024232857,0.9413467570941705
2000-12-19,1.0345262302242226,0.9140823039363237
2000-12-20,1.034741379362102,0.9204179086154045
2000-12-21,1.0349522839885197,0.9480212781637504
2000-12-22,1.0351858021831326,0.9582031270557276
2000-12-26,1.0354154895133554,0.9652164775026126
2000-12-27,1.0356498886662941,0.9681582195642284
2000-12-28,1.0358851173569843,0.9498310655850575
2000-12-29,1.0361196228250882,0.9326357792330014
2001-01-02,1.0363471833599025,0.9774349572125673
2001-01-03,1.036562320846283,0.9669134088113455
2001-01-04,1.0367677301325995,0.9353508519243349
2001-01-05,1.0369759193989558,0.9425908717415024
2001-01-08,1.037186106377498,0.9401022073808696
2001-01-09,1.037398291336732,0.9566192258859577
2001-01-10,1.0376113017562087,0.9575239890768203
2001-01-11,1.0378251379780081,0.9557138536027375
2001-01-12,1.0380409731856444,0.9618228759247298
2001-01-16,1.0382560712615958,0.9662349669379895
2001-01-17,1.0384680837067484,0.9758512300691851
2001-01-18,1.038678573135426,0.9703074454551983
2001-01-19,1.038888713479257,0.9767557322204656
2001-01-22,1.0390992881663283,0.9844490907781979
2001-01-23,1.0393114727968238,0.9873903977738439
2001-01-24,1.0361715557146949,0.9849010373076594
2001-01-25,1.034981773971047,0.9837701268256782
2001-01-26,1.0405041847941061,0.9890192847648946
2001-01-29,1.0496446416165648,0.9977074651692448
2001-01-30,1.0437032394077492,0.9920600478412441
2001-01-31,1.0506351346892948,0.9986489479279611
2001-02-01,1.0267933622462218,0.9759868836385786
2001-02-02,1.0264811122019282,0.9831546825047539
2001-02-05,1.0266825854425856,0.9802582743171947
2001-02-06,1.026884098227533,0.9751899297950404
2001-02-07,1.0270860384529432,0.9638233092540169
2001-02-08,1.0272872424244195,0.9545552729250749
2001-02-09,1.0274877095459793,0.9654885677601458
2001-02-12,1.0276886040139583,0.9575963840542002
2001-02-13,1.027890314255848,0.9561483104802115
2001-02-14,1.0280924523570378,0.9654159117431839
2001-02-15,1.0282922995879114,0.9441290909844402
2001-02-16,1.0284929628385655,0.9295768303991132
2001-02-20,1.0286928879232453,0.9095210723086059
2001-02-21,1.028892463077871,0.9108965768788266
2001-02-22,1.0290874076541265,0.9047423947091658
2001-02-23,1.0292792727542386,0.9240017210352987
