Date,predicted_probability_raw,predicted_probability_smoothed,predicted_label,predicted_bull_flag,predicted_bear_flag,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold
2000-05-30,0.003221237799152732,0.003221237799152732,0,0,1,12,0.48,0.67
2000-05-31,0.05002220347523689,0.005847974164883425,0,0,1,12,0.48,0.67
2000-06-01,0.06645409762859344,0.009249534499982292,0,0,1,12,0.48,0.67
2000-06-02,0.05577065050601959,0.011860564110635803,0,0,1,12,0.48,0.67
2000-06-05,0.9569366574287415,0.06490360941621443,0,0,1,12,0.48,0.67
2000-06-06,0.5593036413192749,0.09265215101696633,0,0,1,12,0.48,0.67
2000-06-07,0.1966017633676529,0.09848639445662014,0,0,1,12,0.48,0.67
2000-06-08,0.6458753347396851,0.12920897496044656,0,0,1,12,0.48,0.67
2000-06-09,0.03895564377307892,0.1241434447147888,0,0,1,12,0.48,0.67
2000-06-12,0.16007313132286072,0.12616002307079818,0,0,1,12,0.48,0.67
2000-06-13,0.08380458503961563,0.12378279499963013,0,0,1,12,0.48,0.67
2000-06-14,0.44466760754585266,0.1417926756537928,0,0,1,12,0.48,0.67
2000-06-15,0.44465821981430054,0.1587912124848342,0,0,1,12,0.48,0.67
2000-06-16,0.6705557107925415,0.18751434669746256,0,0,1,12,0.48,0.67
2000-06-19,0.10138080269098282,0.1826800423389373,0,0,1,12,0.48,0.67
2000-06-20,0.6899903416633606,0.21115318157217633,0,0,1,12,0.48,0.67
2000-06-21,0.11656849086284637,0.20584455079632577,0,0,1,12,0.48,0.67
2000-06-22,0.30489397048950195,0.2114037675550847,0,0,1,12,0.48,0.67
2000-06-23,0.0434708297252655,0.20197841599600366,0,0,1,12,0.48,0.67
2000-06-26,0.007075413130223751,0.1910393509997599,0,0,1,12,0.48,0.67
2000-06-27,0.07118374854326248,0.18431237293293928,0,0,1,12,0.48,0.67
2000-06-28,0.01768244057893753,0.17496015345176802,0,0,1,12,0.48,0.67
2000-06-29,0.04034508764743805,0.16740479036010095,0,0,1,12,0.48,0.67
2000-06-30,0.006509516388177872,0.15837443252215955,0,0,1,12,0.48,0.67
2000-07-03,0.01548809465020895,0.15035483860070056,0,0,1,12,0.48,0.67
2000-07-05,0.3436698913574219,0.1612047788056462,0,0,1,12,0.48,0.67
2000-07-06,0.004435284994542599,0.15240598321495502,0,0,1,12,0.48,0.67
2000-07-07,0.13443277776241302,0.15139722470561798,0,0,1,12,0.48,0.67
2000-07-10,0.36170390248298645,0.1632008315435024,0,0,1,12,0.48,0.67
2000-07-11,0.36306124925613403,0.17441813485534768,0,0,1,12,0.48,0.67
2000-07-12,0.40124592185020447,0.18714900030332443,0,0,1,12,0.48,0.67
2000-07-13,0.6799265742301941,0.2148064803350176,0,0,1,12,0.48,0.67
2000-07-14,0.8469139337539673,0.25028394561718054,0,0,1,12,0.48,0.67
2000-07-17,0.9832023978233337,0.2914194974955202,0,0,1,12,0.48,0.67
2000-07-18,0.9557627439498901,0.3287062188180468,0,0,1,12,0.48,0.67
2000-07-19,0.5350828766822815,0.34028925058713194,0,0,1,12,0.48,0.67
2000-07-20,0.1884131133556366,0.3317650979977649,0,0,1,12,0.48,0.67
2000-07-21,0.4698304235935211,0.3395141092916525,0,0,1,12,0.48,0.67
2000-07-24,0.02301573008298874,0.32175042022343625,0,0,1,12,0.48,0.67
2000-07-25,0.007485606707632542,0.3041120915649024,0,0,1,12,0.48,0.67
2000-07-26,0.004987790249288082,0.2873235345599553,0,0,1,12,0.48,0.67
2000-07-27,0.003890564665198326,0.2714156643159432,0,0,1,12,0.48,0.67
2000-07-28,0.004011658951640129,0.2564074307232036,0,0,1,12,0.48,0.67
2000-07-31,0.0024619060568511486,0.2421545636098966,0,0,1,12,0.48,0.67
2000-08-01,0.002442463068291545,0.228700557208484,0,0,1,12,0.48,0.67
2000-08-02,0.0038681048899888992,0.21608168129064811,0,0,1,12,0.48,0.67
2000-08-03,0.0023944368585944176,0.20408833782574415,0,0,1,12,0.48,0.67
2000-08-04,0.015162189491093159,0.19348472789806154,0,0,1,12,0.48,0.67
2000-08-07,0.05531354621052742,0.18572977535826607,0,0,1,12,0.48,0.67
2000-08-08,0.21004189550876617,0.18709430981187813,0,0,1,12,0.48,0.67
2000-08-09,0.36695533990859985,0.19718913374783525,0,0,1,12,0.48,0.67
2000-08-10,0.060300979763269424,0.18950619201971733,0,0,1,12,0.48,0.67
2000-08-11,0.03656096011400223,0.1809220357569513,0,0,1,12,0.48,0.67
2000-08-14,0.10483298450708389,0.17665148545815462,0,0,1,12,0.48,0.67
2000-08-15,0.4582052528858185,0.19245388417209086,0,0,1,12,0.48,0.67
2000-08-16,0.44590428471565247,0.20667896210369832,0,0,1,12,0.48,0.67
2000-08-17,0.4903535842895508,0.2226003952486402,0,0,1,12,0.48,0.67
2000-08-18,0.5957868099212646,0.24354573926999576,0,0,1,12,0.48,0.67
2000-08-21,0.41816446185112,0.253346335093506,0,0,1,12,0.48,0.67
2000-08-22,0.5824477672576904,0.2718173791711599,0,0,1,12,0.48,0.67
2000-08-23,0.634679913520813,0.29218328831359675,0,0,1,12,0.48,0.67
2000-08-24,0.437688410282135,0.300349863292415,0,0,1,12,0.48,0.67
2000-08-25,0.7435903549194336,0.32522704053228546,0,0,1,12,0.48,0.67
2000-08-28,0.8251464366912842,0.353285360245462,0,0,1,12,0.48,0.67
2000-08-29,0.8678490519523621,0.3821656011115569,0,0,1,12,0.48,0.67
2000-08-30,0.9262575507164001,0.41270313574748607,0,0,1,12,0.48,0.67
2000-08-31,0.2580505907535553,0.4040231553641764,0,0,1,12,0.48,0.67
2000-09-01,0.86717689037323,0.43001797707560024,0,0,1,12,0.48,0.67
2000-09-05,0.8586574196815491,0.45407566040359487,0,0,1,12,0.48,0.67
2000-09-06,0.3742581307888031,0.4495958466939154,0,0,1,12,0.48,0.67
2000-09-07,0.005663666408509016,0.4246798479526826,0,0,1,12,0.48,0.67
2000-09-08,0.061588965356349945,0.4043011226079529,0,0,1,12,0.48,0.67
2000-09-11,0.015127175487577915,0.3824584673394436,0,0,1,12,0.48,0.67
2000-09-12,0.010561112314462662,0.36158547267680635,0,0,1,12,0.48,0.67
2000-09-13,0.0038117696531116962,0.34150517769018585,0,0,1,12,0.48,0.67
2000-09-14,0.004509615246206522,0.32259107012479826,0,0,1,12,0.48,0.67
