Date,predicted_probability_raw,predicted_probability_smoothed,predicted_label,predicted_bear_flag
2008-04-28,0.9765749573707581,0.9765749573707581,1,0
2008-04-29,0.9803168773651123,0.976885521600941,1,0
2008-04-30,0.9943988919258118,0.9783390605277646,1,0
2008-05-01,0.9619460105895996,0.976978503663353,1,0
2008-05-02,0.9892928600311279,0.9780005454524152,1,0
2008-05-05,0.9816921949386597,0.978306937433679,1,0
2008-05-06,0.9875856637954712,0.979077034205918,1,0
2008-05-07,0.9941940903663635,0.9803316887458828,1,0
2008-05-08,0.8609684109687805,0.9704250193005456,1,0
2008-05-09,0.3947608470916748,0.9226472205352794,1,0
2008-05-12,0.5407474040985107,0.8909510798701493,1,0
2008-05-13,0.940394937992096,0.8950547201826328,1,0
2008-05-14,0.6981011033058167,0.8787083663056408,1,0
2008-05-15,0.9581661820411682,0.8853030437474778,1,0
2008-05-16,0.9667704105377197,0.8920645058018299,1,0
2008-05-19,0.9429011940956116,0.8962837453870782,1,0
2008-05-20,0.9500187039375305,0.9007435296853303,1,0
2008-05-21,0.9887139201164246,0.9080447164088177,1,0
2008-05-22,0.14508767426013947,0.8447223667019541,1,0
2008-05-23,0.19221724569797516,0.790567079870377,1,0
2008-05-27,0.014882107265293598,0.7261883633972597,1,0
2008-05-28,0.05686059966683388,0.6706368652367752,1,0
2008-05-29,0.0872049629688263,0.622214376283128,1,0
2008-05-30,0.8894633650779724,0.6443949618107402,1,0
2008-06-02,0.8121272921562195,0.6583160670532734,1,0
2008-06-03,0.1344364434480667,0.6148361764465826,1,0
2008-06-04,0.10576225072145462,0.5725850989014715,1,0
2008-06-05,0.1066451296210289,0.5339139653418551,1,0
2008-06-06,0.8980231285095215,0.564133553716902,1,0
2008-06-09,0.015148879960179329,0.5185700454524914,1,0
2008-06-10,0.012479940429329872,0.4765666129614457,0,1
2008-06-11,0.013398097828030586,0.4381254988904762,0,1
2008-06-12,0.009881287813186646,0.4025829608500558,0,1
2008-06-13,0.0035738307051360607,0.3694668163236063,0,1
2008-06-16,0.13404741883277893,0.34992795818067524,0,1
2008-06-17,0.058209653943777084,0.32571651840582305,0,1
2008-06-18,0.03309832140803337,0.3014303911702675,0,1
2008-06-19,0.004510297905653715,0.27678722393801264,0,1
2008-06-20,0.010743861086666584,0.25470670048911837,0,1
2008-06-23,0.003002395387738943,0.233816260857726,0,1
2008-06-24,0.003505636705085635,0.21470141024604827,0,1
2008-06-25,0.004741591401398182,0.19727559419246263,0,1
2008-06-26,0.004104331601411104,0.1812431604283566,0,1
2008-06-27,0.0023578933905810118,0.1663964065339685,0,1
2008-06-30,0.001990170916542411,0.15275135370578197,0,1
2008-07-01,0.002707748208194971,0.1402983411064889,0,1
2008-07-02,0.002690274501219392,0.1288774279558292,0,1
2008-07-03,0.0021962726023048162,0.11836340425932577,0,1
2008-07-07,0.0030043344013392925,0.108789067881443,0,1
2008-07-08,0.0009225738467648625,0.09983658500287726,0,1
2008-07-09,0.004715383052825928,0.09194190983551105,0,1
2008-07-10,0.0029450745787471533,0.08455553234161968,0,1
2008-07-11,0.0020069144666194916,0.07770433081895206,0,1
2008-07-14,0.0015525927301496267,0.07138404445464462,0,1
2008-07-15,0.001228701206855476,0.06556143461748966,0,1
2008-07-16,0.0007281274301931262,0.06018053225527451,0,1
2008-07-17,0.001327764941379428,0.055295990522004936,0,1
2008-07-18,0.003088120836764574,0.05096294842523257,0,1
