rebalance_date,accuracy,f1,balanced_accuracy
2000-05-26,0.8492063492063492,0.5581395348837209,0.7156862745098039
2000-11-27,0.8709677419354839,0.7419354838709677,0.8892929292929292
2001-05-29,0.9274193548387096,0.7804878048780488,0.9114255765199162
2001-11-29,0.8852459016393442,0.6818181818181818,0.7728365384615384
2002-05-29,0.8203125,0.5106382978723404,0.6792857142857143
2002-11-29,0.7049180327868853,0.7,0.7181318681318681
2003-05-29,0.859375,0.9117647058823529,0.7685714285714286
2003-12-01,0.7983870967741935,0.8648648648648649,0.7165268716992854
2004-06-01,0.7857142857142857,0.8402366863905325,0.7467532467532467
2004-12-01,0.7661290322580645,0.7913669064748201,0.7614942528735633
2005-06-01,0.7716535433070866,0.8220858895705522,0.7485372340425531
2005-12-01,0.7317073170731707,0.8307692307692308,0.5948916408668731
2006-06-01,0.889763779527559,0.9213483146067416,0.8967425679949399
2006-12-01,0.8770491803278688,0.926829268292683,0.7656862745098039
2007-06-01,0.6929133858267716,0.6722689075630253,0.7079463364293086
2007-12-03,0.7580645161290323,0.5454545454545454,0.6773809523809524
2008-06-03,0.9448818897637795,0.0,0.5
2008-12-03,0.8943089430894309,0.8686868686868687,0.8852925243770313
2009-06-03,0.84251968503937,0.9145299145299145,0.5
2009-12-03,0.7723577235772358,0.851063829787234,0.6694277108433735
2010-06-03,0.7716535433070866,0.8176100628930818,0.766566265060241
2010-12-03,0.8629032258064516,0.9264069264069265,0.5
2011-06-03,0.7165354330708661,0.6,0.6885399892646269
2011-12-05,0.8306451612903226,0.8955223880597015,0.6911764705882353
2012-06-05,0.728,0.7976190476190477,0.697227191413238
2012-12-05,0.9512195121951219,0.975,0.5
2013-06-05,0.7716535433070866,0.8585365853658536,0.6251851851851852
2013-12-05,0.8617886178861789,0.9109947643979057,0.8352272727272727
2014-06-05,0.7637795275590551,0.8598130841121495,0.555594651653765
2014-12-05,0.6341463414634146,0.7643979057591623,0.514389534883721
2015-06-05,0.6220472440944882,0.5471698113207547,0.6207837301587301
2015-12-07,0.717741935483871,0.7682119205298014,0.7021080368906456
2016-06-07,0.6850393700787402,0.8113207547169812,0.49129129129129134
2016-12-07,0.975609756097561,0.9876543209876543,0.5
2017-06-07,0.9291338582677166,0.963265306122449,0.5
2017-12-07,0.6991869918699187,0.7730061349693251,0.6694847020933977
2018-06-07,0.7857142857142857,0.8457142857142858,0.734775641025641
2018-12-07,0.6991869918699187,0.7549668874172185,0.6835106382978724
2019-06-07,0.7559055118110236,0.845771144278607,0.6187539531941809
2019-12-09,0.7419354838709677,0.7894736842105263,0.7324414715719063
2020-06-09,0.8346456692913385,0.8695652173913043,0.8522988505747127
2020-12-09,0.8861788617886179,0.9333333333333333,0.7722222222222223
2021-06-09,0.905511811023622,0.9387755102040817,0.8501344086021505
2021-12-09,0.9112903225806451,0.8070175438596491,0.90149136577708
2022-06-09,0.873015873015873,0.8048780487804879,0.8419753086419752
2022-12-09,0.7479674796747967,0.7633587786259542,0.7465572033898304
2023-06-09,0.8571428571428571,0.8676470588235294,0.8609475032010243
2023-12-11,0.9354838709677419,0.9622641509433962,0.870020964360587
2024-06-11,0.8333333333333334,0.8955223880597015,0.7225382154283684
2024-12-11,0.8114754098360656,0.7889908256880734,0.826295045045045
2025-06-11,0.8809523809523809,0.9344978165938864,0.6153153153153154
2025-12-11,0.8536585365853658,0.8333333333333334,0.862708719851577
