Date,equity_current_baseline,equity_buy_and_hold,equity_fixed_rising_floor_048,equity_fixed_rising_floor_049,equity_fixed_rising_floor_050,equity_fixed_rising_floor_051,equity_fixed_rising_floor_052,equity_fixed_rising_floor_053,equity_dynamic_rising_floor
2000-05-30,1.000226381733046,1.0326087633950405,1.0002263817330461,1.0002263817330461,1.0002263817330461,1.0002263817330461,1.0002263817330461,1.0002263817330461,1.0002263817330461
2000-05-31,1.0004438047069992,1.034873210867487,1.0004438047069992,1.0004438047069992,1.0004438047069992,1.0004438047069992,1.0004438047069992,1.0004438047069992,1.0004438047069992
2000-06-01,1.0006654079564836,1.052988966206038,1.0006654079564836,1.0006654079564836,1.0006654079564836,1.0006654079564836,1.0006654079564836,1.0006654079564836,1.0006654079564836
2000-06-02,1.000891940325736,1.0713310170667028,1.0008919403257361,1.0008919403257361,1.0008919403257361,1.0008919403257361,1.0008919403257361,1.0008919403257361,1.0008919403257361
2000-06-05,1.0011226495111356,1.066122796658024,1.0011226495111356,1.0011226495111356,1.0011226495111356,1.0011226495111356,1.0011226495111356,1.0011226495111356,1.0011226495111356
2000-06-06,1.0013537867992062,1.061367606191017,1.0013537867992062,1.0013537867992062,1.0013537867992062,1.0013537867992062,1.0013537867992062,1.0013537867992062,1.0013537867992062
2000-06-07,1.0015823516418492,1.0687271263110856,1.0015823516418492,1.0015823516418492,1.0015823516418492,1.0015823516418492,1.0015823516418492,1.0015823516418492,1.0015823516418492
2000-06-08,1.001810593313296,1.0645377624288517,1.001810593313296,1.001810593313296,1.001810593313296,1.001810593313296,1.001810593313296,1.001810593313296,1.001810593313296
2000-06-09,1.0020392624246903,1.0622728760589608,1.0020392624246903,1.0020392624246903,1.0020392624246903,1.0020392624246903,1.0020392624246903,1.0020392624246903,1.0020392624246903
2000-06-12,1.002268359209515,1.0498188099682038,1.002268359209515,1.002268359209515,1.002268359209515,1.002268359209515,1.002268359209515,1.002268359209515,1.002268359209515
2000-06-13,1.0024956301985255,1.0695199506538826,1.0024956301985257,1.0024956301985257,1.0024956301985257,1.0024956301985257,1.0024956301985257,1.0024956301985257,1.0024956301985257
2000-06-14,1.0027206972357472,1.0713310170667028,1.0027206972357472,1.0027206972357472,1.0027206972357472,1.0027206972357472,1.0027206972357472,1.0027206972357472,1.0027206972357472
2000-06-15,1.0029465669413582,1.073595552318638,1.0029465669413582,1.0029465669413582,1.0029465669413582,1.0029465669413582,1.0029465669413582,1.0029465669413582,1.0029465669413582
2000-06-16,1.0031721113889964,1.0647738014742214,1.0031721113889964,1.0031721113889964,1.0031721113889964,1.0031721113889964,1.0031721113889964,1.0031721113889964,1.0031721113889964
2000-06-19,1.0033980827787377,1.0783934036171996,1.0033980827787377,1.0033980827787377,1.0033980827787377,1.0033980827787377,1.0033980827787377,1.0033980827787377,1.0033980827787377
2000-06-20,1.0036222231858136,1.0745343539513017,1.0036222231858136,1.0036222231858136,1.0036222231858136,1.0036222231858136,1.0036222231858136,1.0036222231858136,1.0036222231858136
2000-06-21,1.003847166689844,1.0740802706557646,1.0038471666898439,1.0038471666898439,1.0038471666898439,1.0038471666898439,1.0038471666898439,1.0038471666898439,1.0038471666898439
2000-06-22,1.0040732901404157,1.0577375732113854,1.0040732901404157,1.0040732901404157,1.0040732901404157,1.0040732901404157,1.0040732901404157,1.0040732901404157,1.0040732901404157
2000-06-23,1.0043002175390008,1.048658891803265,1.0043002175390008,1.0043002175390008,1.0043002175390008,1.0043002175390008,1.0043002175390008,1.0043002175390008,1.0043002175390008
2000-06-26,1.0045256897182635,1.0621641172723435,1.0045256897182635,1.0045256897182635,1.0045256897182635,1.0045256897182635,1.0045256897182635,1.0045256897182635,1.0045256897182635
2000-06-27,1.004751589281903,1.054333221297446,1.004751589281903,1.004751589281903,1.004751589281903,1.004751589281903,1.004751589281903,1.004751589281903,1.004751589281903
2000-06-28,1.0049767859126189,1.0572839288132925,1.0049767859126189,1.0049767859126189,1.0049767859126189,1.0049767859126189,1.0049767859126189,1.0049767859126189,1.0049767859126189
2000-06-29,1.0052035406802589,1.0472967296961435,1.0052035406802589,1.0052035406802589,1.0052035406802589,1.0052035406802589,1.0052035406802589,1.0052035406802589,1.0052035406802589
2000-06-30,1.0054314772411097,1.0552409489910757,1.0054314772411095,1.0054314772411095,1.0054314772411095,1.0054314772411095,1.0054314772411095,1.0054314772411095,1.0054314772411095
2000-07-03,1.0056639858447702,1.069768278827684,1.0056639858447702,1.0056639858447702,1.0056639858447702,1.0056639858447702,1.0056639858447702,1.0056639858447702,1.0056639858447702
2000-07-05,1.005896171627913,1.050474610528992,1.0058961716279127,1.0058961716279127,1.0058961716279127,1.0058961716279127,1.0058961716279127,1.0058961716279127,1.0058961716279127
2000-07-06,1.0061295409385171,1.0586457398024596,1.0061295409385171,1.0061295409385171,1.0061295409385171,1.0061295409385171,1.0061295409385171,1.0061295409385171,1.0061295409385171
2000-07-07,1.0063637176695066,1.075669430520911,1.0063637176695066,1.0063637176695066,1.0063637176695066,1.0063637176695066,1.0063637176695066,1.0063637176695066,1.0063637176695066
2000-07-10,1.0066002084172982,1.0738533606772296,1.0066002084172982,1.0066002084172982,1.0066002084172982,1.0066002084172982,1.0066002084172982,1.0066002084172982,1.0066002084172982
2000-07-11,1.0068367547393051,1.0761231626984928,1.0068367547393051,1.0068367547393051,1.0068367547393051,1.0068367547393051,1.0068367547393051,1.0068367547393051,1.0068367547393051
2000-07-12,1.007075992376436,1.083160532094683,1.007075992376436,1.007075992376436,1.007075992376436,1.007075992376436,1.007075992376436,1.007075992376436,1.007075992376436
2000-07-13,1.0073156633402534,1.0879263438798348,1.0073156633402534,1.0073156633402534,1.0073156633402534,1.0073156633402534,1.0073156633402534,1.0073156633402534,1.0073156633402534
2000-07-14,1.007555014772358,1.0985949751685,1.007555014772358,1.007555014772358,1.007555014772358,1.007555014772358,1.007555014772358,1.007555014772358,1.007555014772358
2000-07-17,1.0077936696519725,1.0967789053248187,1.0053856634633864,1.0053856634633864,1.0053856634633864,1.0053856634633864,1.0053856634633864,1.0053856634633864,1.0053856634633864
2000-07-18,1.0080327578803343,1.0878129327803117,0.9971677767120737,0.9971677767120737,0.9971677767120737,0.9971677767120737,0.9971677767120737,0.9971677767120737,0.9971677767120737
2000-07-19,1.0082726565418747,1.0790746602297392,0.989156684917687,0.989156684917687,0.989156684917687,0.989156684917687,0.989156684917687,0.989156684917687,0.989156684917687
2000-07-20,1.0085126122961705,1.0940550200080186,1.0028898816816822,1.0028898816816822,1.0028898816816822,1.0028898816816822,1.0028898816816822,1.0028898816816822,1.0028898816816822
2000-07-21,1.0087507397143238,1.0727189863435311,0.9833310215396881,0.9833310215396881,0.9833310215396881,0.9833310215396881,0.9833310215396881,0.9833310215396881,0.9833310215396881
2000-07-24,1.0089919403542564,1.0665902224358588,0.9777134405580358,0.9777134405580358,0.9830744786041226,0.9830744786041226,0.9830744786041226,0.9830744786041226,0.9777134405580358
2000-07-25,1.00923282157645,1.06999518880622,0.9774579978018306,0.9774579978018306,0.9833091724331241,0.9833091724331241,0.9833091724331241,0.9833091724331241,0.9774579978018306
2000-07-26,1.0094730058375132,1.0595537308345566,0.9776906200688665,0.9776906200688665,0.9835431872034804,0.9835431872034804,0.9835431872034804,0.9835431872034804,0.9776906200688665
