Date,asset,predicted_probability_raw,predicted_probability_smoothed,predicted_label,predicted_bear_flag,predicted_bull_flag
2008-04-29,mid,0.9921897053718567,0.9921897053718567,1,0,1
2008-04-29,rut,0.8838414549827576,0.8838414549827576,1,0,1
2008-04-29,spy,0.9803168773651123,0.9803168773651123,1,0,1
2008-04-30,mid,0.9260330200195312,0.9866989679726329,1,0,1
2008-04-30,rut,0.4943760335445404,0.8515173996917967,1,0,1
2008-04-30,spy,0.9943988919258118,0.9814856276371833,1,0,1
2008-05-01,mid,0.9405971169471741,0.9828727007367393,1,0,1
2008-05-01,rut,0.5252657532691956,0.8244398321409016,1,0,1
2008-05-01,spy,0.9619460105895996,0.9798639184249047,1,0,1
2008-05-02,mid,0.9896855354309082,0.9834381384706703,1,0,1
2008-05-02,rut,0.9915443658828735,0.8383088328036538,1,0,1
2008-05-02,spy,0.9892928600311279,0.9806464824550805,1,0,1
2008-05-05,mid,0.9879401922225952,0.9838117907293553,1,0,1
2008-05-05,rut,0.8915758728981018,0.8427297817619476,1,0,1
2008-05-05,spy,0.9816921949386597,0.980733272363188,1,0,1
2008-05-06,mid,0.9855270385742188,0.9839541493653808,1,0,1
2008-05-06,rut,0.7573956847190857,0.8356473967306098,1,0,1
2008-05-06,spy,0.9875856637954712,0.9813019931464464,1,0,1
2008-05-07,mid,0.993285059928894,0.9847285772153713,1,0,1
2008-05-07,rut,0.9801012277603149,0.847636480649671,1,0,1
2008-05-07,spy,0.9941940903663635,0.9823719850903118,1,0,1
2008-05-08,mid,0.9361247420310974,0.9806946554103301,1,0,1
2008-05-08,rut,0.5780676007270813,0.8252633535382506,1,0,1
2008-05-08,spy,0.8609684109687805,0.9722959792977227,1,0,1
2008-05-09,mid,0.9406276941299438,0.977369259622983,1,0,1
2008-05-09,rut,0.6076701283454895,0.807203995621196,1,0,1
2008-05-09,spy,0.3947608470916748,0.9243628984173651,1,0,1
2008-05-12,mid,0.9896097183227539,0.9783851682043843,1,0,1
2008-05-12,rut,0.8207301497459412,0.8083266117245405,1,0,1
