rebalance_date,train_start,train_end,val_start,val_end,oos_start,oos_end,selected_config_id,selected_smoothing_halflife,selected_threshold,oos_sharpe,oos_accuracy,oos_balanced_accuracy,oos_f1,validation_sharpe,validation_accuracy,validation_balanced_accuracy,validation_f1
2008-04-28,1993-04-28,2004-04-27,2004-04-28,2008-04-25,2008-04-28,2008-10-27,cfg_001,4,0.6,0.13611743786689415,0.9448818897637795,0.9390331890331891,0.8813559322033898,0.16024055723924635,0.7945891783567134,0.7942504176841023,0.7812166488794023
2008-10-28,1993-10-28,2004-10-27,2004-10-28,2008-10-27,2008-10-28,2009-04-27,cfg_001,4,0.6,0.7987195864296339,0.8292682926829268,0.6375939849624059,0.43243243243243246,0.32861891211265765,0.8178178178178178,0.8166508919404518,0.8047210300429185
2009-04-28,1994-04-28,2005-04-27,2005-04-28,2009-04-27,2009-04-28,2009-10-27,cfg_001,4,0.6,1.2414571055813166,0.8188976377952756,0.6185200668896321,0.8940092165898618,0.31212335022009235,0.8106212424849699,0.8006303967791493,0.7692307692307693
2009-10-28,1994-10-28,2005-10-27,2005-10-28,2009-10-27,2009-10-28,2010-04-27,cfg_001,4,0.6,1.648905178854808,0.7804878048780488,0.7848495964783566,0.8439306358381503,0.4822765335910328,0.811623246492986,0.8084139264990329,0.7901785714285714
2010-04-28,1995-04-28,2006-04-27,2006-04-28,2010-04-27,2010-04-28,2010-10-27,cfg_001,4,0.6,-0.703613221409071,0.8110236220472441,0.8052238805970149,0.7777777777777778,0.6376537250304336,0.8196392785571143,0.8156683886005558,0.7963800904977375
2010-10-28,1995-10-30,2006-10-27,2006-10-30,2010-10-27,2010-10-28,2011-04-27,cfg_001,4,0.6,2.8149478773108565,0.9112903225806451,0.6230893000804505,0.9523809523809523,0.5955931386625943,0.8186372745490982,0.8174473693727723,0.8051668460710442
2011-04-28,1996-04-29,2007-04-27,2007-04-30,2011-04-27,2011-04-28,2011-10-27,cfg_001,4,0.6,-0.9992834583433897,0.8188976377952756,0.7530172413793104,0.6666666666666666,0.8534664691645184,0.839,0.839956538964859,0.8348717948717949
2011-10-28,1996-10-28,2007-10-26,2007-10-29,2011-10-27,2011-10-28,2012-04-27,cfg_002,8,0.6,0.04156085852348488,0.7419354838709677,0.6019021739130435,0.8367346938775511,0.7524221225922486,0.8061938061938062,0.8047581965576455,0.7868131868131868
2012-04-30,1997-04-30,2008-04-29,2008-04-30,2012-04-27,2012-04-30,2012-10-26,cfg_003,12,0.6,-0.6940205684165954,0.6587301587301587,0.6586380832282471,0.6666666666666666,0.7682216959614203,0.772,0.771598937066563,0.7908256880733945
2012-10-31,1997-10-31,2008-10-30,2008-10-31,2012-10-26,2012-10-31,2013-04-29,cfg_003,12,0.6,2.526833782341316,0.819672131147541,0.7000510986203372,0.8910891089108911,0.7036573447602673,0.7434869739478958,0.7408344975707404,0.7781629116117851
